7450-839638
OS REV: 1.05 Sensor Cal: 1615486580
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636217340,+3.45,+24.311, +8.921,+1.004
1636217400,+3.45,+22.886, +9.036,+1.002
1636217460,+3.45,+21.974, +9.129,+1.001
1636217520,+3.46,+21.372, +9.334,+1.001
1636217580,+3.46,+21.121, +9.400,+1.001
1636217640,+3.45,+20.953, +9.423,+1.001
1636217700,+3.46,+20.769, +9.446,+1.000
1636217760,+3.46,+20.619, +9.456,+1.001
1636217820,+3.46,+20.418, +9.507,+1.001
1636217880,+3.46,+20.426, +9.543,+1.001
1636217940,+3.46,+20.393, +9.548,+1.001
1636218000,+3.46,+20.359, +9.523,+1.001
1636218060,+3.46,+20.259, +9.542,+1.001
1636218120,+3.46,+20.234, +9.563,+1.001
1636218180,+3.46,+20.301, +9.542,+1.001
1636218240,+3.46,+20.368, +9.526,+1.002
1636218300,+3.46,+20.351, +9.556,+1.001
1636218360,+3.46,+20.384, +9.576,+1.001
1636218420,+3.46,+20.476, +9.569,+1.002
1636218480,+3.46,+20.502, +9.555,+1.002
1636218540,+3.46,+20.485, +9.579,+1.001
1636218600,+3.46,+20.468, +9.595,+1.001
1636218660,+3.46,+20.510, +9.579,+1.001
1636218720,+3.46,+20.535, +9.589,+1.001
1636218780,+3.46,+20.619, +9.578,+1.002
1636218840,+3.46,+20.594, +9.583,+1.001
1636218900,+3.46,+20.568, +9.577,+1.001
1636218960,+3.46,+20.543, +9.599,+1.000
1636219020,+3.46,+20.535, +9.605,+1.001
1636219080,+3.46,+20.552, +9.604,+1.000
1636219140,+3.46,+20.560, +9.600,+1.000
1636219200,+3.46,+20.577, +9.594,+1.000
1636219260,+3.46,+20.594, +9.596,+1.000
1636219320,+3.46,+20.627, +9.596,+1.000
1636219380,+3.46,+20.652, +9.588,+1.000
1636219440,+3.46,+20.694, +9.576,+1.000
1636219500,+3.46,+20.753, +9.568,+1.000
1636219560,+3.46,+20.778, +9.553,+0.999
1636219620,+3.45,+20.886, +9.574,+1.000
1636219680,+3.45,+20.895, +9.545,+0.999
1636219740,+3.45,+20.895, +9.570,+1.000
1636219800,+3.45,+21.012, +9.532,+1.000
1636219860,+3.45,+21.037, +9.499,+0.999
1636219920,+3.45,+21.054, +9.482,+0.999
1636219980,+3.46,+21.112, +9.469,+0.999
1636220040,+3.46,+21.121, +9.471,+0.999
1636220100,+3.46,+21.171, +9.470,+0.999
1636220160,+3.46,+21.196, +9.467,+0.999
1636220220,+3.46,+21.221, +9.482,+0.999
1636220280,+3.46,+21.271, +9.490,+0.999
1636220340,+3.46,+21.313, +9.491,+1.000
1636220400,+3.46,+21.338, +9.465,+0.999
1636220460,+3.46,+21.347, +9.479,+1.000
1636220520,+3.46,+21.338, +9.475,+1.000
1636220580,+3.46,+21.296, +9.458,+1.000
1636220640,+3.46,+21.238, +9.490,+1.000
1636220700,+3.46,+21.163, +9.521,+1.000
1636220760,+3.45,+21.129, +9.542,+1.000
1636220820,+3.45,+21.104, +9.542,+1.000
1636220880,+3.45,+21.087, +9.544,+1.001
1636220940,+3.45,+21.029, +9.541,+1.000
1636221000,+3.45,+21.012, +9.544,+1.000
1636221060,+3.45,+20.987, +9.548,+1.000
1636221120,+3.45,+20.970, +9.560,+1.001
1636221180,+3.45,+20.945, +9.549,+1.000
1636221240,+3.45,+20.920, +9.567,+1.000
1636221300,+3.45,+20.912, +9.565,+1.001
1636221360,+3.45,+20.870, +9.563,+1.000
1636221420,+3.45,+20.836, +9.586,+1.000
1636221480,+3.45,+20.811, +9.580,+0.999
1636221540,+3.45,+20.786, +9.566,+1.000
1636221600,+3.45,+20.753, +9.583,+1.000
1636221660,+3.45,+20.736, +9.593,+1.000
1636221720,+3.45,+20.736, +9.592,+0.999
1636221780,+3.45,+20.727, +9.607,+1.000
1636221840,+3.45,+20.736, +9.613,+1.000
1636221900,+3.45,+20.761, +9.601,+1.000
1636221960,+3.45,+20.769, +9.605,+1.000
1636222020,+3.45,+20.769, +9.599,+1.000
1636222080,+3.45,+20.753, +9.616,+1.000
1636222140,+3.45,+20.778, +9.610,+1.000
1636222200,+3.45,+20.761, +9.618,+1.000
1636222260,+3.45,+20.786, +9.626,+1.000
1636222320,+3.45,+20.820, +9.608,+1.000
1636222380,+3.45,+20.811, +9.622,+1.000
1636222440,+3.45,+20.845, +9.619,+1.000
1636222500,+3.45,+20.861, +9.623,+1.000
1636222560,+3.45,+20.895, +9.629,+1.001
1636222620,+3.45,+20.895, +9.614,+1.000
1636222680,+3.45,+20.928, +9.606,+1.000
1636222740,+3.45,+20.953, +9.602,+1.000
1636222800,+3.45,+20.987, +9.590,+1.000
1636222860,+3.44,+20.987, +9.593,+1.000
1636222920,+3.44,+20.995, +9.592,+1.000
1636222980,+3.44,+21.012, +9.600,+1.000
1636223040,+3.44,+21.029, +9.580,+1.000
1636223100,+3.44,+21.045, +9.580,+1.000
1636223160,+3.44,+21.029, +9.598,+0.999
1636223220,+3.44,+21.020, +9.612,+0.999
1636223280,+3.44,+21.054, +9.607,+1.000
1636223340,+3.44,+21.054, +9.618,+0.999
1636223400,+3.44,+21.062, +9.622,+1.000
1636223460,+3.45,+21.096, +9.610,+0.999
1636223520,+3.45,+21.104, +9.609,+0.999
1636223580,+3.45,+21.154, +9.584,+0.999
