7450-675903
OS REV: 1.05 Sensor Cal: 1615486687
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636390140,+3.42,+16.594, +4.824,+0.967
1636390200,+3.42,+16.619, +4.827,+0.968
1636390260,+3.42,+16.611, +4.822,+0.967
1636390320,+3.42,+16.602, +4.833,+0.968
1636390380,+3.42,+16.619, +4.840,+0.968
1636390440,+3.42,+16.628, +4.839,+0.967
1636390500,+3.42,+16.619, +4.851,+0.968
1636390560,+3.42,+16.628, +4.853,+0.968
1636390620,+3.42,+16.628, +4.847,+0.967
1636390680,+3.42,+16.619, +4.844,+0.968
1636390740,+3.42,+16.611, +4.844,+0.968
1636390800,+3.42,+16.628, +4.828,+0.967
1636390860,+3.42,+16.636, +4.814,+0.967
1636390920,+3.42,+16.636, +4.808,+0.968
1636390980,+3.42,+16.619, +4.803,+0.967
1636391040,+3.42,+16.611, +4.803,+0.967
1636391100,+3.42,+16.611, +4.805,+0.968
1636391160,+3.42,+16.602, +4.792,+0.967
1636391220,+3.42,+16.611, +4.786,+0.967
1636391280,+3.42,+16.602, +4.791,+0.967
1636391340,+3.42,+16.594, +4.792,+0.968
1636391400,+3.42,+16.611, +4.270,+0.954
1636391460,+3.42,+16.611, +3.896,+0.949
1636391520,+3.42,+16.619, +3.737,+0.950
1636391580,+3.42,+16.619, +3.841,+0.950
1636391640,+3.42,+16.619, +3.758,+0.951
1636391700,+3.42,+16.594, +3.663,+0.952
1636391760,+3.42,+16.602, +3.655,+0.953
1636391820,+3.42,+16.602, +3.642,+0.954
1636391880,+3.42,+16.602, +3.680,+0.954
1636391940,+3.42,+16.619, +3.722,+0.954
1636392000,+3.42,+16.619, +3.861,+0.955
1636392060,+3.42,+16.611, +3.956,+0.955
1636392120,+3.42,+16.619, +3.951,+0.956
1636392180,+3.42,+16.611, +4.022,+0.956
1636392240,+3.42,+16.619, +4.099,+0.957
1636392300,+3.42,+16.611, +4.173,+0.958
1636392360,+3.42,+16.611, +4.211,+0.959
1636392420,+3.42,+16.611, +4.181,+0.960
1636392480,+3.42,+16.619, +4.208,+0.960
1636392540,+3.42,+16.619, +4.296,+0.961
1636392600,+3.42,+16.619, +4.305,+0.961
1636392660,+3.42,+16.611, +4.340,+0.962
1636392720,+3.42,+16.628, +4.331,+0.962
1636392780,+3.42,+16.636, +4.343,+0.962
1636392840,+3.42,+16.619, +4.367,+0.963
1636392900,+3.42,+16.636, +4.407,+0.963
1636392960,+3.42,+16.619, +4.407,+0.963
1636393020,+3.42,+16.636, +4.418,+0.964
1636393080,+3.42,+16.628, +4.427,+0.964
1636393140,+3.42,+16.628, +4.488,+0.965
1636393200,+3.42,+16.628, +4.530,+0.965
1636393260,+3.42,+16.619, +4.568,+0.965
1636393320,+3.42,+16.636, +4.641,+0.965
1636393380,+3.42,+16.636, +4.664,+0.966
1636393440,+3.42,+16.628, +4.699,+0.966
1636393500,+3.42,+16.653, +4.713,+0.966
1636393560,+3.42,+16.628, +4.732,+0.966
1636393620,+3.42,+16.653, +4.744,+0.966
1636393680,+3.42,+16.645, +4.714,+0.966
1636393740,+3.42,+16.653, +4.694,+0.967
1636393800,+3.42,+16.662, +4.685,+0.967
1636393860,+3.42,+16.662, +4.750,+0.967
1636393920,+3.42,+16.653, +4.768,+0.967
1636393980,+3.42,+16.662, +4.773,+0.967
1636394040,+3.42,+16.670, +4.831,+0.967
1636394100,+3.42,+16.670, +1.743,+0.960
1636394160,+3.42,+16.662, +1.748,+0.962
1636394220,+3.42,+16.662, +1.789,+0.964
1636394280,+3.42,+16.662, +1.824,+0.965
1636394340,+3.42,+16.653, +1.887,+0.966
1636394400,+3.42,+16.662, +1.922,+0.967
1636394460,+3.42,+16.662, +1.964,+0.968
1636394520,+3.42,+16.662, +2.011,+0.968
1636394580,+3.42,+16.687, +2.045,+0.968
1636394640,+3.42,+16.662, +2.094,+0.968
1636394700,+3.42,+16.670, +2.142,+0.968
1636394760,+3.42,+16.679, +2.179,+0.969
1636394820,+3.42,+16.679, +2.209,+0.969
1636394880,+3.42,+16.679, +2.230,+0.969
1636394940,+3.42,+16.670, +2.273,+0.969
1636395000,+3.42,+16.687, +2.320,+0.969
1636395060,+3.42,+16.679, +2.370,+0.969
1636395120,+3.42,+16.679, +2.414,+0.969
1636395180,+3.42,+16.687, +2.487,+0.969
1636395240,+3.42,+16.687, +2.567,+0.969
1636395300,+3.42,+16.679, +2.638,+0.969
1636395360,+3.42,+16.687, +2.696,+0.970
1636395420,+3.42,+16.670, +2.752,+0.970
1636395480,+3.42,+16.704, +2.795,+0.970
1636395540,+3.42,+16.704, +2.836,+0.970
1636395600,+3.42,+16.721, +2.875,+0.970
1636395660,+3.42,+16.704, +2.916,+0.970
1636395720,+3.42,+16.704, +2.951,+0.969
1636395780,+3.42,+16.721, +2.984,+0.970
1636395840,+3.42,+16.721, +3.013,+0.970
1636395900,+3.42,+16.721, +3.034,+0.970
1636395960,+3.42,+16.730, +3.055,+0.970
1636396020,+3.42,+16.730, +3.082,+0.970
1636396080,+3.42,+16.730, +3.109,+0.970
1636396140,+3.42,+16.764, +3.139,+0.970
1636396200,+3.42,+16.781, +3.170,+0.970
1636396260,+3.42,+16.798, +3.210,+0.970
1636396320,+3.42,+16.798, +3.250,+0.970
1636396380,+3.42,+16.798, +3.282,+0.970
1636396440,+3.42,+16.798, +3.312,+0.970
1636396500,+3.42,+16.798, +3.346,+0.970
1636396560,+3.42,+16.806, +3.383,+0.970
1636396620,+3.42,+16.806, +3.415,+0.970
1636396680,+3.42,+16.806, +3.440,+0.970
1636396740,+3.42,+16.815, +3.473,+0.970
1636396800,+3.42,+16.815, +3.512,+0.970
1636396860,+3.42,+16.823, +3.556,+0.970
1636396920,+3.42,+16.823, +3.594,+0.970
1636396980,+3.42,+16.806, +3.646,+0.970
1636397040,+3.42,+16.806, +3.697,+0.970
1636397100,+3.42,+16.806, +3.749,+0.970
1636397160,+3.42,+16.823, +3.795,+0.970
1636397220,+3.42,+16.815, +3.841,+0.970
1636397280,+3.42,+16.832, +3.888,+0.970
1636397340,+3.42,+16.832, +3.942,+0.970
1636397400,+3.42,+16.840, +3.990,+0.970
1636397460,+3.42,+16.832, +4.034,+0.970
1636397520,+3.42,+16.789, +4.084,+0.970
1636397580,+3.42,+16.772, +4.134,+0.970
1636397640,+3.42,+16.755, +4.183,+0.970
1636397700,+3.42,+16.747, +4.245,+0.970
1636397760,+3.42,+16.755, +4.294,+0.970
1636397820,+3.42,+16.764, +4.335,+0.970
1636397880,+3.42,+16.764, +4.386,+0.970
1636397940,+3.42,+16.789, +4.433,+0.970
1636398000,+3.42,+16.848, +4.481,+0.970
1636398060,+3.42,+16.865, +4.527,+0.970
1636398120,+3.42,+16.882, +4.572,+0.970
1636398180,+3.42,+16.891, +4.618,+0.970
1636398240,+3.43,+16.899, +4.657,+0.970
1636398300,+3.42,+16.882, +4.704,+0.970
1636398360,+3.42,+16.891, +4.739,+0.970
1636398420,+3.42,+16.891, +4.764,+0.970
1636398480,+3.42,+16.925, +4.794,+0.970
1636398540,+3.42,+16.933, +4.824,+0.970
1636398600,+3.42,+16.916, +4.852,+0.970
1636398660,+3.42,+16.933, +4.885,+0.970
1636398720,+3.42,+16.959, +4.928,+0.970
1636398780,+3.42,+16.984, +4.960,+0.969
1636398840,+3.42,+17.001, +4.987,+0.969
1636398900,+3.42,+16.993, +5.025,+0.970
1636398960,+3.42,+16.993, +5.061,+0.970
1636399020,+3.42,+17.001, +5.097,+0.970
1636399080,+3.42,+17.010, +5.122,+0.970
1636399140,+3.42,+17.001, +5.146,+0.970
1636399200,+3.42,+16.993, +5.172,+0.969
1636399260,+3.42,+16.993, +5.200,+0.970
1636399320,+3.42,+16.993, +5.219,+0.970
1636399380,+3.42,+17.010, +5.240,+0.970
1636399440,+3.42,+17.001, +5.260,+0.969
1636399500,+3.42,+17.035, +5.280,+0.969
1636399560,+3.42,+17.027, +5.303,+0.969
1636399620,+3.43,+17.001, +5.323,+0.969
1636399680,+3.42,+16.942, +5.353,+0.970
1636399740,+3.43,+16.950, +5.375,+0.969
1636399800,+3.42,+16.976, +5.392,+0.969
1636399860,+3.42,+17.001, +5.426,+0.970
1636399920,+3.42,+16.993, +5.445,+0.969
1636399980,+3.42,+17.010, +5.474,+0.969
1636400040,+3.42,+17.035, +5.505,+0.970
1636400100,+3.42,+17.052, +5.511,+0.969
1636400160,+3.42,+17.061, +5.534,+0.969
1636400220,+3.42,+17.078, +5.557,+0.969
1636400280,+3.42,+17.061, +5.582,+0.969
1636400340,+3.42,+17.052, +5.608,+0.970
1636400400,+3.42,+17.069, +5.618,+0.969
1636400460,+3.42,+17.052, +5.645,+0.969
1636400520,+3.42,+17.061, +5.670,+0.969
1636400580,+3.42,+17.061, +5.686,+0.969
1636400640,+3.42,+17.061, +5.702,+0.970
1636400700,+3.42,+17.069, +5.707,+0.969
1636400760,+3.42,+17.052, +5.729,+0.969
1636400820,+3.42,+17.069, +5.736,+0.969
1636400880,+3.42,+17.078, +5.751,+0.969
1636400940,+3.42,+17.078, +5.784,+0.969
1636401000,+3.42,+17.069, +5.800,+0.969
1636401060,+3.42,+17.052, +5.826,+0.969
1636401120,+3.42,+17.044, +5.845,+0.969
1636401180,+3.42,+17.010, +5.867,+0.969
1636401240,+3.42,+16.967, +5.895,+0.969
1636401300,+3.43,+16.967, +5.910,+0.968
1636401360,+3.43,+16.976, +5.922,+0.968
1636401420,+3.43,+16.984, +5.937,+0.969
1636401480,+3.42,+16.984, +5.949,+0.969
1636401540,+3.42,+16.993, +5.961,+0.969
1636401600,+3.42,+16.993, +5.972,+0.969
1636401660,+3.43,+16.984, +5.985,+0.969
1636401720,+3.43,+16.984, +5.994,+0.969
1636401780,+3.42,+16.959, +6.009,+0.968
1636401840,+3.43,+16.967, +6.028,+0.969
1636401900,+3.43,+16.967, +6.037,+0.969
1636401960,+3.42,+16.967, +6.044,+0.969
1636402020,+3.42,+16.984, +6.055,+0.969
1636402080,+3.42,+17.018, +6.056,+0.969
1636402140,+3.42,+17.018, +6.071,+0.969
1636402200,+3.43,+17.001, +6.083,+0.968
1636402260,+3.42,+17.001, +6.098,+0.969
1636402320,+3.42,+17.001, +6.110,+0.968
1636402380,+3.42,+17.001, +6.132,+0.969
1636402440,+3.42,+17.018, +6.137,+0.969
1636402500,+3.42,+17.027, +6.160,+0.969
1636402560,+3.42,+17.035, +6.182,+0.969
1636402620,+3.42,+17.061, +6.183,+0.968
1636402680,+3.42,+17.061, +6.203,+0.969
1636402740,+3.42,+17.035, +6.220,+0.968
1636402800,+3.42,+17.044, +6.240,+0.968
1636402860,+3.42,+17.061, +6.265,+0.969
1636402920,+3.42,+17.052, +6.289,+0.969
1636402980,+3.42,+17.069, +6.305,+0.968
1636403040,+3.42,+17.078, +6.332,+0.968
1636403100,+3.42,+17.112, +6.352,+0.969
1636403160,+3.42,+17.120, +6.369,+0.968
1636403220,+3.42,+17.112, +6.395,+0.968
1636403280,+3.42,+17.086, +6.415,+0.968
1636403340,+3.42,+17.086, +6.429,+0.969
1636403400,+3.42,+17.078, +6.446,+0.968
1636403460,+3.42,+17.086, +6.460,+0.969
1636403520,+3.42,+17.086, +6.476,+0.969
1636403580,+3.42,+17.078, +6.485,+0.968
1636403640,+3.42,+17.078, +6.494,+0.968
1636403700,+3.42,+17.086, +6.517,+0.969
1636403760,+3.42,+17.078, +6.524,+0.968
1636403820,+3.42,+17.061, +6.548,+0.969
1636403880,+3.42,+17.069, +6.565,+0.968
1636403940,+3.42,+17.086, +6.574,+0.968
1636404000,+3.42,+17.078, +6.597,+0.968
1636404060,+3.42,+17.069, +6.616,+0.968
1636404120,+3.42,+17.078, +6.633,+0.968
1636404180,+3.42,+17.078, +6.649,+0.968
1636404240,+3.42,+17.086, +6.658,+0.968
1636404300,+3.42,+17.061, +6.676,+0.968
1636404360,+3.42,+17.069, +6.676,+0.968
1636404420,+3.42,+17.052, +6.700,+0.968
1636404480,+3.42,+17.069, +6.707,+0.968
1636404540,+3.42,+17.052, +6.732,+0.969
1636404600,+3.42,+17.044, +6.749,+0.968
1636404660,+3.42,+17.044, +6.756,+0.968
1636404720,+3.42,+17.052, +6.775,+0.969
1636404780,+3.42,+17.044, +6.791,+0.968
1636404840,+3.42,+17.052, +6.799,+0.968
1636404900,+3.42,+17.044, +6.815,+0.968
1636404960,+3.43,+17.052, +6.840,+0.968
1636405020,+3.42,+17.069, +6.856,+0.968
1636405080,+3.42,+17.078, +6.881,+0.969
1636405140,+3.42,+17.103, +6.884,+0.968
1636405200,+3.43,+17.095, +6.889,+0.968
1636405260,+3.42,+17.061, +6.908,+0.968
1636405320,+3.42,+17.069, +6.915,+0.968
1636405380,+3.42,+17.078, +6.923,+0.968
1636405440,+3.42,+17.095, +6.934,+0.968
1636405500,+3.42,+17.128, +6.936,+0.968
1636405560,+3.42,+17.128, +6.946,+0.968
1636405620,+3.42,+17.103, +6.956,+0.968
1636405680,+3.42,+17.078, +6.966,+0.968
1636405740,+3.42,+17.086, +6.966,+0.968
1636405800,+3.42,+17.120, +6.975,+0.968
1636405860,+3.42,+17.162, +6.978,+0.968
1636405920,+3.42,+17.196, +6.990,+0.968
1636405980,+3.42,+17.213, +6.999,+0.968
1636406040,+3.42,+17.213, +7.006,+0.968
1636406100,+3.42,+17.222, +7.015,+0.968
1636406160,+3.42,+17.239, +7.017,+0.968
1636406220,+3.42,+17.230, +7.030,+0.968
1636406280,+3.42,+17.222, +7.035,+0.968
1636406340,+3.42,+17.188, +7.048,+0.968
1636406400,+3.42,+17.179, +7.059,+0.968
1636406460,+3.42,+17.171, +7.070,+0.968
1636406520,+3.42,+17.162, +7.078,+0.968
1636406580,+3.42,+17.179, +7.068,+0.968
1636406640,+3.42,+17.162, +7.084,+0.968
1636406700,+3.42,+17.162, +7.099,+0.968
1636406760,+3.42,+17.196, +7.093,+0.968
1636406820,+3.42,+17.213, +7.109,+0.968
1636406880,+3.42,+17.239, +7.111,+0.968
1636406940,+3.42,+17.264, +7.109,+0.968
1636407000,+3.42,+17.264, +7.113,+0.968
1636407060,+3.42,+17.323, +7.110,+0.968
1636407120,+3.42,+17.281, +7.121,+0.968
1636407180,+3.42,+17.264, +7.133,+0.968
1636407240,+3.42,+17.289, +7.138,+0.968
1636407300,+3.42,+17.332, +7.139,+0.968
1636407360,+3.42,+17.340, +7.142,+0.968
1636407420,+3.42,+17.357, +7.145,+0.968
1636407480,+3.42,+17.332, +7.158,+0.968
1636407540,+3.42,+17.289, +7.166,+0.968
1636407600,+3.42,+17.298, +7.179,+0.968
1636407660,+3.42,+17.315, +7.177,+0.968
1636407720,+3.42,+17.315, +7.181,+0.968
1636407780,+3.42,+17.306, +7.185,+0.968
1636407840,+3.42,+17.289, +7.194,+0.969
1636407900,+3.42,+17.264, +7.190,+0.968
1636407960,+3.42,+17.256, +7.201,+0.968
1636408020,+3.42,+17.256, +7.191,+0.967
1636408080,+3.42,+17.315, +7.194,+0.968
1636408140,+3.42,+17.306, +7.191,+0.968
1636408200,+3.42,+17.264, +7.205,+0.968
1636408260,+3.42,+17.289, +7.191,+0.968
1636408320,+3.42,+17.256, +7.197,+0.968
1636408380,+3.42,+17.289, +7.192,+0.968
1636408440,+3.42,+17.264, +7.195,+0.968
1636408500,+3.42,+17.256, +7.200,+0.968
1636408560,+3.42,+17.289, +7.192,+0.968
1636408620,+3.42,+17.264, +7.184,+0.967
1636408680,+3.42,+17.281, +7.191,+0.968
1636408740,+3.42,+17.273, +7.184,+0.967
1636408800,+3.42,+17.239, +7.188,+0.968
1636408860,+3.42,+17.239, +7.191,+0.968
1636408920,+3.42,+17.256, +7.196,+0.968
1636408980,+3.42,+17.256, +7.184,+0.968
1636409040,+3.42,+17.273, +7.179,+0.968
1636409100,+3.42,+17.247, +7.190,+0.968
1636409160,+3.42,+17.230, +7.181,+0.968
1636409220,+3.42,+17.196, +7.182,+0.968
1636409280,+3.42,+17.247, +7.173,+0.968
1636409340,+3.42,+17.239, +7.165,+0.967
1636409400,+3.42,+17.239, +7.170,+0.968
1636409460,+3.42,+17.213, +7.171,+0.968
1636409520,+3.42,+17.196, +7.158,+0.967
1636409580,+3.42,+17.213, +7.167,+0.968
1636409640,+3.42,+17.196, +7.163,+0.968
1636409700,+3.42,+17.188, +7.146,+0.967
1636409760,+3.42,+17.179, +7.139,+0.967
1636409820,+3.42,+17.196, +7.143,+0.968
1636409880,+3.42,+17.179, +7.147,+0.968
1636409940,+3.42,+17.239, +7.130,+0.968
1636410000,+3.42,+17.213, +7.130,+0.968
1636410060,+3.42,+17.239, +7.129,+0.968
1636410120,+3.42,+17.281, +7.128,+0.968
1636410180,+3.42,+17.247, +7.124,+0.968
1636410240,+3.42,+17.239, +7.119,+0.967
1636410300,+3.42,+17.281, +7.127,+0.968
1636410360,+3.42,+17.256, +7.129,+0.968
1636410420,+3.42,+17.256, +7.124,+0.968
1636410480,+3.42,+17.256, +7.132,+0.968
1636410540,+3.42,+17.256, +7.115,+0.967
1636410600,+3.42,+17.196, +7.119,+0.968
1636410660,+3.42,+17.162, +7.118,+0.967
1636410720,+3.42,+17.171, +7.110,+0.967
1636410780,+3.42,+17.179, +7.111,+0.968
1636410840,+3.42,+17.162, +7.116,+0.968
1636410900,+3.42,+17.222, +7.099,+0.967
1636410960,+3.42,+17.247, +7.102,+0.968
1636411020,+3.42,+17.306, +7.101,+0.968
1636411080,+3.42,+17.281, +7.097,+0.968
1636411140,+3.42,+17.230, +7.102,+0.968
1636411200,+3.42,+17.230, +7.085,+0.967
1636411260,+3.42,+17.171, +7.102,+0.968
1636411320,+3.42,+17.230, +7.093,+0.968
1636411380,+3.42,+17.256, +7.097,+0.968
1636411440,+3.42,+17.247, +7.089,+0.968
1636411500,+3.42,+17.264, +7.091,+0.968
1636411560,+3.42,+17.281, +7.084,+0.968
1636411620,+3.42,+17.264, +7.098,+0.968
1636411680,+3.42,+17.273, +7.095,+0.968
1636411740,+3.42,+17.298, +7.095,+0.968
1636411800,+3.42,+17.298, +7.094,+0.968
1636411860,+3.42,+17.289, +7.099,+0.968
1636411920,+3.42,+17.298, +7.100,+0.968
1636411980,+3.42,+17.306, +7.104,+0.968
1636412040,+3.42,+17.315, +7.109,+0.968
1636412100,+3.42,+17.289, +7.112,+0.968
1636412160,+3.42,+17.239, +7.087,+0.967
1636412220,+3.42,+17.188, +7.092,+0.967
