7450-738779
OS REV: 1.05 Sensor Cal: 1615484540
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636390140,+3.41,+16.762, +5.303,+0.991
1636390200,+3.41,+16.762, +5.353,+0.991
1636390260,+3.41,+16.762, +5.359,+0.991
1636390320,+3.41,+16.796, +5.378,+0.991
1636390380,+3.41,+16.813, +5.498,+0.991
1636390440,+3.41,+16.847, +5.534,+0.992
1636390500,+3.41,+16.864, +5.557,+0.991
1636390560,+3.41,+16.881, +5.498,+0.991
1636390620,+3.41,+16.873, +5.507,+0.991
1636390680,+3.41,+16.907, +5.494,+0.991
1636390740,+3.41,+16.923, +5.483,+0.991
1636390800,+3.41,+16.923, +5.479,+0.991
1636390860,+3.41,+16.940, +5.468,+0.991
1636390920,+3.41,+16.940, +5.470,+0.991
1636390980,+3.41,+16.957, +5.494,+0.992
1636391040,+3.41,+16.949, +5.486,+0.991
1636391100,+3.41,+16.957, +5.474,+0.991
1636391160,+3.41,+16.940, +5.486,+0.991
1636391220,+3.41,+16.932, +5.514,+0.991
1636391280,+3.41,+16.940, +5.624,+0.991
1636391340,+3.41,+16.957, +5.603,+0.991
1636391400,+3.41,+16.949, +5.661,+0.991
1636391460,+3.41,+16.932, +5.608,+0.991
1636391520,+3.41,+16.940, +5.589,+0.991
1636391580,+3.41,+16.957, +5.647,+0.991
1636391640,+3.41,+16.932, +5.616,+0.991
1636391700,+3.41,+16.949, +5.630,+0.991
1636391760,+3.41,+16.932, +5.613,+0.991
1636391820,+3.41,+16.949, +5.657,+0.991
1636391880,+3.41,+16.940, +5.630,+0.991
1636391940,+3.41,+16.949, +5.652,+0.991
1636392000,+3.41,+16.957, +5.665,+0.991
1636392060,+3.41,+16.974, +5.779,+0.991
1636392120,+3.41,+16.966, +5.762,+0.991
1636392180,+3.41,+16.949, +5.707,+0.991
1636392240,+3.41,+16.957, +5.684,+0.991
1636392300,+3.41,+16.949, +5.692,+0.991
1636392360,+3.41,+16.957, +5.718,+0.991
1636392420,+3.41,+16.974, +5.864,+0.991
1636392480,+3.41,+17.000, +5.874,+0.991
1636392540,+3.41,+16.991, +5.804,+0.991
1636392600,+3.41,+16.991, +5.835,+0.991
1636392660,+3.41,+17.017, +5.842,+0.990
1636392720,+3.41,+17.034, +5.856,+0.990
1636392780,+3.41,+17.025, +5.896,+0.991
1636392840,+3.41,+17.034, +5.854,+0.990
1636392900,+3.41,+17.034, +5.852,+0.991
1636392960,+3.41,+17.042, +5.815,+0.990
1636393020,+3.41,+17.042, +5.831,+0.991
1636393080,+3.41,+17.059, +5.835,+0.990
1636393140,+3.41,+17.042, +5.838,+0.991
1636393200,+3.41,+17.034, +5.786,+0.991
1636393260,+3.41,+17.025, +5.806,+0.990
1636393320,+3.41,+17.008, +5.751,+0.991
1636393380,+3.41,+17.008, +5.724,+0.991
1636393440,+3.41,+17.017, +5.710,+0.991
1636393500,+3.41,+17.017, +5.783,+0.991
1636393560,+3.41,+17.034, +5.789,+0.991
1636393620,+3.41,+17.017, +5.828,+0.991
1636393680,+3.41,+17.034, +5.770,+0.991
1636393740,+3.41,+17.017, +5.786,+0.991
1636393800,+3.41,+17.076, +5.868,+0.991
1636393860,+3.41,+17.059, +5.818,+0.990
1636393920,+3.41,+17.042, +5.743,+0.991
1636393980,+3.41,+17.042, +5.718,+0.990
1636394040,+3.41,+17.059, +5.782,+0.991
1636394100,+3.41,+17.068, +5.778,+0.990
1636394160,+3.41,+17.059, +5.787,+0.991
1636394220,+3.41,+17.051, +5.772,+0.991
1636394280,+3.41,+17.051, +5.719,+0.991
1636394340,+3.41,+17.034, +5.737,+0.991
1636394400,+3.41,+17.051, +5.760,+0.991
1636394460,+3.41,+17.034, +5.762,+0.990
1636394520,+3.41,+17.025, +5.705,+0.991
1636394580,+3.41,+17.017, +5.665,+0.991
1636394640,+3.41,+17.034, +5.710,+0.990
1636394700,+3.41,+17.034, +5.686,+0.991
1636394760,+3.41,+17.042, +5.764,+0.990
1636394820,+3.41,+17.059, +5.743,+0.991
1636394880,+3.41,+17.042, +5.751,+0.991
1636394940,+3.41,+17.068, +5.715,+0.991
1636395000,+3.41,+17.085, +5.777,+0.991
1636395060,+3.41,+17.085, +5.773,+0.991
1636395120,+3.41,+17.068, +5.769,+0.991
1636395180,+3.41,+17.093, +5.842,+0.991
1636395240,+3.41,+17.102, +5.846,+0.990
1636395300,+3.41,+17.127, +5.894,+0.991
1636395360,+3.41,+17.102, +5.825,+0.991
1636395420,+3.41,+17.110, +5.820,+0.991
1636395480,+3.41,+17.127, +5.824,+0.991
1636395540,+3.41,+17.127, +5.833,+0.991
1636395600,+3.41,+17.127, +5.749,+0.991
1636395660,+3.41,+17.110, +5.721,+0.991
1636395720,+3.41,+17.102, +5.763,+0.991
1636395780,+3.41,+17.119, +5.761,+0.991
1636395840,+3.41,+17.110, +5.730,+0.991
1636395900,+3.41,+17.076, +5.712,+0.991
1636395960,+3.41,+17.102, +5.705,+0.991
1636396020,+3.41,+17.093, +5.710,+0.991
1636396080,+3.41,+17.093, +5.732,+0.991
1636396140,+3.41,+17.102, +5.740,+0.990
1636396200,+3.41,+17.110, +5.733,+0.990
1636396260,+3.41,+17.119, +5.730,+0.991
1636396320,+3.41,+17.110, +5.730,+0.991
1636396380,+3.41,+17.127, +5.748,+0.991
1636396440,+3.41,+17.127, +5.743,+0.991
1636396500,+3.41,+17.152, +5.791,+0.991
1636396560,+3.41,+17.152, +5.822,+0.991
1636396620,+3.41,+17.195, +5.838,+0.991
1636396680,+3.41,+17.195, +5.840,+0.991
1636396740,+3.41,+17.203, +5.845,+0.991
