7450-093993
OS REV: 1.05 Sensor Cal: 1626371432
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636392000,+3.52,+17.098, +9.711,+0.991
1636392600,+3.52,+17.064, +9.786,+0.992
1636393200,+3.52,+17.047, +9.801,+0.992
1636393800,+3.52,+17.081, +9.824,+0.992
1636394400,+3.52,+17.242, +9.842,+0.992
1636395000,+3.51,+17.293, +9.902,+0.992
1636395600,+3.51,+17.327, +9.969,+0.992
1636396200,+3.51,+17.369,+10.004,+0.991
1636396800,+3.51,+17.454,+10.018,+0.992
1636397400,+3.51,+17.470, +9.979,+0.992
1636398000,+3.51,+17.487,+10.036,+0.992
1636398600,+3.51,+17.470,+10.045,+0.991
1636399200,+3.51,+17.496,+10.060,+0.991
1636399800,+3.51,+17.572,+10.071,+0.992
1636400400,+3.51,+17.639,+10.041,+0.992
1636401000,+3.51,+17.639,+10.063,+0.992
1636401600,+3.51,+17.656,+10.079,+0.992
1636402200,+3.51,+17.682,+10.098,+0.992
1636402800,+3.51,+17.690,+10.125,+0.992
1636403400,+3.51,+17.724,+10.096,+0.992
1636404000,+3.51,+17.749,+10.079,+0.992
1636404600,+3.51,+17.817,+10.117,+0.992
1636405200,+3.51,+17.884,+10.164,+0.993
1636405800,+3.52,+17.926,+10.217,+0.992
1636406400,+3.52,+17.960,+10.189,+0.992
1636407000,+3.52,+17.994,+10.173,+0.992
1636407600,+3.52,+18.045,+10.189,+0.992
1636408200,+3.52,+18.104,+10.223,+0.992
1636408800,+3.52,+18.120,+10.205,+0.993
1636409400,+3.52,+18.154,+10.195,+0.992
1636410000,+3.52,+18.221,+10.250,+0.992
1636410600,+3.52,+18.179,+10.233,+0.992
1636411200,+3.52,+18.230,+10.233,+0.992
1636411800,+3.52,+18.221,+10.239,+0.992
1636412400,+3.52,+18.205,+10.211,+0.992
1636413000,+3.52,+18.238,+10.245,+0.992
1636413600,+3.52,+18.255,+10.238,+0.992
1636414200,+3.52,+18.238,+10.217,+0.992
1636414800,+3.52,+18.146,+10.152,+0.992
1636415400,+3.52,+18.196,+10.155,+0.992
1636416000,+3.52,+18.188,+10.170,+0.993
1636416600,+3.52,+18.188,+10.145,+0.992
1636417200,+3.51,+17.842,+10.027,+0.992
1636417800,+3.51,+17.732,+10.001,+0.991
1636418400,+3.51,+17.699, +9.975,+0.992
1636419000,+3.51,+17.682, +9.999,+0.992
1636419600,+3.51,+17.682, +9.966,+0.992
1636420200,+3.51,+17.656, +9.969,+0.992
1636420800,+3.51,+17.665, +9.955,+0.992
1636421400,+3.51,+17.656, +9.925,+0.991
1636422000,+3.51,+17.648, +9.913,+0.992
1636422600,+3.51,+17.631, +9.909,+0.992
1636423200,+3.51,+17.639, +9.903,+0.992
1636423800,+3.51,+17.623, +9.868,+0.992
1636424400,+3.51,+17.673, +9.893,+0.992
1636425000,+3.51,+17.707, +9.924,+0.992
1636425600,+3.51,+17.851, +9.977,+0.992
1636426200,+3.51,+17.851, +9.947,+0.992
1636426800,+3.51,+17.851, +9.926,+0.992
1636427400,+3.51,+17.834, +9.929,+0.992
1636428000,+3.51,+17.817, +9.922,+0.992
1636428600,+3.51,+17.817, +9.838,+0.992
1636429200,+3.51,+17.842, +9.900,+0.992
1636429800,+3.51,+17.842, +9.838,+0.992
1636430400,+3.51,+17.842, +9.840,+0.992
1636431000,+3.51,+17.825, +9.810,+0.991
1636431600,+3.51,+17.817, +9.789,+0.991
1636432200,+3.51,+17.817, +9.785,+0.992
1636432800,+3.51,+17.817, +9.792,+0.992
1636433400,+3.51,+17.817, +9.757,+0.992
1636434000,+3.51,+17.791, +9.747,+0.991
1636434600,+3.51,+17.783, +9.728,+0.992
1636435200,+3.51,+17.783, +9.699,+0.991
1636435800,+3.51,+17.732, +9.698,+0.992
1636436400,+3.51,+17.724, +9.677,+0.992
1636437000,+3.51,+17.715, +9.647,+0.992
1636437600,+3.51,+17.673, +9.621,+0.992
1636438200,+3.51,+17.656, +9.603,+0.991
1636438800,+3.51,+17.631, +9.598,+0.992
1636439400,+3.51,+17.606, +9.588,+0.992
1636440000,+3.51,+17.597, +9.584,+0.992
1636440600,+3.51,+17.563, +9.593,+0.992
1636441200,+3.51,+17.547, +9.580,+0.992
1636441800,+3.51,+17.530, +9.575,+0.992
1636442400,+3.51,+17.521, +9.563,+0.991
1636443000,+3.51,+17.513, +9.545,+0.991
1636443600,+3.51,+17.504, +9.563,+0.992
1636444200,+3.51,+17.496, +9.548,+0.991
1636444800,+3.51,+17.487, +9.554,+0.992
1636445400,+3.51,+17.445, +9.565,+0.991
1636446000,+3.51,+17.437, +9.526,+0.992
1636446600,+3.52,+17.411, +9.514,+0.992
1636447200,+3.51,+17.411, +9.510,+0.992
1636447800,+3.52,+17.394, +9.531,+0.992
1636448400,+3.52,+17.394, +9.529,+0.991
1636449000,+3.52,+17.394, +9.540,+0.992
1636449600,+3.51,+17.394, +9.546,+0.992
1636450200,+3.52,+17.386, +9.534,+0.992
1636450800,+3.52,+17.394, +9.581,+0.992
1636451400,+3.51,+17.420, +9.560,+0.991
1636452000,+3.52,+17.420, +9.542,+0.992
1636452600,+3.52,+17.428, +9.505,+0.991
1636453200,+3.51,+17.462, +9.456,+0.991
1636453800,+3.51,+17.454, +9.477,+0.991
1636454400,+3.51,+17.454, +9.445,+0.991
1636455000,+3.51,+17.428, +9.414,+0.991
1636455600,+3.51,+17.420, +9.282,+0.991
1636456200,+3.52,+17.420, +9.250,+0.991
1636456800,+3.52,+17.411, +9.209,+0.991
1636457400,+3.51,+17.403, +9.235,+0.992
1636458000,+3.51,+17.403, +9.199,+0.991
1636458600,+3.52,+17.377, +9.170,+0.992
1636459200,+3.52,+17.377, +9.120,+0.991
1636459800,+3.52,+17.394, +9.155,+0.991
1636460400,+3.52,+17.386, +9.134,+0.991
1636461000,+3.52,+17.361, +9.106,+0.991
1636461600,+3.52,+17.335, +9.118,+0.991
1636462200,+3.52,+17.318, +9.079,+0.992
1636462800,+3.52,+17.318, +9.050,+0.991
1636463400,+3.52,+17.301, +9.061,+0.992
1636464000,+3.52,+17.284, +9.028,+0.991
1636464600,+3.52,+17.301, +9.031,+0.991
1636465200,+3.52,+17.293, +9.051,+0.991
1636465800,+3.52,+17.267, +9.062,+0.992
1636466400,+3.52,+17.284, +8.999,+0.991
1636467000,+3.52,+17.276, +8.937,+0.991
1636467600,+3.52,+17.251, +8.909,+0.991
1636468200,+3.52,+17.267, +8.950,+0.991
1636468800,+3.52,+17.276, +9.050,+0.991
1636469400,+3.52,+17.284, +9.155,+0.992
1636470000,+3.52,+17.327, +9.131,+0.991
1636470600,+3.52,+17.318, +9.145,+0.992
1636471200,+3.51,+17.352, +9.158,+0.991
1636471800,+3.52,+17.369, +9.219,+0.991
1636472400,+3.51,+17.394, +9.272,+0.991
1636473000,+3.51,+17.403, +9.345,+0.991
1636473600,+3.51,+17.428, +9.438,+0.992
1636474200,+3.51,+17.437, +9.505,+0.992
1636474800,+3.51,+17.496, +9.544,+0.992
1636475400,+3.51,+17.513, +9.569,+0.991
1636476000,+3.51,+17.538, +9.578,+0.992
1636476600,+3.51,+17.563, +9.598,+0.992
1636477200,+3.51,+17.606, +9.617,+0.992
1636477800,+3.51,+17.656, +9.577,+0.992
1636478400,+3.51,+17.699, +9.595,+0.991
