MiniDOT Logger Concatenated Data File
Sensor:             7450-093993
Concatenation Date: 2021Nov10 10:54:57 CST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 141.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1636218000,           2021-11-06 17:00:00,           2021-11-06 12:00:00,      3.530000,     19.406000,          9.526000,                   105.325453,      0.991000
                1636218600,           2021-11-06 17:10:00,           2021-11-06 12:10:00,      3.530000,     19.624000,          9.532000,                   105.853433,      0.990000
                1636219200,           2021-11-06 17:20:00,           2021-11-06 12:20:00,      3.530000,     19.951000,          9.592000,                   107.217327,      0.991000
                1636219800,           2021-11-06 17:30:00,           2021-11-06 12:30:00,      3.530000,     20.227000,          9.641000,                   108.357563,      0.990000
                1636220400,           2021-11-06 17:40:00,           2021-11-06 12:40:00,      3.530000,     20.595000,          9.723000,                   110.076974,      0.991000
                1636221000,           2021-11-06 17:50:00,           2021-11-06 12:50:00,      3.530000,     20.587000,          9.706000,                   109.867186,      0.991000
                1636221600,           2021-11-06 18:00:00,           2021-11-06 13:00:00,      3.530000,     20.386000,          9.672000,                   109.048725,      0.991000
                1636222200,           2021-11-06 18:10:00,           2021-11-06 13:10:00,      3.530000,     20.277000,          9.702000,                   109.151249,      0.990000
                1636222800,           2021-11-06 18:20:00,           2021-11-06 13:20:00,      3.530000,     20.303000,          9.696000,                   109.139928,      0.990000
                1636223400,           2021-11-06 18:30:00,           2021-11-06 13:30:00,      3.530000,     20.370000,          9.703000,                   109.363629,      0.991000
                1636224000,           2021-11-06 18:40:00,           2021-11-06 13:40:00,      3.530000,     20.503000,          9.729000,                   109.945219,      0.991000
                1636224600,           2021-11-06 18:50:00,           2021-11-06 13:50:00,      3.530000,     17.606000,         10.379000,                   110.623477,      0.985000
                1636225200,           2021-11-06 19:00:00,           2021-11-06 14:00:00,      3.540000,     16.393000,          9.947000,                   103.366355,      0.986000
                1636225800,           2021-11-06 19:10:00,           2021-11-06 14:10:00,      3.540000,     16.308000,         10.281000,                   106.645592,      0.987000
                1636226400,           2021-11-06 19:20:00,           2021-11-06 14:20:00,      3.540000,     16.249000,         10.270000,                   106.398683,      0.988000
                1636227000,           2021-11-06 19:30:00,           2021-11-06 14:30:00,      3.540000,     16.172000,         10.421000,                   107.787246,      0.988000
                1636227600,           2021-11-06 19:40:00,           2021-11-06 14:40:00,      3.540000,     16.172000,         10.604000,                   109.680064,      0.988000
                1636228200,           2021-11-06 19:50:00,           2021-11-06 14:50:00,      3.540000,     16.257000,         10.896000,                   112.903236,      0.989000
                1636228800,           2021-11-06 20:00:00,           2021-11-06 15:00:00,      3.540000,     16.240000,         10.685000,                   110.677069,      0.988000
                1636229400,           2021-11-06 20:10:00,           2021-11-06 15:10:00,      3.540000,     16.163000,         10.576000,                   109.369601,      0.988000
                1636230000,           2021-11-06 20:20:00,           2021-11-06 15:20:00,      3.540000,     16.155000,         10.631000,                   109.919741,      0.988000
                1636230600,           2021-11-06 20:30:00,           2021-11-06 15:30:00,      3.540000,     16.104000,         10.456000,                   107.993519,      0.988000
                1636231200,           2021-11-06 20:40:00,           2021-11-06 15:40:00,      3.540000,     16.095000,         10.407000,                   107.466916,      0.988000
                1636231800,           2021-11-06 20:50:00,           2021-11-06 15:50:00,      3.540000,     16.163000,         10.314000,                   106.660180,      0.987000
                1636232400,           2021-11-06 21:00:00,           2021-11-06 16:00:00,      3.540000,     16.095000,         10.326000,                   106.630477,      0.988000
                1636233000,           2021-11-06 21:10:00,           2021-11-06 16:10:00,      3.540000,     16.112000,         10.266000,                   106.049114,      0.988000
                1636233600,           2021-11-06 21:20:00,           2021-11-06 16:20:00,      3.540000,     16.095000,         10.192000,                   105.246738,      0.988000
                1636234200,           2021-11-06 21:30:00,           2021-11-06 16:30:00,      3.540000,     16.087000,          9.980000,                   103.040055,      0.988000
                1636234800,           2021-11-06 21:40:00,           2021-11-06 16:40:00,      3.540000,     16.112000,          9.947000,                   102.753803,      0.987000
                1636235400,           2021-11-06 21:50:00,           2021-11-06 16:50:00,      3.530000,     16.121000,         10.022000,                   103.548318,      0.987000
                1636236000,           2021-11-06 22:00:00,           2021-11-06 17:00:00,      3.530000,     16.121000,         10.070000,                   104.044259,      0.988000
                1636236600,           2021-11-06 22:10:00,           2021-11-06 17:10:00,      3.540000,     16.121000,         10.224000,                   105.635402,      0.988000
                1636237200,           2021-11-06 22:20:00,           2021-11-06 17:20:00,      3.530000,     16.214000,         10.094000,                   104.497880,      0.988000
                1636237800,           2021-11-06 22:30:00,           2021-11-06 17:30:00,      3.530000,     16.283000,         10.040000,                   104.090664,      0.987000
                1636238400,           2021-11-06 22:40:00,           2021-11-06 17:40:00,      3.530000,     16.334000,          9.943000,                   103.196164,      0.988000
                1636239000,           2021-11-06 22:50:00,           2021-11-06 17:50:00,      3.530000,     16.572000,          9.954000,                   103.829963,      0.988000
                1636239600,           2021-11-06 23:00:00,           2021-11-06 18:00:00,      3.530000,     16.784000,          9.976000,                   104.523782,      0.988000
                1636240200,           2021-11-06 23:10:00,           2021-11-06 18:10:00,      3.530000,     16.810000,          9.951000,                   104.318677,      0.988000
                1636240800,           2021-11-06 23:20:00,           2021-11-06 18:20:00,      3.530000,     16.810000,          9.925000,                   104.046113,      0.988000
                1636241400,           2021-11-06 23:30:00,           2021-11-06 18:30:00,      3.530000,     16.793000,          9.787000,                   102.562878,      0.988000
                1636242000,           2021-11-06 23:40:00,           2021-11-06 18:40:00,      3.530000,     16.886000,          9.868000,                   103.613346,      0.988000
                1636242600,           2021-11-06 23:50:00,           2021-11-06 18:50:00,      3.530000,     16.861000,          9.823000,                   103.086887,      0.988000
                1636243200,           2021-11-07 00:00:00,           2021-11-06 19:00:00,      3.530000,     16.886000,          9.836000,                   103.277348,      0.988000
                1636243800,           2021-11-07 00:10:00,           2021-11-06 19:10:00,      3.530000,     16.869000,          9.750000,                   102.337932,      0.988000
                1636244400,           2021-11-07 00:20:00,           2021-11-06 19:20:00,      3.530000,     16.793000,          9.704000,                   101.693079,      0.987000
                1636245000,           2021-11-07 00:30:00,           2021-11-06 19:30:00,      3.530000,     16.784000,          9.706000,                   101.694850,      0.987000
                1636245600,           2021-11-07 00:40:00,           2021-11-06 19:40:00,      3.530000,     16.784000,          9.691000,                   101.537687,      0.987000
                1636246200,           2021-11-07 00:50:00,           2021-11-06 19:50:00,      3.530000,     16.784000,          9.727000,                   101.914878,      0.988000
                1636246800,           2021-11-07 01:00:00,           2021-11-06 20:00:00,      3.530000,     16.767000,          9.743000,                   102.046138,      0.988000
                1636247400,           2021-11-07 01:10:00,           2021-11-06 20:10:00,      3.530000,     16.912000,          9.685000,                   101.747196,      0.988000
                1636248000,           2021-11-07 01:20:00,           2021-11-06 20:20:00,      3.530000,     16.920000,          9.571000,                   100.566381,      0.988000
                1636248600,           2021-11-07 01:30:00,           2021-11-06 20:30:00,      3.530000,     17.022000,          9.574000,                   100.812576,      0.988000
                1636249200,           2021-11-07 01:40:00,           2021-11-06 20:40:00,      3.530000,     16.979000,          9.614000,                   101.142880,      0.988000
                1636249800,           2021-11-07 01:50:00,           2021-11-06 20:50:00,      3.530000,     16.912000,          9.543000,                   100.255395,      0.987000
                1636250400,           2021-11-07 02:00:00,           2021-11-06 21:00:00,      3.530000,     16.818000,          9.497000,                    99.575978,      0.988000
                1636251000,           2021-11-07 02:10:00,           2021-11-06 21:10:00,      3.530000,     16.869000,          9.541000,                   100.144227,      0.988000
                1636251600,           2021-11-07 02:20:00,           2021-11-06 21:20:00,      3.530000,     16.946000,          9.633000,                   101.272889,      0.988000
                1636252200,           2021-11-07 02:30:00,           2021-11-06 21:30:00,      3.530000,     16.996000,          9.606000,                   101.094618,      0.987000
                1636252800,           2021-11-07 02:40:00,           2021-11-06 21:40:00,      3.530000,     16.979000,          9.612000,                   101.121839,      0.988000
                1636253400,           2021-11-07 02:50:00,           2021-11-06 21:50:00,      3.530000,     16.784000,          9.279000,                    97.220947,      0.987000
                1636254000,           2021-11-07 03:00:00,           2021-11-06 22:00:00,      3.530000,     16.759000,          9.237000,                    96.730170,      0.987000
                1636254600,           2021-11-07 03:10:00,           2021-11-06 22:10:00,      3.530000,     16.759000,          9.347000,                    97.882094,      0.987000
                1636255200,           2021-11-07 03:20:00,           2021-11-06 22:20:00,      3.530000,     16.767000,          9.372000,                    98.160362,      0.988000
                1636255800,           2021-11-07 03:30:00,           2021-11-06 22:30:00,      3.530000,     16.784000,          9.321000,                    97.661003,      0.987000
                1636256400,           2021-11-07 03:40:00,           2021-11-06 22:40:00,      3.530000,     16.810000,          9.287000,                    97.357808,      0.988000
                1636257000,           2021-11-07 03:50:00,           2021-11-06 22:50:00,      3.530000,     16.818000,          9.400000,                    98.558934,      0.988000
                1636257600,           2021-11-07 04:00:00,           2021-11-06 23:00:00,      3.530000,     16.810000,          9.363000,                    98.154534,      0.987000
                1636258200,           2021-11-07 04:10:00,           2021-11-06 23:10:00,      3.530000,     16.810000,          9.493000,                    99.517355,      0.988000
                1636258800,           2021-11-07 04:20:00,           2021-11-06 23:20:00,      3.530000,     16.818000,          9.423000,                    98.800089,      0.988000
                1636259400,           2021-11-07 04:30:00,           2021-11-06 23:30:00,      3.530000,     16.861000,          9.304000,                    97.640273,      0.988000
                1636260000,           2021-11-07 04:40:00,           2021-11-06 23:40:00,      3.530000,     16.852000,          9.270000,                    97.265130,      0.987000
                1636260600,           2021-11-07 04:50:00,           2021-11-06 23:50:00,      3.530000,     16.827000,          9.107000,                    95.504837,      0.987000
                1636261200,           2021-11-07 05:00:00,           2021-11-07 00:00:00,      3.530000,     16.861000,          8.910000,                    93.505463,      0.988000
                1636261800,           2021-11-07 05:10:00,           2021-11-07 00:10:00,      3.530000,     16.878000,          8.979000,                    94.263120,      0.987000
                1636262400,           2021-11-07 05:20:00,           2021-11-07 00:20:00,      3.530000,     16.852000,          9.031000,                    94.757432,      0.987000
                1636263000,           2021-11-07 05:30:00,           2021-11-07 00:30:00,      3.530000,     16.852000,          8.978000,                    94.201331,      0.987000
                1636263600,           2021-11-07 05:40:00,           2021-11-07 00:40:00,      3.530000,     16.903000,          9.236000,                    97.011893,      0.987000
                1636264200,           2021-11-07 05:50:00,           2021-11-07 00:50:00,      3.530000,     16.886000,          9.327000,                    97.932882,      0.987000
                1636264800,           2021-11-07 06:00:00,           2021-11-07 01:00:00,      3.530000,     16.852000,          9.249000,                    97.044789,      0.987000
                1636265400,           2021-11-07 06:10:00,           2021-11-07 01:10:00,      3.530000,     16.878000,          9.411000,                    98.798332,      0.988000
                1636266000,           2021-11-07 06:20:00,           2021-11-07 01:20:00,      3.530000,     16.852000,          9.403000,                    98.660628,      0.987000
                1636266600,           2021-11-07 06:30:00,           2021-11-07 01:30:00,      3.520000,     16.657000,          8.180000,                    85.478021,      0.986000
                1636267200,           2021-11-07 06:40:00,           2021-11-07 01:40:00,      3.520000,     16.563000,          8.458000,                    88.208514,      0.987000
                1636267800,           2021-11-07 06:50:00,           2021-11-07 01:50:00,      3.520000,     16.512000,          8.695000,                    90.582886,      0.987000
