7450-025638
OS REV: 1.05 Sensor Cal: 1626371622
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636479000,+3.51,+17.818, +9.560,+0.975
1636479600,+3.51,+17.827, +9.624,+0.975
1636480200,+3.51,+17.869, +9.652,+0.975
1636480800,+3.52,+17.911, +9.682,+0.975
1636481400,+3.52,+17.936, +9.702,+0.975
1636482000,+3.52,+17.970, +9.710,+0.975
1636482600,+3.52,+17.978, +9.746,+0.976
1636483200,+3.52,+18.029, +9.749,+0.975
1636483800,+3.52,+18.139, +9.774,+0.975
1636484400,+3.52,+18.164, +9.808,+0.975
1636485000,+3.52,+18.164, +9.810,+0.975
1636485600,+3.52,+18.164, +9.809,+0.975
1636486200,+3.52,+18.130, +9.811,+0.975
1636486800,+3.52,+18.113, +9.827,+0.976
1636487400,+3.52,+18.122, +9.850,+0.975
1636488000,+3.52,+18.130, +9.838,+0.975
1636488600,+3.52,+18.122, +9.852,+0.975
1636489200,+3.52,+18.122, +9.841,+0.975
1636489800,+3.52,+18.130, +9.868,+0.975
1636490400,+3.52,+18.147, +9.934,+0.975
1636491000,+3.52,+18.206, +9.903,+0.975
1636491600,+3.52,+18.189, +9.890,+0.975
1636492200,+3.51,+18.652, +9.823,+0.976
1636492800,+3.52,+18.971, +9.747,+0.976
1636493400,+3.52,+19.223, +9.530,+0.976
