MiniDOT Logger Concatenated Data File
Sensor:             7450-025638
Concatenation Date: 2021Nov10 10:53:21 CST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 141.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1636218000,           2021-11-06 17:00:00,           2021-11-06 12:00:00,      3.530000,     19.802000,          9.686000,                   107.946945,      0.976000
                1636218600,           2021-11-06 17:10:00,           2021-11-06 12:10:00,      3.530000,     19.894000,          9.690000,                   108.189842,      0.976000
                1636219200,           2021-11-06 17:20:00,           2021-11-06 12:20:00,      3.540000,     20.128000,          9.680000,                   108.582421,      0.975000
                1636219800,           2021-11-06 17:30:00,           2021-11-06 12:30:00,      3.530000,     20.455000,          9.684000,                   109.333013,      0.975000
                1636220400,           2021-11-06 17:40:00,           2021-11-06 12:40:00,      3.530000,     20.722000,          9.669000,                   109.739695,      0.975000
                1636221000,           2021-11-06 17:50:00,           2021-11-06 12:50:00,      3.530000,     20.656000,          9.610000,                   108.928487,      0.975000
                1636221600,           2021-11-06 18:00:00,           2021-11-06 13:00:00,      3.530000,     20.438000,          9.588000,                   108.212818,      0.975000
                1636222200,           2021-11-06 18:10:00,           2021-11-06 13:10:00,      3.530000,     20.379000,          9.625000,                   108.503794,      0.976000
                1636222800,           2021-11-06 18:20:00,           2021-11-06 13:20:00,      3.530000,     20.455000,          9.620000,                   108.610448,      0.976000
                1636223400,           2021-11-06 18:30:00,           2021-11-06 13:30:00,      3.530000,     20.580000,          9.627000,                   108.957909,      0.975000
                1636224000,           2021-11-06 18:40:00,           2021-11-06 13:40:00,      3.530000,     20.781000,          9.595000,                   109.026219,      0.975000
                1636224600,           2021-11-06 18:50:00,           2021-11-06 13:50:00,      3.540000,     18.054000,         10.609000,                   114.123498,      0.974000
                1636225200,           2021-11-06 19:00:00,           2021-11-06 14:00:00,      3.540000,     17.345000,         10.898000,                   115.528574,      0.975000
                1636225800,           2021-11-06 19:10:00,           2021-11-06 14:10:00,      3.540000,     17.201000,         10.984000,                   116.092104,      0.976000
                1636226400,           2021-11-06 19:20:00,           2021-11-06 14:20:00,      3.540000,     17.125000,         10.984000,                   115.908446,      0.976000
                1636227000,           2021-11-06 19:30:00,           2021-11-06 14:30:00,      3.540000,     17.133000,         11.026000,                   116.371053,      0.976000
                1636227600,           2021-11-06 19:40:00,           2021-11-06 14:40:00,      3.540000,     17.142000,         11.032000,                   116.456221,      0.977000
                1636228200,           2021-11-06 19:50:00,           2021-11-06 14:50:00,      3.540000,     17.286000,         10.923000,                   115.651720,      0.976000
                1636228800,           2021-11-06 20:00:00,           2021-11-06 15:00:00,      3.540000,     17.209000,         11.044000,                   116.745698,      0.977000
                1636229400,           2021-11-06 20:10:00,           2021-11-06 15:10:00,      3.540000,     17.150000,         10.964000,                   115.757694,      0.976000
                1636230000,           2021-11-06 20:20:00,           2021-11-06 15:20:00,      3.540000,     17.218000,         10.956000,                   115.837152,      0.976000
                1636230600,           2021-11-06 20:30:00,           2021-11-06 15:30:00,      3.540000,     17.108000,         11.027000,                   116.320968,      0.976000
                1636231200,           2021-11-06 20:40:00,           2021-11-06 15:40:00,      3.540000,     17.235000,         10.765000,                   113.857993,      0.976000
                1636231800,           2021-11-06 20:50:00,           2021-11-06 15:50:00,      3.540000,     17.192000,         10.690000,                   112.963589,      0.975000
                1636232400,           2021-11-06 21:00:00,           2021-11-06 16:00:00,      3.540000,     17.192000,         10.503000,                   110.987519,      0.976000
                1636233000,           2021-11-06 21:10:00,           2021-11-06 16:10:00,      3.540000,     17.243000,         10.308000,                   109.042597,      0.976000
                1636233600,           2021-11-06 21:20:00,           2021-11-06 16:20:00,      3.540000,     17.167000,         10.386000,                   109.694025,      0.976000
                1636234200,           2021-11-06 21:30:00,           2021-11-06 16:30:00,      3.540000,     17.176000,         10.383000,                   109.682900,      0.976000
                1636234800,           2021-11-06 21:40:00,           2021-11-06 16:40:00,      3.540000,     17.192000,         10.313000,                   108.979747,      0.976000
                1636235400,           2021-11-06 21:50:00,           2021-11-06 16:50:00,      3.530000,     17.176000,         10.310000,                   108.911750,      0.976000
                1636236000,           2021-11-06 22:00:00,           2021-11-06 17:00:00,      3.540000,     17.125000,         10.283000,                   108.511157,      0.976000
                1636236600,           2021-11-06 22:10:00,           2021-11-06 17:10:00,      3.540000,     17.116000,         10.221000,                   107.836668,      0.976000
                1636237200,           2021-11-06 22:20:00,           2021-11-06 17:20:00,      3.530000,     17.201000,         10.151000,                   107.287960,      0.977000
                1636237800,           2021-11-06 22:30:00,           2021-11-06 17:30:00,      3.530000,     17.159000,         10.112000,                   106.782316,      0.976000
                1636238400,           2021-11-06 22:40:00,           2021-11-06 17:40:00,      3.530000,     17.125000,         10.059000,                   106.147401,      0.976000
                1636239000,           2021-11-06 22:50:00,           2021-11-06 17:50:00,      3.530000,     17.142000,         10.032000,                   105.900000,      0.976000
                1636239600,           2021-11-06 23:00:00,           2021-11-06 18:00:00,      3.530000,     17.176000,         10.038000,                   106.038423,      0.976000
                1636240200,           2021-11-06 23:10:00,           2021-11-06 18:10:00,      3.530000,     17.142000,         10.016000,                   105.731101,      0.976000
                1636240800,           2021-11-06 23:20:00,           2021-11-06 18:20:00,      3.530000,     17.082000,         10.009000,                   105.525113,      0.976000
                1636241400,           2021-11-06 23:30:00,           2021-11-06 18:30:00,      3.530000,     17.040000,          9.964000,                   104.958646,      0.976000
                1636242000,           2021-11-06 23:40:00,           2021-11-06 18:40:00,      3.530000,     17.057000,          9.917000,                   104.500631,      0.975000
                1636242600,           2021-11-06 23:50:00,           2021-11-06 18:50:00,      3.530000,     16.998000,          9.863000,                   103.803652,      0.976000
                1636243200,           2021-11-07 00:00:00,           2021-11-06 19:00:00,      3.530000,     16.972000,          9.798000,                   103.063552,      0.976000
                1636243800,           2021-11-07 00:10:00,           2021-11-06 19:10:00,      3.530000,     16.989000,          9.703000,                   102.100525,      0.975000
                1636244400,           2021-11-07 00:20:00,           2021-11-06 19:20:00,      3.530000,     16.913000,          9.639000,                   101.266055,      0.976000
                1636245000,           2021-11-07 00:30:00,           2021-11-06 19:30:00,      3.530000,     16.930000,          9.660000,                   101.522771,      0.975000
                1636245600,           2021-11-07 00:40:00,           2021-11-06 19:40:00,      3.530000,     16.904000,          9.642000,                   101.278501,      0.976000
                1636246200,           2021-11-07 00:50:00,           2021-11-06 19:50:00,      3.530000,     16.887000,          9.615000,                   100.958976,      0.976000
                1636246800,           2021-11-07 01:00:00,           2021-11-06 20:00:00,      3.530000,     16.862000,          9.601000,                   100.759231,      0.975000
                1636247400,           2021-11-07 01:10:00,           2021-11-06 20:10:00,      3.530000,     16.981000,          9.560000,                   100.578983,      0.976000
                1636248000,           2021-11-07 01:20:00,           2021-11-06 20:20:00,      3.530000,     17.040000,          9.593000,                   101.050611,      0.976000
                1636248600,           2021-11-07 01:30:00,           2021-11-06 20:30:00,      3.530000,     17.159000,          9.501000,                   100.330181,      0.975000
                1636249200,           2021-11-07 01:40:00,           2021-11-06 20:40:00,      3.530000,     17.108000,          9.485000,                   100.054809,      0.975000
                1636249800,           2021-11-07 01:50:00,           2021-11-06 20:50:00,      3.530000,     17.091000,          9.497000,                   100.145884,      0.976000
                1636250400,           2021-11-07 02:00:00,           2021-11-06 21:00:00,      3.530000,     17.082000,          9.507000,                   100.232515,      0.975000
                1636251000,           2021-11-07 02:10:00,           2021-11-06 21:10:00,      3.530000,     17.142000,          9.531000,                   100.611334,      0.976000
                1636251600,           2021-11-07 02:20:00,           2021-11-06 21:20:00,      3.530000,     17.311000,          9.769000,                   103.487036,      0.976000
                1636252200,           2021-11-07 02:30:00,           2021-11-06 21:30:00,      3.530000,     17.429000,          9.748000,                   103.517862,      0.976000
                1636252800,           2021-11-07 02:40:00,           2021-11-06 21:40:00,      3.530000,     17.303000,          9.527000,                   100.906652,      0.976000
                1636253400,           2021-11-07 02:50:00,           2021-11-06 21:50:00,      3.530000,     17.099000,          9.560000,                   100.827040,      0.975000
                1636254000,           2021-11-07 03:00:00,           2021-11-06 22:00:00,      3.530000,     17.048000,          9.565000,                   100.772492,      0.975000
                1636254600,           2021-11-07 03:10:00,           2021-11-06 22:10:00,      3.530000,     17.074000,          9.591000,                   101.101254,      0.975000
                1636255200,           2021-11-07 03:20:00,           2021-11-06 22:20:00,      3.530000,     17.040000,          9.594000,                   101.061145,      0.975000
                1636255800,           2021-11-07 03:30:00,           2021-11-06 22:30:00,      3.530000,     16.972000,          9.587000,                   100.844077,      0.975000
                1636256400,           2021-11-07 03:40:00,           2021-11-06 22:40:00,      3.530000,     16.955000,          9.593000,                   100.871342,      0.976000
                1636257000,           2021-11-07 03:50:00,           2021-11-06 22:50:00,      3.530000,     16.964000,          9.582000,                   100.774632,      0.975000
                1636257600,           2021-11-07 04:00:00,           2021-11-06 23:00:00,      3.530000,     16.955000,          9.583000,                   100.766191,      0.975000
                1636258200,           2021-11-07 04:10:00,           2021-11-06 23:10:00,      3.530000,     16.964000,          9.603000,                   100.995491,      0.976000
                1636258800,           2021-11-07 04:20:00,           2021-11-06 23:20:00,      3.530000,     16.972000,          9.608000,                   101.064973,      0.976000
                1636259400,           2021-11-07 04:30:00,           2021-11-06 23:30:00,      3.530000,     16.989000,          9.604000,                   101.058790,      0.976000
                1636260000,           2021-11-07 04:40:00,           2021-11-06 23:40:00,      3.530000,     17.015000,          9.590000,                   100.966293,      0.976000
                1636260600,           2021-11-07 04:50:00,           2021-11-06 23:50:00,      3.530000,     17.031000,          9.568000,                   100.768331,      0.976000
                1636261200,           2021-11-07 05:00:00,           2021-11-07 00:00:00,      3.530000,     17.023000,          9.554000,                   100.604080,      0.975000
                1636261800,           2021-11-07 05:10:00,           2021-11-07 00:10:00,      3.530000,     17.040000,          9.561000,                   100.713530,      0.976000
                1636262400,           2021-11-07 05:20:00,           2021-11-07 00:20:00,      3.530000,     17.082000,          9.741000,                   102.699582,      0.975000
                1636263000,           2021-11-07 05:30:00,           2021-11-07 00:30:00,      3.530000,     17.065000,          9.688000,                   102.104582,      0.975000
                1636263600,           2021-11-07 05:40:00,           2021-11-07 00:40:00,      3.530000,     17.048000,          9.753000,                   102.753174,      0.976000
                1636264200,           2021-11-07 05:50:00,           2021-11-07 00:50:00,      3.530000,     17.023000,          9.610000,                   101.193763,      0.975000
                1636264800,           2021-11-07 06:00:00,           2021-11-07 01:00:00,      3.530000,     16.989000,          9.647000,                   101.511260,      0.976000
                1636265400,           2021-11-07 06:10:00,           2021-11-07 01:10:00,      3.530000,     16.972000,          9.685000,                   101.874923,      0.976000
                1636266000,           2021-11-07 06:20:00,           2021-11-07 01:20:00,      3.530000,     16.930000,          9.706000,                   102.006213,      0.976000
                1636266600,           2021-11-07 06:30:00,           2021-11-07 01:30:00,      3.530000,     16.904000,          9.588000,                   100.711291,      0.976000
                1636267200,           2021-11-07 06:40:00,           2021-11-07 01:40:00,      3.530000,     16.921000,          9.576000,                   100.621022,      0.975000
                1636267800,           2021-11-07 06:50:00,           2021-11-07 01:50:00,      3.530000,     16.845000,          9.451000,                    99.149730,      0.976000
                1636268400,           2021-11-07 07:00:00,           2021-11-07 01:00:00,      3.530000,     16.819000,          9.432000,                    98.896526,      0.975000
                1636269000,           2021-11-07 07:10:00,           2021-11-07 01:10:00,      3.530000,     16.785000,          9.338000,                    97.841172,      0.975000
                1636269600,           2021-11-07 07:20:00,           2021-11-07 01:20:00,      3.530000,     16.743000,          9.294000,                    97.294417,      0.975000
                1636270200,           2021-11-07 07:30:00,           2021-11-07 01:30:00,      3.520000,     16.734000,          9.469000,                    99.107693,      0.976000
                1636270800,           2021-11-07 07:40:00,           2021-11-07 01:40:00,      3.520000,     16.692000,          9.423000,                    98.539327,      0.975000
                1636271400,           2021-11-07 07:50:00,           2021-11-07 01:50:00,      3.520000,     16.649000,          9.385000,                    98.053349,      0.975000
                1636272000,           2021-11-07 08:00:00,           2021-11-07 02:00:00,      3.530000,     16.607000,          9.439000,                    98.530514,      0.976000
                1636272600,           2021-11-07 08:10:00,           2021-11-07 02:10:00,      3.520000,     16.607000,          9.345000,                    97.549280,      0.975000
                1636273200,           2021-11-07 08:20:00,           2021-11-07 02:20:00,      3.520000,     16.564000,          9.339000,                    97.398515,      0.976000
                1636273800,           2021-11-07 08:30:00,           2021-11-07 02:30:00,      3.520000,     16.539000,          9.140000,                    95.272959,      0.975000
                1636274400,           2021-11-07 08:40:00,           2021-11-07 02:40:00,      3.520000,     16.513000,          8.648000,                    90.095146,      0.975000
                1636275000,           2021-11-07 08:50:00,           2021-11-07 02:50:00,      3.520000,     16.496000,          8.799000,                    91.635452,      0.975000
                1636275600,           2021-11-07 09:00:00,           2021-11-07 03:00:00,      3.530000,     16.403000,          9.420000,                    97.910580,      0.975000
                1636276200,           2021-11-07 09:10:00,           2021-11-07 03:10:00,      3.530000,     16.394000,          9.525000,                    98.983142,      0.976000
                1636276800,           2021-11-07 09:20:00,           2021-11-07 03:20:00,      3.530000,     16.360000,          9.151000,                    95.028337,      0.975000
                1636277400,           2021-11-07 09:30:00,           2021-11-07 03:30:00,      3.520000,     16.386000,          9.323000,                    96.867617,      0.976000
                1636278000,           2021-11-07 09:40:00,           2021-11-07 03:40:00,      3.520000,     16.377000,          9.472000,                    98.397060,      0.975000
                1636278600,           2021-11-07 09:50:00,           2021-11-07 03:50:00,      3.520000,     16.352000,          9.592000,                    99.591067,      0.976000
                1636279200,           2021-11-07 10:00:00,           2021-11-07 04:00:00,      3.530000,     16.360000,          9.542000,                    99.088667,      0.975000
                1636279800,           2021-11-07 10:10:00,           2021-11-07 04:10:00,      3.520000,     16.360000,          9.626000,                    99.960963,      0.975000
                1636280400,           2021-11-07 10:20:00,           2021-11-07 04:20:00,      3.530000,     16.343000,          9.629000,                    99.956228,      0.975000
                1636281000,           2021-11-07 10:30:00,           2021-11-07 04:30:00,      3.530000,     16.292000,          9.907000,                   102.731317,      0.976000
                1636281600,           2021-11-07 10:40:00,           2021-11-07 04:40:00,      3.530000,     16.318000,          9.698000,                   100.619348,      0.976000
                1636282200,           2021-11-07 10:50:00,           2021-11-07 04:50:00,      3.520000,     16.318000,          9.740000,                   101.055109,      0.976000
                1636282800,           2021-11-07 11:00:00,           2021-11-07 05:00:00,      3.530000,     16.301000,          9.685000,                   100.448378,      0.976000
                1636283400,           2021-11-07 11:10:00,           2021-11-07 05:10:00,      3.520000,     16.301000,          9.504000,                    98.571129,      0.975000
                1636284000,           2021-11-07 11:20:00,           2021-11-07 05:20:00,      3.520000,     16.258000,          9.745000,                   100.978828,      0.976000
                1636284600,           2021-11-07 11:30:00,           2021-11-07 05:30:00,      3.520000,     16.232000,          9.758000,                   101.057937,      0.976000
                1636285200,           2021-11-07 11:40:00,           2021-11-07 05:40:00,      3.520000,     16.241000,          9.712000,                   100.600696,      0.976000
                1636285800,           2021-11-07 11:50:00,           2021-11-07 05:50:00,      3.520000,     16.232000,          9.557000,                    98.976296,      0.975000
                1636286400,           2021-11-07 12:00:00,           2021-11-07 06:00:00,      3.530000,     16.215000,          9.387000,                    97.180737,      0.976000
                1636287000,           2021-11-07 12:10:00,           2021-11-07 06:10:00,      3.530000,     16.215000,          9.162000,                    94.851381,      0.975000
                1636287600,           2021-11-07 12:20:00,           2021-11-07 06:20:00,      3.530000,     16.173000,          9.442000,                    97.663250,      0.975000
                1636288200,           2021-11-07 12:30:00,           2021-11-07 06:30:00,      3.520000,     16.147000,          9.284000,                    95.976100,      0.976000
                1636288800,           2021-11-07 12:40:00,           2021-11-07 06:40:00,      3.520000,     16.164000,          8.768000,                    90.674449,      0.975000
