7450-131712
OS REV: 1.05 Sensor Cal: 1626368174
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636479000,+3.51,+17.847, +9.529,+0.990
1636479600,+3.51,+17.881, +9.594,+0.990
1636480200,+3.51,+17.923, +9.638,+0.990
1636480800,+3.51,+17.940, +9.665,+0.990
1636481400,+3.51,+17.965, +9.691,+0.990
1636482000,+3.51,+18.008, +9.701,+0.990
1636482600,+3.51,+18.024, +9.724,+0.990
1636483200,+3.51,+18.083, +9.744,+0.990
1636483800,+3.51,+18.227, +9.753,+0.989
1636484400,+3.51,+18.218, +9.809,+0.990
1636485000,+3.51,+18.210, +9.817,+0.990
1636485600,+3.51,+18.227, +9.821,+0.991
1636486200,+3.51,+18.210, +9.811,+0.990
1636486800,+3.51,+18.168, +9.837,+0.990
1636487400,+3.51,+18.185, +9.840,+0.990
1636488000,+3.51,+18.176, +9.836,+0.990
1636488600,+3.51,+18.185, +9.847,+0.990
1636489200,+3.51,+18.193, +9.864,+0.990
1636489800,+3.51,+18.235, +9.881,+0.990
1636490400,+3.51,+18.227, +9.920,+0.990
1636491000,+3.51,+18.244, +9.877,+0.990
1636491600,+3.51,+18.210, +9.854,+0.990
1636492200,+3.51,+18.505, +9.778,+0.990
1636492800,+3.51,+18.967, +9.685,+0.990
1636493400,+3.51,+19.219, +9.494,+0.990
