MiniDOT Logger Concatenated Data File
Sensor:             7450-131712
Concatenation Date: 2021Nov10 10:51:04 CST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 141.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1636218000,           2021-11-06 17:00:00,           2021-11-06 12:00:00,      3.530000,     19.462000,          9.663000,                   106.960388,      0.995000
                1636218600,           2021-11-06 17:10:00,           2021-11-06 12:10:00,      3.530000,     19.722000,          9.632000,                   107.173777,      0.995000
                1636219200,           2021-11-06 17:20:00,           2021-11-06 12:20:00,      3.530000,     20.032000,          9.612000,                   107.614184,      0.994000
                1636219800,           2021-11-06 17:30:00,           2021-11-06 12:30:00,      3.530000,     20.383000,          9.512000,                   107.238414,      0.994000
                1636220400,           2021-11-06 17:40:00,           2021-11-06 12:40:00,      3.530000,     20.718000,          9.485000,                   107.642891,      0.995000
                1636221000,           2021-11-06 17:50:00,           2021-11-06 12:50:00,      3.530000,     20.676000,          9.477000,                   107.463249,      0.995000
                1636221600,           2021-11-06 18:00:00,           2021-11-06 13:00:00,      3.530000,     20.433000,          9.513000,                   107.355741,      0.994000
                1636222200,           2021-11-06 18:10:00,           2021-11-06 13:10:00,      3.530000,     20.350000,          9.555000,                   107.652904,      0.994000
                1636222800,           2021-11-06 18:20:00,           2021-11-06 13:20:00,      3.530000,     20.392000,          9.555000,                   107.742368,      0.994000
                1636223400,           2021-11-06 18:30:00,           2021-11-06 13:30:00,      3.530000,     20.517000,          9.553000,                   107.986115,      0.994000
                1636224000,           2021-11-06 18:40:00,           2021-11-06 13:40:00,      3.530000,     20.651000,          9.565000,                   108.407742,      0.994000
                1636224600,           2021-11-06 18:50:00,           2021-11-06 13:50:00,      3.530000,     18.117000,         10.545000,                   113.581760,      0.994000
                1636225200,           2021-11-06 19:00:00,           2021-11-06 14:00:00,      3.530000,     17.535000,         10.830000,                   115.260952,      0.995000
                1636225800,           2021-11-06 19:10:00,           2021-11-06 14:10:00,      3.530000,     17.484000,         10.827000,                   115.107363,      0.994000
                1636226400,           2021-11-06 19:20:00,           2021-11-06 14:20:00,      3.530000,     17.459000,         10.833000,                   115.111491,      0.995000
                1636227000,           2021-11-06 19:30:00,           2021-11-06 14:30:00,      3.530000,     17.476000,         10.807000,                   114.875686,      0.994000
                1636227600,           2021-11-06 19:40:00,           2021-11-06 14:40:00,      3.530000,     17.501000,         10.780000,                   114.648057,      0.994000
                1636228200,           2021-11-06 19:50:00,           2021-11-06 14:50:00,      3.530000,     17.518000,         10.702000,                   113.858592,      0.994000
                1636228800,           2021-11-06 20:00:00,           2021-11-06 15:00:00,      3.530000,     17.493000,         10.725000,                   114.044214,      0.995000
                1636229400,           2021-11-06 20:10:00,           2021-11-06 15:10:00,      3.530000,     17.442000,         10.716000,                   113.828121,      0.994000
                1636230000,           2021-11-06 20:20:00,           2021-11-06 15:20:00,      3.530000,     17.459000,         10.503000,                   111.604910,      0.994000
                1636230600,           2021-11-06 20:30:00,           2021-11-06 15:30:00,      3.530000,     17.400000,         10.581000,                   112.296238,      0.995000
                1636231200,           2021-11-06 20:40:00,           2021-11-06 15:40:00,      3.530000,     17.459000,         10.358000,                   110.064140,      0.994000
                1636231800,           2021-11-06 20:50:00,           2021-11-06 15:50:00,      3.530000,     17.425000,         10.328000,                   109.668012,      0.994000
                1636232400,           2021-11-06 21:00:00,           2021-11-06 16:00:00,      3.530000,     17.383000,         10.248000,                   108.723740,      0.994000
                1636233000,           2021-11-06 21:10:00,           2021-11-06 16:10:00,      3.530000,     17.400000,         10.131000,                   107.520384,      0.994000
                1636233600,           2021-11-06 21:20:00,           2021-11-06 16:20:00,      3.530000,     17.391000,         10.121000,                   107.394194,      0.994000
