7450-063974
OS REV: 1.05 Sensor Cal: 1626367565
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636391520,+3.51,+18.681, +9.791,+0.974
1636392120,+3.51,+18.681, +9.864,+0.975
1636392720,+3.51,+18.689, +9.836,+0.975
1636393320,+3.51,+18.689, +9.914,+0.975
1636393920,+3.51,+18.689, +9.894,+0.975
1636394520,+3.51,+18.731, +9.975,+0.974
1636395120,+3.51,+18.773, +9.965,+0.975
1636395720,+3.51,+18.799, +9.978,+0.974
1636396320,+3.51,+18.807, +9.956,+0.974
1636396920,+3.51,+18.799, +9.946,+0.975
1636397520,+3.51,+18.824, +9.966,+0.975
1636398120,+3.51,+18.832, +9.959,+0.974
1636398720,+3.51,+18.849,+10.030,+0.975
1636399320,+3.51,+18.849,+10.053,+0.974
1636399920,+3.51,+18.832,+10.062,+0.974
1636400520,+3.51,+18.874,+10.092,+0.975
1636401120,+3.51,+18.866,+10.086,+0.974
1636401720,+3.51,+18.866,+10.154,+0.975
1636402320,+3.51,+18.916,+10.208,+0.975
1636402920,+3.51,+18.941,+10.250,+0.975
1636403520,+3.51,+18.958,+10.264,+0.975
1636404120,+3.51,+18.941,+10.315,+0.975
1636404720,+3.51,+18.958,+10.265,+0.975
1636405320,+3.51,+18.941,+10.300,+0.975
1636405920,+3.51,+18.975,+10.352,+0.975
1636406520,+3.51,+18.983,+10.358,+0.975
1636407120,+3.51,+19.000,+10.352,+0.974
1636407720,+3.51,+18.967,+10.369,+0.974
1636408320,+3.51,+18.950,+10.354,+0.975
1636408920,+3.51,+18.941,+10.382,+0.975
1636409520,+3.51,+18.950,+10.273,+0.975
1636410120,+3.51,+18.941,+10.289,+0.975
1636410720,+3.51,+18.933,+10.289,+0.975
1636411320,+3.51,+18.925,+10.261,+0.975
1636411920,+3.51,+18.925,+10.249,+0.975
1636412520,+3.51,+18.908,+10.269,+0.975
1636413120,+3.51,+18.916,+10.243,+0.975
1636413720,+3.51,+18.933,+10.271,+0.975
1636414320,+3.51,+18.916,+10.282,+0.975
1636414920,+3.51,+18.916,+10.272,+0.975
1636415520,+3.51,+18.925,+10.270,+0.975
1636416120,+3.51,+18.925,+10.272,+0.974
1636416720,+3.51,+18.916,+10.297,+0.975
1636417320,+3.51,+18.941,+10.313,+0.975
1636417920,+3.51,+18.950,+10.430,+0.974
1636418520,+3.51,+18.958,+10.395,+0.974
1636419120,+3.51,+18.967,+10.386,+0.975
1636419720,+3.51,+18.983,+10.398,+0.975
1636420320,+3.51,+18.958,+10.347,+0.974
1636420920,+3.51,+18.941,+10.340,+0.975
1636421520,+3.51,+18.925,+10.298,+0.975
1636422120,+3.51,+18.916,+10.282,+0.975
1636422720,+3.51,+18.916,+10.253,+0.974
1636423320,+3.51,+18.891,+10.266,+0.974
1636423920,+3.51,+18.891,+10.234,+0.975
1636424520,+3.51,+18.899,+10.214,+0.975
1636425120,+3.51,+18.883,+10.224,+0.974
1636425720,+3.51,+18.874,+10.191,+0.975
1636426320,+3.51,+18.866,+10.148,+0.975
1636426920,+3.51,+18.866,+10.119,+0.975
1636427520,+3.51,+18.857,+10.150,+0.975
1636428120,+3.51,+18.866,+10.134,+0.974
1636428720,+3.51,+18.857,+10.100,+0.974
1636429320,+3.51,+18.849,+10.089,+0.974
1636429920,+3.51,+18.849,+10.069,+0.974
1636430520,+3.51,+18.849,+10.090,+0.974
1636431120,+3.51,+18.841,+10.020,+0.975
1636431720,+3.51,+18.857,+10.040,+0.974
1636432320,+3.51,+18.849, +9.990,+0.974
1636432920,+3.51,+18.832,+10.006,+0.975
1636433520,+3.51,+18.841,+10.023,+0.974
1636434120,+3.51,+18.815,+10.002,+0.975
1636434720,+3.51,+18.832, +9.964,+0.975
1636435320,+3.51,+18.824, +9.966,+0.975
1636435920,+3.51,+18.807, +9.927,+0.974
1636436520,+3.51,+18.807, +9.954,+0.974
1636437120,+3.51,+18.824, +9.929,+0.974
1636437720,+3.51,+18.807, +9.976,+0.974
1636438320,+3.51,+18.790, +9.988,+0.975
1636438920,+3.51,+18.782, +9.997,+0.975
1636439520,+3.51,+18.790, +9.925,+0.974
1636440120,+3.51,+18.782, +9.899,+0.974
1636440720,+3.51,+18.757, +9.892,+0.975
1636441320,+3.51,+18.782, +9.883,+0.975
1636441920,+3.51,+18.757, +9.892,+0.974
1636442520,+3.51,+18.765, +9.869,+0.974
1636443120,+3.51,+18.757, +9.877,+0.974
1636443720,+3.51,+18.757, +9.872,+0.974
1636444320,+3.51,+18.748, +9.834,+0.974
1636444920,+3.51,+18.740, +9.834,+0.974
1636445520,+3.51,+18.723, +9.851,+0.975
1636446120,+3.51,+18.757, +9.843,+0.974
1636446720,+3.51,+18.723, +9.828,+0.974
1636447320,+3.51,+18.715, +9.852,+0.974
1636447920,+3.51,+18.698, +9.848,+0.974
1636448520,+3.51,+18.723, +9.826,+0.974
1636449120,+3.51,+18.681, +9.828,+0.974
1636449720,+3.51,+18.689, +9.809,+0.975
1636450320,+3.51,+18.723, +9.786,+0.974
1636450920,+3.51,+18.715, +9.761,+0.974
1636451520,+3.51,+18.723, +9.670,+0.974
1636452120,+3.51,+18.715, +9.653,+0.973
1636452720,+3.51,+18.698, +9.664,+0.975
1636453320,+3.51,+18.681, +9.653,+0.974
1636453920,+3.51,+18.681, +9.642,+0.974
1636454520,+3.51,+18.673, +9.654,+0.974
1636455120,+3.51,+18.689, +9.627,+0.974
1636455720,+3.51,+18.656, +9.639,+0.974
1636456320,+3.51,+18.639, +9.635,+0.974
1636456920,+3.51,+18.639, +9.615,+0.974
1636457520,+3.51,+18.639, +9.603,+0.974
1636458120,+3.51,+18.614, +9.609,+0.974
1636458720,+3.51,+18.622, +9.578,+0.974
1636459320,+3.51,+18.597, +9.525,+0.974
1636459920,+3.51,+18.597, +9.524,+0.974
1636460520,+3.51,+18.563, +9.488,+0.974
1636461120,+3.51,+18.580, +9.448,+0.974
1636461720,+3.51,+18.521, +9.444,+0.974
1636462320,+3.51,+18.538, +9.400,+0.974
1636462920,+3.51,+18.538, +9.410,+0.974
1636463520,+3.51,+18.521, +9.387,+0.974
1636464120,+3.51,+18.496, +9.425,+0.974
1636464720,+3.51,+18.496, +9.438,+0.975
1636465320,+3.51,+18.479, +9.458,+0.974
1636465920,+3.51,+18.496, +9.452,+0.974
1636466520,+3.51,+18.496, +9.467,+0.973
1636467120,+3.51,+18.488, +9.448,+0.974
1636467720,+3.51,+18.488, +9.481,+0.974
1636468320,+3.51,+18.521, +9.458,+0.974
1636468920,+3.51,+18.521, +9.629,+0.974
1636469520,+3.51,+18.521, +9.669,+0.974
1636470120,+3.51,+18.538, +9.563,+0.974
1636470720,+3.51,+18.555, +9.698,+0.974
1636471320,+3.51,+18.563, +9.699,+0.974
1636471920,+3.51,+18.580, +9.699,+0.974
1636472520,+3.51,+18.597, +9.704,+0.974
1636473120,+3.51,+18.597, +9.702,+0.974
1636473720,+3.51,+18.622, +9.732,+0.974
1636474320,+3.51,+18.605, +9.739,+0.974
1636474920,+3.51,+18.622, +9.721,+0.974
1636475520,+3.51,+18.673, +9.761,+0.974
1636476120,+3.51,+18.647, +9.742,+0.974
1636476720,+3.51,+18.698, +9.785,+0.974
1636477320,+3.51,+18.689, +9.829,+0.974
1636477920,+3.51,+18.706, +9.876,+0.974
