MiniDOT Logger Concatenated Data File
Sensor:             7450-063974
Concatenation Date: 2021Nov10 11:02:20 CST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 141.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1636217520,           2021-11-06 16:52:00,           2021-11-06 11:52:00,      3.520000,     19.847000,         10.316000,                   115.071326,      0.976000
                1636218120,           2021-11-06 17:02:00,           2021-11-06 12:02:00,      3.520000,     19.755000,         10.291000,                   114.581882,      0.976000
                1636218720,           2021-11-06 17:12:00,           2021-11-06 12:12:00,      3.520000,     19.705000,         10.253000,                   114.044794,      0.976000
                1636219320,           2021-11-06 17:22:00,           2021-11-06 12:22:00,      3.520000,     19.939000,         10.241000,                   114.444361,      0.976000
                1636219920,           2021-11-06 17:32:00,           2021-11-06 12:32:00,      3.530000,     20.458000,         10.191000,                   115.063895,      0.976000
                1636220520,           2021-11-06 17:42:00,           2021-11-06 12:42:00,      3.520000,     20.801000,         10.110000,                   114.923223,      0.976000
                1636221120,           2021-11-06 17:52:00,           2021-11-06 12:52:00,      3.520000,     20.659000,         10.050000,                   113.922577,      0.976000
                1636221720,           2021-11-06 18:02:00,           2021-11-06 13:02:00,      3.530000,     20.424000,          8.679000,                    97.926499,      0.973000
                1636222320,           2021-11-06 18:12:00,           2021-11-06 13:12:00,      3.530000,     19.109000,          9.934000,                   109.181790,      0.976000
                1636222920,           2021-11-06 18:22:00,           2021-11-06 13:22:00,      3.530000,     19.009000,          9.986000,                   109.531872,      0.976000
                1636223520,           2021-11-06 18:32:00,           2021-11-06 13:32:00,      3.520000,     18.824000,         10.092000,                   110.280776,      0.976000
                1636224120,           2021-11-06 18:42:00,           2021-11-06 13:42:00,      3.520000,     18.874000,         10.105000,                   110.534775,      0.977000
                1636224720,           2021-11-06 18:52:00,           2021-11-06 13:52:00,      3.520000,     18.891000,         10.113000,                   110.660379,      0.976000
                1636225320,           2021-11-06 19:02:00,           2021-11-06 14:02:00,      3.520000,     18.908000,         10.101000,                   110.567123,      0.976000
                1636225920,           2021-11-06 19:12:00,           2021-11-06 14:12:00,      3.530000,     18.975000,         10.241000,                   112.251662,      0.976000
                1636226520,           2021-11-06 19:22:00,           2021-11-06 14:22:00,      3.530000,     18.958000,         10.217000,                   111.950097,      0.976000
                1636227120,           2021-11-06 19:32:00,           2021-11-06 14:32:00,      3.530000,     19.009000,         10.233000,                   112.241103,      0.976000
                1636227720,           2021-11-06 19:42:00,           2021-11-06 14:42:00,      3.520000,     18.958000,         10.370000,                   113.626555,      0.976000
                1636228320,           2021-11-06 19:52:00,           2021-11-06 14:52:00,      3.530000,     19.059000,         10.289000,                   112.969406,      0.976000
                1636228920,           2021-11-06 20:02:00,           2021-11-06 15:02:00,      3.530000,     19.050000,         10.410000,                   114.277167,      0.976000
                1636229520,           2021-11-06 20:12:00,           2021-11-06 15:12:00,      3.530000,     19.059000,         10.545000,                   115.780191,      0.976000
                1636230120,           2021-11-06 20:22:00,           2021-11-06 15:22:00,      3.530000,     19.034000,         10.610000,                   116.435052,      0.976000
                1636230720,           2021-11-06 20:32:00,           2021-11-06 15:32:00,      3.530000,     19.059000,         10.625000,                   116.658562,      0.977000
                1636231320,           2021-11-06 20:42:00,           2021-11-06 15:42:00,      3.530000,     19.017000,         10.667000,                   117.020370,      0.976000
                1636231920,           2021-11-06 20:52:00,           2021-11-06 15:52:00,      3.530000,     18.983000,         10.785000,                   118.233575,      0.977000
                1636232520,           2021-11-06 21:02:00,           2021-11-06 16:02:00,      3.530000,     19.009000,         10.904000,                   119.600995,      0.977000
                1636233120,           2021-11-06 21:12:00,           2021-11-06 16:12:00,      3.530000,     19.092000,         10.870000,                   119.428119,      0.976000
                1636233720,           2021-11-06 21:22:00,           2021-11-06 16:22:00,      3.530000,     19.025000,         10.916000,                   119.771340,      0.977000
                1636234320,           2021-11-06 21:32:00,           2021-11-06 16:32:00,      3.530000,     19.059000,         10.823000,                   118.832528,      0.977000
                1636234920,           2021-11-06 21:42:00,           2021-11-06 16:42:00,      3.530000,     19.067000,         10.850000,                   119.148226,      0.977000
                1636235520,           2021-11-06 21:52:00,           2021-11-06 16:52:00,      3.530000,     19.084000,         10.807000,                   118.716768,      0.977000
                1636236120,           2021-11-06 22:02:00,           2021-11-06 17:02:00,      3.520000,     19.126000,         10.730000,                   117.970860,      0.976000
                1636236720,           2021-11-06 22:12:00,           2021-11-06 17:12:00,      3.520000,     19.101000,         10.742000,                   118.043231,      0.977000
                1636237320,           2021-11-06 22:22:00,           2021-11-06 17:22:00,      3.520000,     19.101000,         10.746000,                   118.087186,      0.976000
                1636237920,           2021-11-06 22:32:00,           2021-11-06 17:32:00,      3.530000,     19.109000,         10.739000,                   118.029318,      0.976000
                1636238520,           2021-11-06 22:42:00,           2021-11-06 17:42:00,      3.530000,     19.101000,         10.749000,                   118.120153,      0.977000
                1636239120,           2021-11-06 22:52:00,           2021-11-06 17:52:00,      3.530000,     19.084000,         10.691000,                   117.442487,      0.977000
                1636239720,           2021-11-06 23:02:00,           2021-11-06 18:02:00,      3.520000,     19.084000,         10.665000,                   117.156873,      0.976000
                1636240320,           2021-11-06 23:12:00,           2021-11-06 18:12:00,      3.520000,     19.092000,         10.649000,                   117.000003,      0.976000
                1636240920,           2021-11-06 23:22:00,           2021-11-06 18:22:00,      3.520000,     19.050000,         10.631000,                   116.703224,      0.976000
                1636241520,           2021-11-06 23:32:00,           2021-11-06 18:32:00,      3.520000,     18.950000,         10.599000,                   116.116968,      0.976000
                1636242120,           2021-11-06 23:42:00,           2021-11-06 18:42:00,      3.520000,     18.933000,         10.489000,                   114.872346,      0.976000
                1636242720,           2021-11-06 23:52:00,           2021-11-06 18:52:00,      3.520000,     18.815000,         10.368000,                   113.276107,      0.976000
                1636243320,           2021-11-07 00:02:00,           2021-11-06 19:02:00,      3.520000,     18.740000,         10.324000,                   112.623883,      0.975000
                1636243920,           2021-11-07 00:12:00,           2021-11-06 19:12:00,      3.520000,     18.656000,         10.115000,                   110.155785,      0.975000
                1636244520,           2021-11-07 00:22:00,           2021-11-06 19:22:00,      3.520000,     18.622000,         10.181000,                   110.797921,      0.976000
                1636245120,           2021-11-07 00:32:00,           2021-11-06 19:32:00,      3.520000,     18.580000,         10.038000,                   109.148367,      0.975000
                1636245720,           2021-11-07 00:42:00,           2021-11-06 19:42:00,      3.520000,     18.513000,          9.962000,                   108.174286,      0.975000
                1636246320,           2021-11-07 00:52:00,           2021-11-06 19:52:00,      3.520000,     18.479000,         10.056000,                   109.119362,      0.975000
                1636246920,           2021-11-07 01:02:00,           2021-11-06 20:02:00,      3.520000,     18.471000,         10.034000,                   108.862879,      0.975000
                1636247520,           2021-11-07 01:12:00,           2021-11-06 20:12:00,      3.520000,     18.488000,          9.979000,                   108.303690,      0.975000
                1636248120,           2021-11-07 01:22:00,           2021-11-06 20:22:00,      3.520000,     18.471000,          9.886000,                   107.257168,      0.975000
                1636248720,           2021-11-07 01:32:00,           2021-11-06 20:32:00,      3.520000,     18.437000,          9.790000,                   106.141998,      0.975000
                1636249320,           2021-11-07 01:42:00,           2021-11-06 20:42:00,      3.520000,     18.471000,          9.739000,                   105.662306,      0.975000
                1636249920,           2021-11-07 01:52:00,           2021-11-06 20:52:00,      3.520000,     18.454000,          9.786000,                   106.135428,      0.974000
                1636250520,           2021-11-07 02:02:00,           2021-11-06 21:02:00,      3.520000,     18.471000,          9.833000,                   106.682150,      0.975000
                1636251120,           2021-11-07 02:12:00,           2021-11-06 21:12:00,      3.520000,     18.471000,          9.868000,                   107.061879,      0.975000
                1636251720,           2021-11-07 02:22:00,           2021-11-06 21:22:00,      3.520000,     18.488000,          9.860000,                   107.012164,      0.975000
                1636252320,           2021-11-07 02:32:00,           2021-11-06 21:32:00,      3.520000,     18.479000,          9.840000,                   106.775509,      0.975000
                1636252920,           2021-11-07 02:42:00,           2021-11-06 21:42:00,      3.520000,     18.496000,          9.830000,                   106.703967,      0.975000
                1636253520,           2021-11-07 02:52:00,           2021-11-06 21:52:00,      3.520000,     18.488000,          9.809000,                   106.458653,      0.975000
                1636254120,           2021-11-07 03:02:00,           2021-11-06 22:02:00,      3.520000,     18.488000,          9.796000,                   106.317562,      0.974000
                1636254720,           2021-11-07 03:12:00,           2021-11-06 22:12:00,      3.520000,     18.504000,          9.816000,                   106.569371,      0.975000
                1636255320,           2021-11-07 03:22:00,           2021-11-06 22:22:00,      3.520000,     18.496000,          9.789000,                   106.258915,      0.975000
                1636255920,           2021-11-07 03:32:00,           2021-11-06 22:32:00,      3.520000,     18.504000,          9.699000,                   105.299137,      0.974000
