7450-171185
OS REV: 1.05 Sensor Cal: 1626366331
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636391580,+2.96,+18.397, +5.048,+0.965
1636392180,+2.96,+18.338, +4.994,+0.965
1636392780,+2.96,+18.329, +4.953,+0.965
1636393380,+2.96,+18.321, +4.906,+0.965
1636393980,+2.96,+18.312, +4.900,+0.965
1636394580,+2.96,+18.304, +5.209,+0.965
1636395180,+2.96,+18.253, +5.361,+0.965
1636395780,+2.96,+18.279, +5.480,+0.965
1636396380,+2.96,+18.287, +4.977,+0.965
1636396980,+2.96,+18.287, +4.938,+0.965
1636397580,+2.96,+18.295, +4.986,+0.965
1636398180,+2.96,+18.295, +5.120,+0.965
1636398780,+2.96,+18.287, +5.510,+0.965
1636399380,+2.96,+18.270, +5.786,+0.965
1636399980,+2.96,+18.287, +5.781,+0.965
1636400580,+2.96,+18.287, +7.188,+0.964
1636401180,+2.96,+18.287, +6.577,+0.964
1636401780,+2.96,+18.295, +6.994,+0.964
1636402380,+2.96,+18.312, +7.223,+0.965
1636402980,+2.96,+18.346, +7.143,+0.964
1636403580,+2.96,+18.354, +7.809,+0.964
1636404180,+2.96,+18.380, +8.188,+0.964
1636404780,+2.96,+18.413, +8.347,+0.965
1636405380,+2.96,+18.456, +8.596,+0.964
1636405980,+2.96,+18.447, +8.652,+0.964
1636406580,+2.96,+18.481, +8.802,+0.964
1636407180,+2.96,+18.506, +8.871,+0.965
1636407780,+2.96,+18.498, +8.936,+0.965
1636408380,+2.96,+18.548, +8.979,+0.964
1636408980,+2.96,+18.548, +9.081,+0.964
1636409580,+2.96,+18.557, +9.166,+0.965
1636410180,+2.96,+18.607, +9.185,+0.965
1636410780,+2.96,+18.616, +9.173,+0.965
1636411380,+2.96,+18.616, +9.293,+0.964
1636411980,+2.96,+18.607, +9.495,+0.965
1636412580,+2.96,+18.616, +9.600,+0.965
1636413180,+2.96,+18.632, +9.565,+0.965
1636413780,+2.96,+18.616, +9.624,+0.965
1636414380,+2.96,+18.632, +9.831,+0.965
1636414980,+2.96,+18.649, +9.850,+0.965
1636415580,+2.96,+18.666, +9.866,+0.965
1636416180,+2.96,+18.683, +9.895,+0.965
1636416780,+2.96,+18.691, +9.915,+0.965
1636417380,+2.96,+18.708, +9.955,+0.965
1636417980,+2.96,+18.717,+10.030,+0.965
1636418580,+2.96,+18.733, +9.974,+0.965
1636419180,+2.96,+18.725, +9.968,+0.965
1636419780,+2.96,+18.725, +9.950,+0.964
1636420380,+2.96,+18.733, +9.868,+0.965
1636420980,+2.96,+18.750, +9.927,+0.964
1636421580,+2.96,+18.733, +9.928,+0.965
1636422180,+2.96,+18.717, +9.812,+0.964
1636422780,+2.96,+18.708, +9.666,+0.964
1636423380,+2.96,+18.784, +9.994,+0.964
1636423980,+2.96,+18.725, +9.701,+0.965
1636424580,+2.96,+18.759, +9.824,+0.964
1636425180,+2.96,+18.725, +9.237,+0.965
1636425780,+2.96,+18.742, +9.549,+0.965
1636426380,+2.96,+18.708, +9.083,+0.965
1636426980,+2.96,+18.683, +8.959,+0.964
1636427580,+2.96,+18.649, +8.873,+0.964
1636428180,+2.96,+18.666, +9.010,+0.965
1636428780,+2.96,+18.675, +8.623,+0.964
1636429380,+2.96,+18.683, +8.699,+0.964
1636429980,+2.96,+18.632, +8.800,+0.964
1636430580,+2.96,+18.616, +8.391,+0.964
1636431180,+2.96,+18.649, +8.846,+0.964
1636431780,+2.96,+18.666, +8.866,+0.964
1636432380,+2.96,+18.641, +8.624,+0.964
1636432980,+2.96,+18.641, +8.257,+0.964
1636433580,+2.96,+18.658, +8.635,+0.964
1636434180,+2.96,+18.649, +8.370,+0.964
1636434780,+2.96,+18.641, +7.954,+0.964
1636435380,+2.96,+18.616, +8.013,+0.964
1636435980,+2.96,+18.607, +7.557,+0.964
1636436580,+2.96,+18.599, +7.684,+0.964
1636437180,+2.96,+18.548, +6.103,+0.964
1636437780,+2.96,+18.456, +6.122,+0.964
1636438380,+2.96,+18.430, +6.176,+0.964
1636438980,+2.96,+18.388, +6.425,+0.964
1636439580,+2.96,+18.380, +6.195,+0.964
1636440180,+2.96,+18.388, +6.077,+0.965
1636440780,+2.96,+18.371, +6.693,+0.964
1636441380,+2.96,+18.439, +7.253,+0.964
1636441980,+2.96,+18.464, +7.937,+0.964
1636442580,+2.96,+18.388, +6.867,+0.964
1636443180,+2.96,+18.388, +7.413,+0.964
1636443780,+2.96,+18.397, +7.156,+0.964
1636444380,+2.96,+18.388, +7.351,+0.964
1636444980,+2.96,+18.413, +7.872,+0.964
1636445580,+2.96,+18.371, +7.083,+0.964
1636446180,+2.96,+18.312, +6.247,+0.965
1636446780,+2.96,+18.312, +5.994,+0.965
1636447380,+2.96,+18.321, +6.619,+0.964
1636447980,+2.96,+18.295, +6.381,+0.964
1636448580,+2.96,+18.295, +6.207,+0.964
1636449180,+2.96,+18.262, +6.339,+0.964
1636449780,+2.96,+18.270, +6.495,+0.964
1636450380,+2.96,+18.279, +6.357,+0.964
1636450980,+2.96,+18.270, +6.558,+0.964
1636451580,+2.96,+18.245, +6.680,+0.964
1636452180,+2.96,+18.270, +7.019,+0.964
1636452780,+2.96,+18.279, +6.803,+0.964
1636453380,+2.96,+18.270, +7.044,+0.964
1636453980,+2.96,+18.270, +6.703,+0.964
1636454580,+2.96,+18.287, +6.911,+0.964
1636455180,+2.96,+18.279, +6.826,+0.964
1636455780,+2.96,+18.287, +7.144,+0.964
1636456380,+2.96,+18.304, +6.828,+0.964
1636456980,+2.96,+18.287, +7.001,+0.964
1636457580,+2.96,+18.287, +6.992,+0.964
1636458180,+2.96,+18.304, +6.726,+0.964
1636458780,+2.96,+18.287, +6.744,+0.964
1636459380,+2.96,+18.287, +6.831,+0.964
1636459980,+2.96,+18.304, +6.989,+0.964
1636460580,+2.96,+18.312, +6.910,+0.964
1636461180,+2.96,+18.312, +7.300,+0.964
1636461780,+2.96,+18.346, +7.613,+0.964
1636462380,+2.96,+18.321, +7.001,+0.964
1636462980,+2.96,+18.338, +7.217,+0.964
1636463580,+2.96,+18.346, +7.757,+0.964
1636464180,+2.96,+18.363, +7.633,+0.964
1636464780,+2.96,+18.388, +7.562,+0.964
1636465380,+2.96,+18.380, +7.477,+0.964
1636465980,+2.96,+18.405, +7.862,+0.964
1636466580,+2.96,+18.413, +8.290,+0.964
1636467180,+2.96,+18.447, +8.588,+0.964
1636467780,+2.96,+18.447, +8.444,+0.964
1636468380,+2.96,+18.447, +8.639,+0.964
1636468980,+2.96,+18.456, +8.848,+0.964
1636469580,+2.96,+18.464, +9.016,+0.964
1636470180,+2.96,+18.464, +9.194,+0.965
1636470780,+2.96,+18.481, +9.146,+0.965
1636471380,+2.96,+18.464, +9.108,+0.964
1636471980,+2.96,+18.472, +9.059,+0.964
1636472580,+2.96,+18.456, +9.080,+0.964
1636473180,+2.96,+18.447, +9.104,+0.964
1636473780,+2.96,+18.447, +9.068,+0.964
1636474380,+2.96,+18.439, +9.085,+0.964
1636474980,+2.96,+18.447, +9.056,+0.965
1636475580,+2.96,+18.447, +9.060,+0.964
1636476180,+2.96,+18.447, +9.037,+0.964
1636476780,+2.96,+18.456, +9.036,+0.964
1636477380,+2.96,+18.472, +9.029,+0.964
1636477980,+2.96,+18.464, +9.089,+0.964
