7450-999280
OS REV: 1.05 Sensor Cal: 1624980208
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636217640,+3.53,+19.738,+10.249,+0.908
1636218240,+3.53,+19.646,+10.218,+0.908
1636218840,+3.53,+19.629,+10.182,+0.908
1636219440,+3.53,+19.906,+10.192,+0.908
1636220040,+3.53,+20.265,+10.143,+0.909
1636220640,+3.53,+20.575,+10.061,+0.907
1636221240,+3.53,+20.567, +9.947,+0.907
1636221840,+3.53,+19.973, +8.856,+0.904
1636222440,+3.53,+18.698, +8.725,+0.903
1636223040,+3.53,+18.395, +8.942,+0.905
1636223640,+3.53,+18.277, +8.842,+0.906
1636224240,+3.53,+18.286, +8.645,+0.906
1636224840,+3.53,+18.303, +8.966,+0.906
1636225440,+3.53,+18.336, +9.200,+0.906
1636226040,+3.53,+18.370, +9.580,+0.908
1636226640,+3.53,+18.538,+10.227,+0.909
1636227240,+3.53,+18.606,+10.268,+0.909
1636227840,+3.53,+18.597,+10.366,+0.910
1636228440,+3.53,+18.664,+10.471,+0.909
1636229040,+3.52,+18.664,+10.500,+0.909
1636229640,+3.52,+18.656,+10.456,+0.909
1636230240,+3.53,+18.572,+10.136,+0.908
1636230840,+3.53,+18.563,+10.166,+0.908
1636231440,+3.52,+18.589,+10.167,+0.908
1636232040,+3.52,+18.563,+10.080,+0.908
1636232640,+3.52,+18.589,+10.039,+0.909
1636233240,+3.52,+18.580,+10.267,+0.909
1636233840,+3.52,+18.589,+10.208,+0.909
1636234440,+3.52,+18.572,+10.073,+0.908
1636235040,+3.52,+18.547, +9.990,+0.908
1636235640,+3.52,+18.572, +9.916,+0.908
1636236240,+3.52,+18.572,+10.032,+0.908
1636236840,+3.52,+18.547, +9.897,+0.908
1636237440,+3.52,+18.471, +9.549,+0.906
1636238040,+3.52,+18.471, +9.582,+0.907
1636238640,+3.52,+18.471, +9.425,+0.907
1636239240,+3.52,+18.479, +8.988,+0.906
1636239840,+3.52,+18.479, +8.699,+0.906
1636240440,+3.52,+18.479, +8.751,+0.906
1636241040,+3.52,+18.496, +8.679,+0.906
1636241640,+3.52,+18.513, +8.944,+0.906
1636242240,+3.52,+18.530, +8.933,+0.906
1636242840,+3.52,+18.580, +9.393,+0.907
1636243440,+3.52,+18.639, +9.668,+0.907
1636244040,+3.52,+18.631, +9.899,+0.908
1636244640,+3.52,+18.614, +9.873,+0.907
1636245240,+3.52,+18.589, +9.859,+0.908
1636245840,+3.52,+18.505, +9.972,+0.908
1636246440,+3.52,+18.513,+10.036,+0.907
1636247040,+3.52,+18.505, +9.957,+0.908
1636247640,+3.52,+18.479, +9.949,+0.908
1636248240,+3.52,+18.471, +9.863,+0.908
1636248840,+3.52,+18.488, +9.813,+0.907
1636249440,+3.52,+18.471, +9.742,+0.907
1636250040,+3.52,+18.471, +9.649,+0.907
1636250640,+3.52,+18.479, +9.703,+0.907
1636251240,+3.52,+18.471, +9.684,+0.907
1636251840,+3.52,+18.429, +9.354,+0.907
1636252440,+3.52,+18.454, +9.611,+0.907
1636253040,+3.52,+18.479, +9.651,+0.907
1636253640,+3.52,+18.479, +9.707,+0.908
1636254240,+3.52,+18.488, +9.639,+0.907
1636254840,+3.52,+18.488, +9.544,+0.907
1636255440,+3.52,+18.496, +9.529,+0.907
1636256040,+3.52,+18.471, +9.389,+0.906
1636256640,+3.52,+18.488, +9.391,+0.906
1636257240,+3.52,+18.471, +9.280,+0.906
1636257840,+3.52,+18.488, +9.536,+0.908
1636258440,+3.52,+18.488, +9.360,+0.906
1636259040,+3.52,+18.446, +9.033,+0.906
1636259640,+3.52,+18.437, +8.892,+0.906
1636260240,+3.52,+18.429, +8.913,+0.905
1636260840,+3.52,+18.404, +8.811,+0.906
1636261440,+3.52,+18.429, +8.721,+0.906
1636262040,+3.52,+18.454, +8.725,+0.905
1636262640,+3.52,+18.446, +8.746,+0.905
1636263240,+3.52,+18.437, +9.092,+0.906
1636263840,+3.52,+18.446, +9.008,+0.906
1636264440,+3.52,+18.463, +9.201,+0.906
1636265040,+3.52,+18.454, +9.153,+0.906
1636265640,+3.52,+18.437, +9.222,+0.907
1636266240,+3.52,+18.454, +9.184,+0.907
1636266840,+3.52,+18.437, +9.164,+0.906
1636267440,+3.52,+18.429, +9.123,+0.906
1636268040,+3.52,+18.412, +9.112,+0.906
1636268640,+3.52,+18.454, +9.214,+0.906
1636269240,+3.52,+18.471, +9.182,+0.906
1636269840,+3.52,+18.454, +9.145,+0.906
1636270440,+3.52,+18.463, +9.156,+0.906
1636271040,+3.52,+18.471, +9.183,+0.906
1636271640,+3.52,+18.471, +9.145,+0.906
1636272240,+3.52,+18.488, +9.186,+0.906
1636272840,+3.52,+18.463, +9.119,+0.906
1636273440,+3.52,+18.446, +9.098,+0.906
1636274040,+3.52,+18.471, +9.082,+0.906
1636274640,+3.52,+18.454, +9.145,+0.906
1636275240,+3.52,+18.421, +9.180,+0.906
1636275840,+3.52,+18.446, +9.100,+0.906
1636276440,+3.52,+18.404, +9.004,+0.906
1636277040,+3.52,+18.370, +8.760,+0.906
1636277640,+3.52,+18.404, +8.963,+0.906
1636278240,+3.52,+18.421, +9.010,+0.906
1636278840,+3.52,+18.463, +9.127,+0.906
1636279440,+3.52,+18.496, +9.178,+0.906
1636280040,+3.52,+18.505, +9.188,+0.906
1636280640,+3.52,+18.496, +9.186,+0.906
1636281240,+3.52,+18.488, +9.217,+0.906
1636281840,+3.52,+18.496, +9.156,+0.905
1636282440,+3.52,+18.471, +9.173,+0.906
1636283040,+3.52,+18.471, +9.169,+0.906
1636283640,+3.52,+18.471, +9.143,+0.907
1636284240,+3.52,+18.437, +9.125,+0.906
1636284840,+3.52,+18.446, +9.104,+0.906
1636285440,+3.52,+18.437, +9.085,+0.906
1636286040,+3.52,+18.412, +9.097,+0.906
1636286640,+3.52,+18.412, +9.104,+0.906
1636287240,+3.52,+18.404, +9.045,+0.906
1636287840,+3.52,+18.412, +9.040,+0.906
1636288440,+3.52,+18.395, +9.101,+0.906
1636289040,+3.52,+18.412, +9.088,+0.906
1636289640,+3.52,+18.412, +9.127,+0.906
1636290240,+3.52,+18.395, +9.157,+0.906
1636290840,+3.52,+18.404, +9.145,+0.906
1636291440,+3.52,+18.404, +9.182,+0.906
1636292040,+3.52,+18.412, +9.157,+0.906
1636292640,+3.52,+18.387, +9.189,+0.906
1636293240,+3.52,+18.387, +9.122,+0.906
1636293840,+3.52,+18.421, +9.213,+0.906
1636294440,+3.52,+18.412, +9.295,+0.906
1636295040,+3.52,+18.421, +9.124,+0.906
1636295640,+3.52,+18.395, +9.177,+0.907
1636296240,+3.52,+18.412, +9.190,+0.907
1636296840,+3.52,+18.362, +9.282,+0.906
1636297440,+3.52,+18.378, +9.317,+0.907
1636298040,+3.52,+18.387, +9.324,+0.907
1636298640,+3.52,+18.370, +9.256,+0.906
1636299240,+3.52,+18.387, +9.206,+0.907
1636299840,+3.52,+18.362, +9.160,+0.906
1636300440,+3.52,+18.370, +9.133,+0.906
1636301040,+3.52,+18.387, +9.147,+0.906
1636301640,+3.52,+18.362, +9.143,+0.907
1636302240,+3.52,+18.336, +9.203,+0.906
1636302840,+3.52,+18.345, +9.321,+0.906
1636303440,+3.52,+18.336, +9.343,+0.907
1636304040,+3.52,+18.345, +9.318,+0.906
