7450-095987
OS REV: 1.05 Sensor Cal: 1626371285
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636478640,+3.50,+18.814, +9.934,+0.979
1636479240,+3.51,+18.814, +9.907,+0.978
1636479840,+3.51,+18.840, +9.957,+0.978
1636480440,+3.51,+18.814, +9.939,+0.979
1636481040,+3.51,+18.831, +9.986,+0.978
1636481640,+3.51,+18.789, +9.879,+0.978
1636482240,+3.51,+18.781, +9.960,+0.979
1636482840,+3.51,+18.781, +9.991,+0.978
1636483440,+3.51,+18.797, +9.992,+0.978
1636484040,+3.51,+18.797, +9.980,+0.978
1636484640,+3.51,+18.806,+10.038,+0.979
1636485240,+3.51,+18.823,+10.051,+0.978
1636485840,+3.51,+18.797,+10.079,+0.978
1636486440,+3.51,+18.814,+10.103,+0.978
1636487040,+3.51,+18.831,+10.085,+0.978
1636487640,+3.51,+18.823,+10.145,+0.978
1636488240,+3.51,+18.823,+10.121,+0.978
1636488840,+3.51,+18.823,+10.104,+0.979
1636489440,+3.51,+18.856,+10.151,+0.978
1636490040,+3.51,+18.907,+10.203,+0.979
1636490640,+3.51,+18.932,+10.217,+0.979
1636491240,+3.51,+18.915,+10.179,+0.978
1636491840,+3.51,+18.915,+10.179,+0.978
1636492440,+3.51,+18.932,+10.214,+0.980
1636493040,+3.51,+19.293, +9.946,+0.977
1636493640,+3.51,+19.679, +9.804,+0.978
1636494240,+3.51,+20.048, +9.597,+0.978
1636494840,+3.51,+20.325, +9.007,+0.987
