7450-162132
OS REV: 1.05 Sensor Cal: 1626366653
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636304640,+3.52,+18.585, +9.503,+0.974
1636305240,+3.52,+18.594, +9.575,+0.975
1636305840,+3.52,+18.627, +9.679,+0.974
1636306440,+3.52,+18.636, +9.758,+0.974
1636307040,+3.52,+18.686, +9.872,+0.975
1636307640,+3.51,+18.728, +9.939,+0.974
1636308240,+3.52,+18.753,+10.054,+0.974
1636308840,+3.51,+18.778,+10.155,+0.974
1636309440,+3.51,+18.829,+10.282,+0.975
1636310040,+3.51,+18.896,+10.470,+0.975
1636310640,+3.52,+18.921,+10.557,+0.975
1636311240,+3.52,+19.014,+10.742,+0.975
1636311840,+3.52,+18.988,+10.727,+0.975
1636312440,+3.52,+19.047,+10.761,+0.975
1636313040,+3.52,+19.140,+10.846,+0.975
1636313640,+3.52,+19.140,+11.048,+0.975
1636314240,+3.52,+19.148,+11.117,+0.976
1636314840,+3.52,+19.173,+11.114,+0.975
1636315440,+3.52,+19.140,+11.188,+0.976
1636316040,+3.52,+19.098,+10.648,+0.974
1636316640,+3.52,+19.165,+10.887,+0.975
1636317240,+3.52,+19.123,+11.014,+0.976
1636317840,+3.52,+19.098,+10.690,+0.975
1636318440,+3.52,+19.114,+10.784,+0.975
1636319040,+3.52,+19.081,+10.946,+0.975
1636319640,+3.52,+19.098,+10.900,+0.975
1636320240,+3.52,+19.089,+10.883,+0.975
1636320840,+3.52,+19.106,+10.972,+0.976
1636321440,+3.52,+19.098,+10.806,+0.975
1636322040,+3.52,+19.098,+10.958,+0.975
1636322640,+3.52,+19.081,+10.883,+0.975
1636323240,+3.52,+19.064,+10.690,+0.975
1636323840,+3.52,+19.030,+10.686,+0.975
1636324440,+3.52,+19.022,+10.727,+0.975
1636325040,+3.52,+18.997,+10.644,+0.975
1636325640,+3.52,+18.972,+10.524,+0.974
1636326240,+3.52,+18.938,+10.496,+0.975
1636326840,+3.52,+18.930,+10.260,+0.975
1636327440,+3.51,+18.904,+10.383,+0.975
1636328040,+3.51,+18.896,+10.333,+0.975
1636328640,+3.51,+18.862,+10.391,+0.975
1636329240,+3.51,+18.871,+10.251,+0.974
1636329840,+3.51,+18.862,+10.269,+0.975
1636330440,+3.51,+18.862,+10.164,+0.975
1636331040,+3.51,+18.846,+10.129,+0.974
1636331640,+3.51,+18.846,+10.136,+0.975
1636332240,+3.51,+18.812,+10.157,+0.975
1636332840,+3.51,+18.804,+10.117,+0.975
1636333440,+3.51,+18.804,+10.136,+0.974
1636334040,+3.51,+18.762,+10.090,+0.975
1636334640,+3.51,+18.770,+10.123,+0.975
1636335240,+3.51,+18.753,+10.165,+0.975
1636335840,+3.51,+18.728,+10.112,+0.974
1636336440,+3.51,+18.711,+10.178,+0.975
1636337040,+3.51,+18.703,+10.151,+0.975
1636337640,+3.52,+18.711,+10.146,+0.975
1636338240,+3.51,+18.686,+10.063,+0.975
1636338840,+3.51,+18.669, +9.994,+0.975
1636339440,+3.51,+18.661,+10.024,+0.975
1636340040,+3.51,+18.661,+10.003,+0.975
1636340640,+3.51,+18.652, +9.984,+0.974
1636341240,+3.52,+18.644, +9.997,+0.975
1636341840,+3.51,+18.636, +9.955,+0.974
1636342440,+3.51,+18.627,+10.005,+0.975
1636343040,+3.52,+18.627,+10.025,+0.974
1636343640,+3.51,+18.627, +9.989,+0.975
1636344240,+3.51,+18.619, +9.972,+0.975
1636344840,+3.52,+18.610, +9.953,+0.974
1636345440,+3.51,+18.619, +9.948,+0.975
1636346040,+3.51,+18.602, +9.901,+0.975
