7450-487204
OS REV: 1.05 Sensor Cal: 1623435183
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636304700,+3.47,+17.106, +5.805,+0.977
1636305300,+3.47,+17.131, +5.631,+0.976
1636305900,+3.47,+17.106, +5.871,+0.977
1636306500,+3.47,+17.131, +5.789,+0.976
1636307100,+3.47,+17.123, +5.906,+0.976
1636307700,+3.47,+17.131, +5.481,+0.976
1636308300,+3.47,+17.148, +4.146,+0.969
1636308900,+3.47,+17.148, +4.813,+0.974
1636309500,+3.47,+17.131, +5.386,+0.977
1636310100,+3.47,+17.140, +4.800,+0.975
1636310700,+3.47,+17.157, +4.376,+0.973
1636311300,+3.47,+17.131, +5.279,+0.976
1636311900,+3.47,+17.157, +5.535,+0.976
1636312500,+3.47,+17.157, +5.732,+0.975
1636313100,+3.47,+17.148, +5.784,+0.976
1636313700,+3.47,+17.106, +5.716,+0.977
1636314300,+3.47,+17.131, +5.455,+0.976
1636314900,+3.47,+17.131, +5.610,+0.977
1636315500,+3.47,+17.131, +5.583,+0.976
1636316100,+3.47,+17.114, +5.553,+0.976
1636316700,+3.47,+17.131, +5.429,+0.977
1636317300,+3.47,+17.123, +4.184,+0.977
1636317900,+3.47,+17.123, +4.106,+0.977
1636318500,+3.47,+17.140, +5.082,+0.977
1636319100,+3.47,+17.123, +5.300,+0.977
1636319700,+3.47,+17.131, +5.411,+0.977
1636320300,+3.47,+17.123, +5.431,+0.977
1636320900,+3.47,+17.106, +5.481,+0.977
1636321500,+3.47,+17.123, +5.386,+0.977
1636322100,+3.47,+17.131, +5.325,+0.977
1636322700,+3.47,+17.148, +5.375,+0.976
1636323300,+3.47,+17.208, +5.352,+0.976
1636323900,+3.47,+17.225, +5.496,+0.976
1636324500,+3.47,+17.241, +5.390,+0.976
1636325100,+3.47,+17.250, +5.276,+0.976
1636325700,+3.47,+17.275, +4.995,+0.976
1636326300,+3.47,+17.318, +4.626,+0.976
1636326900,+3.47,+17.292, +5.127,+0.977
1636327500,+3.47,+17.309, +4.710,+0.977
1636328100,+3.47,+17.343, +5.242,+0.977
1636328700,+3.47,+17.343, +5.402,+0.976
1636329300,+3.47,+17.360, +5.525,+0.976
1636329900,+3.47,+17.343, +5.474,+0.976
1636330500,+3.47,+17.275, +5.436,+0.977
1636331100,+3.47,+17.250, +5.106,+0.976
1636331700,+3.47,+17.250, +5.048,+0.977
1636332300,+3.47,+17.208, +5.068,+0.977
1636332900,+3.47,+17.191, +5.097,+0.977
1636333500,+3.47,+17.208, +5.019,+0.976
1636334100,+3.47,+17.208, +5.036,+0.977
1636334700,+3.47,+17.191, +5.115,+0.976
1636335300,+3.47,+17.182, +5.169,+0.977
1636335900,+3.47,+17.165, +5.076,+0.976
1636336500,+3.47,+17.131, +5.137,+0.976
1636337100,+3.47,+17.148, +5.143,+0.977
1636337700,+3.47,+17.157, +4.996,+0.976
1636338300,+3.47,+17.165, +4.852,+0.977
1636338900,+3.47,+17.165, +4.872,+0.976
1636339500,+3.47,+17.182, +4.923,+0.977
1636340100,+3.47,+17.182, +4.788,+0.976
1636340700,+3.47,+17.157, +4.961,+0.976
1636341300,+3.47,+17.174, +4.624,+0.976
1636341900,+3.47,+17.174, +4.802,+0.976
1636342500,+3.47,+17.191, +4.615,+0.976
1636343100,+3.47,+17.182, +4.762,+0.976
1636343700,+3.47,+17.174, +4.936,+0.976
1636344300,+3.47,+17.174, +4.832,+0.976
1636344900,+3.47,+17.174, +4.903,+0.976
1636345500,+3.47,+17.174, +4.757,+0.976
1636346100,+3.47,+17.199, +4.534,+0.976
1636346700,+3.47,+17.191, +4.418,+0.977
1636347300,+3.47,+17.191, +4.780,+0.976
1636347900,+3.47,+17.174, +4.810,+0.976
1636348500,+3.47,+17.182, +4.849,+0.976
1636349100,+3.47,+17.199, +4.706,+0.977
1636349700,+3.47,+17.208, +4.628,+0.977
1636350300,+3.47,+17.216, +4.642,+0.977
1636350900,+3.47,+17.208, +4.466,+0.976
1636351500,+3.47,+17.216, +4.427,+0.977
1636352100,+3.47,+17.225, +4.448,+0.977
1636352700,+3.47,+17.233, +4.398,+0.976
1636353300,+3.47,+17.241, +4.367,+0.977
1636353900,+3.47,+17.241, +4.329,+0.976
1636354500,+3.47,+17.267, +4.049,+0.976
1636355100,+3.47,+17.292, +3.706,+0.977
1636355700,+3.47,+17.301, +2.900,+0.976
1636356300,+3.47,+17.326, +3.160,+0.976
1636356900,+3.47,+17.318, +2.491,+0.975
1636357500,+3.47,+17.343, +2.270,+0.976
1636358100,+3.47,+17.343, +1.650,+0.974
1636358700,+3.47,+17.377, +1.371,+0.970
1636359300,+3.47,+17.402, +1.303,+0.972
1636359900,+3.47,+17.394, +1.072,+0.970
1636360500,+3.47,+17.402, +0.985,+0.969
1636361100,+3.47,+17.419, +1.026,+0.968
1636361700,+3.47,+17.402, +1.247,+0.967
1636362300,+3.47,+17.436, +1.988,+0.964
1636362900,+3.47,+17.394, +3.148,+0.972
1636363500,+3.47,+17.411, +1.171,+0.969
