MiniDOT Logger Concatenated Data File
Sensor:             7450-487204
Concatenation Date: 2021Nov10 11:14:14 CST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 141.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1636217700,           2021-11-06 16:55:00,           2021-11-06 11:55:00,      3.470000,     20.125000,          9.807000,                   110.000452,      0.977000
                1636218300,           2021-11-06 17:05:00,           2021-11-06 12:05:00,      3.470000,     20.067000,          9.783000,                   109.604902,      0.978000
                1636218900,           2021-11-06 17:15:00,           2021-11-06 12:15:00,      3.470000,     20.209000,          8.950000,                   100.555352,      0.979000
                1636219500,           2021-11-06 17:25:00,           2021-11-06 12:25:00,      3.470000,     19.438000,          7.358000,                    81.406969,      0.972000
                1636220100,           2021-11-06 17:35:00,           2021-11-06 12:35:00,      3.470000,     18.591000,          9.638000,                   104.822424,      0.977000
                1636220700,           2021-11-06 17:45:00,           2021-11-06 12:45:00,      3.470000,     17.470000,          7.970000,                    84.708557,      0.977000
                1636221300,           2021-11-06 17:55:00,           2021-11-06 12:55:00,      3.480000,     17.318000,          7.909000,                    83.795479,      0.977000
                1636221900,           2021-11-06 18:05:00,           2021-11-06 13:05:00,      3.480000,     17.284000,          7.894000,                    83.577471,      0.979000
                1636222500,           2021-11-06 18:15:00,           2021-11-06 13:15:00,      3.480000,     17.267000,          7.815000,                    82.711818,      0.978000
                1636223100,           2021-11-06 18:25:00,           2021-11-06 13:25:00,      3.480000,     17.284000,          7.765000,                    82.211688,      0.978000
                1636223700,           2021-11-06 18:35:00,           2021-11-06 13:35:00,      3.480000,     17.284000,          7.716000,                    81.692902,      0.978000
                1636224300,           2021-11-06 18:45:00,           2021-11-06 13:45:00,      3.480000,     17.258000,          7.768000,                    82.198995,      0.978000
                1636224900,           2021-11-06 18:55:00,           2021-11-06 13:55:00,      3.480000,     17.267000,          7.762000,                    82.150881,      0.979000
                1636225500,           2021-11-06 19:05:00,           2021-11-06 14:05:00,      3.480000,     17.267000,          7.781000,                    82.351971,      0.979000
                1636226100,           2021-11-06 19:15:00,           2021-11-06 14:15:00,      3.480000,     17.267000,          7.953000,                    84.172372,      0.978000
                1636226700,           2021-11-06 19:25:00,           2021-11-06 14:25:00,      3.480000,     17.233000,          8.023000,                    84.853197,      0.978000
                1636227300,           2021-11-06 19:35:00,           2021-11-06 14:35:00,      3.480000,     17.241000,          8.107000,                    85.755875,      0.979000
                1636227900,           2021-11-06 19:45:00,           2021-11-06 14:45:00,      3.480000,     17.258000,          8.124000,                    85.966097,      0.978000
                1636228500,           2021-11-06 19:55:00,           2021-11-06 14:55:00,      3.480000,     17.233000,          8.149000,                    86.185803,      0.979000
                1636229100,           2021-11-06 20:05:00,           2021-11-06 15:05:00,      3.480000,     17.233000,          8.102000,                    85.688720,      0.978000
                1636229700,           2021-11-06 20:15:00,           2021-11-06 15:15:00,      3.480000,     17.208000,          8.083000,                    85.443303,      0.978000
                1636230300,           2021-11-06 20:25:00,           2021-11-06 15:25:00,      3.480000,     17.233000,          8.035000,                    84.980112,      0.978000
                1636230900,           2021-11-06 20:35:00,           2021-11-06 15:35:00,      3.480000,     17.225000,          7.999000,                    84.585284,      0.978000
                1636231500,           2021-11-06 20:45:00,           2021-11-06 15:45:00,      3.480000,     17.182000,          8.068000,                    85.238585,      0.978000
                1636232100,           2021-11-06 20:55:00,           2021-11-06 15:55:00,      3.480000,     17.148000,          8.028000,                    84.755932,      0.978000
                1636232700,           2021-11-06 21:05:00,           2021-11-06 16:05:00,      3.480000,     17.174000,          7.980000,                    84.294817,      0.978000
                1636233300,           2021-11-06 21:15:00,           2021-11-06 16:15:00,      3.470000,     17.174000,          7.922000,                    83.682148,      0.978000
                1636233900,           2021-11-06 21:25:00,           2021-11-06 16:25:00,      3.470000,     17.199000,          7.847000,                    82.933067,      0.978000
                1636234500,           2021-11-06 21:35:00,           2021-11-06 16:35:00,      3.470000,     17.191000,          7.898000,                    83.458171,      0.978000
                1636235100,           2021-11-06 21:45:00,           2021-11-06 16:45:00,      3.470000,     17.174000,          7.970000,                    84.189184,      0.978000
                1636235700,           2021-11-06 21:55:00,           2021-11-06 16:55:00,      3.470000,     17.165000,          7.948000,                    83.941054,      0.978000
                1636236300,           2021-11-06 22:05:00,           2021-11-06 17:05:00,      3.480000,     17.157000,          7.958000,                    84.032661,      0.978000
                1636236900,           2021-11-06 22:15:00,           2021-11-06 17:15:00,      3.470000,     17.182000,          8.036000,                    84.900504,      0.977000
                1636237500,           2021-11-06 22:25:00,           2021-11-06 17:25:00,      3.470000,     17.182000,          7.972000,                    84.224343,      0.978000
                1636238100,           2021-11-06 22:35:00,           2021-11-06 17:35:00,      3.470000,     17.174000,          8.009000,                    84.601151,      0.977000
                1636238700,           2021-11-06 22:45:00,           2021-11-06 17:45:00,      3.470000,     17.199000,          7.748000,                    81.886760,      0.977000
                1636239300,           2021-11-06 22:55:00,           2021-11-06 17:55:00,      3.470000,     17.174000,          7.910000,                    83.555388,      0.978000
                1636239900,           2021-11-06 23:05:00,           2021-11-06 18:05:00,      3.470000,     17.165000,          7.923000,                    83.677022,      0.978000
                1636240500,           2021-11-06 23:15:00,           2021-11-06 18:15:00,      3.470000,     17.157000,          7.944000,                    83.884827,      0.978000
                1636241100,           2021-11-06 23:25:00,           2021-11-06 18:25:00,      3.470000,     17.157000,          7.935000,                    83.789792,      0.978000
                1636241700,           2021-11-06 23:35:00,           2021-11-06 18:35:00,      3.470000,     17.140000,          7.875000,                    83.126769,      0.978000
                1636242300,           2021-11-06 23:45:00,           2021-11-06 18:45:00,      3.470000,     17.123000,          7.831000,                    82.633029,      0.978000
                1636242900,           2021-11-06 23:55:00,           2021-11-06 18:55:00,      3.470000,     17.131000,          7.892000,                    83.290592,      0.978000
                1636243500,           2021-11-07 00:05:00,           2021-11-06 19:05:00,      3.470000,     17.140000,          7.854000,                    82.905097,      0.978000
                1636244100,           2021-11-07 00:15:00,           2021-11-06 19:15:00,      3.470000,     17.148000,          7.894000,                    83.341221,      0.978000
                1636244700,           2021-11-07 00:25:00,           2021-11-06 19:25:00,      3.470000,     17.123000,          7.865000,                    82.991799,      0.978000
                1636245300,           2021-11-07 00:35:00,           2021-11-06 19:35:00,      3.470000,     17.106000,          7.833000,                    82.624843,      0.978000
                1636245900,           2021-11-07 00:45:00,           2021-11-06 19:45:00,      3.470000,     17.089000,          7.863000,                    82.911892,      0.978000
                1636246500,           2021-11-07 00:55:00,           2021-11-06 19:55:00,      3.470000,     17.072000,          7.904000,                    83.314667,      0.978000
                1636247100,           2021-11-07 01:05:00,           2021-11-06 20:05:00,      3.470000,     17.047000,          7.854000,                    82.744446,      0.977000
                1636247700,           2021-11-07 01:15:00,           2021-11-06 20:15:00,      3.470000,     17.055000,          7.820000,                    82.400002,      0.977000
                1636248300,           2021-11-07 01:25:00,           2021-11-06 20:25:00,      3.470000,     17.047000,          7.812000,                    82.301963,      0.977000
                1636248900,           2021-11-07 01:35:00,           2021-11-06 20:35:00,      3.470000,     17.047000,          7.801000,                    82.186074,      0.977000
                1636249500,           2021-11-07 01:45:00,           2021-11-06 20:45:00,      3.470000,     17.038000,          7.762000,                    81.759835,      0.977000
                1636250100,           2021-11-07 01:55:00,           2021-11-06 20:55:00,      3.470000,     17.030000,          7.750000,                    81.619802,      0.977000
                1636250700,           2021-11-07 02:05:00,           2021-11-06 21:05:00,      3.470000,     17.013000,          7.707000,                    81.138136,      0.977000
                1636251300,           2021-11-07 02:15:00,           2021-11-06 21:15:00,      3.470000,     17.013000,          7.701000,                    81.074968,      0.977000
                1636251900,           2021-11-07 02:25:00,           2021-11-06 21:25:00,      3.470000,     17.021000,          7.670000,                    80.762096,      0.977000
                1636252500,           2021-11-07 02:35:00,           2021-11-06 21:35:00,      3.470000,     17.013000,          7.611000,                    80.127462,      0.978000
                1636253100,           2021-11-07 02:45:00,           2021-11-06 21:45:00,      3.470000,     17.004000,          7.680000,                    80.838687,      0.977000
                1636253700,           2021-11-07 02:55:00,           2021-11-06 21:55:00,      3.470000,     17.004000,          7.624000,                    80.249238,      0.977000
                1636254300,           2021-11-07 03:05:00,           2021-11-06 22:05:00,      3.470000,     17.021000,          7.687000,                    80.941100,      0.977000
                1636254900,           2021-11-07 03:15:00,           2021-11-06 22:15:00,      3.470000,     17.021000,          7.651000,                    80.562034,      0.977000
                1636255500,           2021-11-07 03:25:00,           2021-11-06 22:25:00,      3.470000,     17.021000,          7.619000,                    80.225086,      0.977000
                1636256100,           2021-11-07 03:35:00,           2021-11-06 22:35:00,      3.470000,     17.004000,          7.601000,                    80.007143,      0.978000
                1636256700,           2021-11-07 03:45:00,           2021-11-06 22:45:00,      3.470000,     17.013000,          7.563000,                    79.622125,      0.977000
                1636257300,           2021-11-07 03:55:00,           2021-11-06 22:55:00,      3.470000,     17.013000,          7.588000,                    79.885321,      0.977000
                1636257900,           2021-11-07 04:05:00,           2021-11-06 23:05:00,      3.470000,     17.038000,          7.566000,                    79.695299,      0.977000
                1636258500,           2021-11-07 04:15:00,           2021-11-06 23:15:00,      3.470000,     17.030000,          7.644000,                    80.503453,      0.977000
                1636259100,           2021-11-07 04:25:00,           2021-11-06 23:25:00,      3.470000,     17.047000,          7.034000,                    74.105479,      0.977000
                1636259700,           2021-11-07 04:35:00,           2021-11-06 23:35:00,      3.470000,     17.072000,          6.989000,                    73.669814,      0.977000
                1636260300,           2021-11-07 04:45:00,           2021-11-06 23:45:00,      3.470000,     17.055000,          7.383000,                    77.795296,      0.977000
                1636260900,           2021-11-07 04:55:00,           2021-11-06 23:55:00,      3.470000,     17.081000,          7.246000,                    76.393148,      0.977000
                1636261500,           2021-11-07 05:05:00,           2021-11-07 00:05:00,      3.470000,     17.055000,          7.465000,                    78.659337,      0.977000
                1636262100,           2021-11-07 05:15:00,           2021-11-07 00:15:00,      3.470000,     17.047000,          7.422000,                    78.193186,      0.977000
                1636262700,           2021-11-07 05:25:00,           2021-11-07 00:25:00,      3.470000,     17.072000,          7.349000,                    77.464510,      0.977000
                1636263300,           2021-11-07 05:35:00,           2021-11-07 00:35:00,      3.470000,     17.064000,          7.365000,                    77.620206,      0.977000
                1636263900,           2021-11-07 05:45:00,           2021-11-07 00:45:00,      3.470000,     17.030000,          7.368000,                    77.596735,      0.977000
                1636264500,           2021-11-07 05:55:00,           2021-11-07 00:55:00,      3.470000,     17.047000,          7.254000,                    76.423251,      0.977000
                1636265100,           2021-11-07 06:05:00,           2021-11-07 01:05:00,      3.470000,     17.055000,          7.267000,                    76.572995,      0.977000
                1636265700,           2021-11-07 06:15:00,           2021-11-07 01:15:00,      3.470000,     17.038000,          7.357000,                    77.493830,      0.977000
                1636266300,           2021-11-07 06:25:00,           2021-11-07 01:25:00,      3.470000,     17.004000,          7.381000,                    77.691451,      0.977000
                1636266900,           2021-11-07 06:35:00,           2021-11-07 01:35:00,      3.470000,     17.004000,          7.376000,                    77.638822,      0.977000
                1636267500,           2021-11-07 06:45:00,           2021-11-07 01:45:00,      3.470000,     17.021000,          7.381000,                    77.719040,      0.977000
                1636268100,           2021-11-07 06:55:00,           2021-11-07 01:55:00,      3.470000,     17.004000,          7.400000,                    77.891443,      0.977000
                1636268700,           2021-11-07 07:05:00,           2021-11-07 01:05:00,      3.470000,     17.021000,          7.357000,                    77.466329,      0.977000
                1636269300,           2021-11-07 07:15:00,           2021-11-07 01:15:00,      3.470000,     17.030000,          7.406000,                    77.996936,      0.977000
                1636269900,           2021-11-07 07:25:00,           2021-11-07 01:25:00,      3.470000,     17.021000,          7.433000,                    78.266579,      0.977000
                1636270500,           2021-11-07 07:35:00,           2021-11-07 01:35:00,      3.470000,     17.021000,          7.457000,                    78.519290,      0.977000
                1636271100,           2021-11-07 07:45:00,           2021-11-07 01:45:00,      3.470000,     17.004000,          7.438000,                    78.291426,      0.977000
                1636271700,           2021-11-07 07:55:00,           2021-11-07 01:55:00,      3.470000,     17.004000,          7.366000,                    77.533563,      0.977000
                1636272300,           2021-11-07 08:05:00,           2021-11-07 02:05:00,      3.470000,     17.004000,          7.378000,                    77.659874,      0.977000
                1636272900,           2021-11-07 08:15:00,           2021-11-07 02:15:00,      3.470000,     17.021000,          7.339000,                    77.276796,      0.977000
                1636273500,           2021-11-07 08:25:00,           2021-11-07 02:25:00,      3.470000,     17.013000,          7.309000,                    76.948051,      0.977000
                1636274100,           2021-11-07 08:35:00,           2021-11-07 02:35:00,      3.470000,     17.021000,          7.262000,                    76.466016,      0.977000
                1636274700,           2021-11-07 08:45:00,           2021-11-07 02:45:00,      3.470000,     17.013000,          7.266000,                    76.495354,      0.977000
                1636275300,           2021-11-07 08:55:00,           2021-11-07 02:55:00,      3.470000,     17.030000,          7.295000,                    76.827929,      0.977000
                1636275900,           2021-11-07 09:05:00,           2021-11-07 03:05:00,      3.470000,     17.013000,          7.257000,                    76.400603,      0.977000
                1636276500,           2021-11-07 09:15:00,           2021-11-07 03:15:00,      3.470000,     17.021000,          7.159000,                    75.381467,      0.977000
                1636277100,           2021-11-07 09:25:00,           2021-11-07 03:25:00,      3.470000,     17.030000,          7.072000,                    74.479386,      0.977000
                1636277700,           2021-11-07 09:35:00,           2021-11-07 03:35:00,      3.470000,     17.055000,          7.073000,                    74.528800,      0.977000
                1636278300,           2021-11-07 09:45:00,           2021-11-07 03:45:00,      3.470000,     17.038000,          7.100000,                    74.786760,      0.977000
                1636278900,           2021-11-07 09:55:00,           2021-11-07 03:55:00,      3.470000,     17.064000,          7.064000,                    74.447947,      0.977000
                1636279500,           2021-11-07 10:05:00,           2021-11-07 04:05:00,      3.470000,     17.047000,          7.064000,                    74.421539,      0.977000
                1636280100,           2021-11-07 10:15:00,           2021-11-07 04:15:00,      3.470000,     17.072000,          6.940000,                    73.153313,      0.977000
                1636280700,           2021-11-07 10:25:00,           2021-11-07 04:25:00,      3.470000,     17.064000,          6.900000,                    72.719541,      0.977000
                1636281300,           2021-11-07 10:35:00,           2021-11-07 04:35:00,      3.470000,     17.047000,          6.938000,                    73.094088,      0.977000
                1636281900,           2021-11-07 10:45:00,           2021-11-07 04:45:00,      3.470000,     17.089000,          6.999000,                    73.801390,      0.976000
