7450-697789
OS REV: 1.05 Sensor Cal: 1623438416
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636304760,+3.47,+17.836, +7.669,+0.954
1636305360,+3.48,+17.869, +7.693,+0.955
1636305960,+3.47,+17.861, +7.729,+0.954
1636306560,+3.48,+17.861, +7.682,+0.954
1636307160,+3.48,+17.861, +7.719,+0.954
1636307760,+3.48,+17.869, +7.720,+0.954
1636308360,+3.48,+17.878, +7.642,+0.954
1636308960,+3.48,+17.878, +7.606,+0.954
1636309560,+3.48,+17.869, +7.622,+0.954
1636310160,+3.48,+17.886, +7.606,+0.954
1636310760,+3.48,+17.878, +7.688,+0.954
1636311360,+3.48,+17.920, +7.952,+0.954
1636311960,+3.48,+17.954, +7.844,+0.954
1636312560,+3.48,+18.047, +8.210,+0.954
1636313160,+3.48,+18.030, +8.118,+0.954
1636313760,+3.48,+18.030, +8.210,+0.954
1636314360,+3.48,+18.013, +8.189,+0.954
1636314960,+3.48,+18.021, +8.222,+0.954
1636315560,+3.48,+18.030, +8.180,+0.954
1636316160,+3.48,+18.072, +8.139,+0.954
1636316760,+3.48,+18.072, +8.163,+0.954
1636317360,+3.48,+18.089, +8.286,+0.954
1636317960,+3.48,+18.089, +8.276,+0.954
1636318560,+3.48,+18.156, +8.274,+0.954
1636319160,+3.48,+18.198, +8.084,+0.954
1636319760,+3.48,+18.215, +8.014,+0.954
1636320360,+3.48,+18.198, +8.203,+0.954
1636320960,+3.48,+18.190, +8.125,+0.954
1636321560,+3.48,+18.198, +8.116,+0.954
1636322160,+3.48,+18.232, +8.115,+0.954
1636322760,+3.48,+18.207, +8.132,+0.954
1636323360,+3.48,+18.190, +8.136,+0.954
1636323960,+3.48,+18.198, +8.130,+0.953
1636324560,+3.48,+18.215, +8.118,+0.954
1636325160,+3.48,+18.249, +8.208,+0.954
1636325760,+3.48,+18.282, +8.303,+0.954
1636326360,+3.48,+18.299, +8.274,+0.954
1636326960,+3.48,+18.282, +8.198,+0.954
1636327560,+3.48,+18.316, +8.095,+0.954
1636328160,+3.48,+18.325, +8.109,+0.954
1636328760,+3.48,+18.291, +7.964,+0.954
1636329360,+3.48,+18.266, +7.880,+0.954
1636329960,+3.48,+18.291, +7.963,+0.954
1636330560,+3.48,+18.215, +8.026,+0.954
1636331160,+3.48,+18.232, +7.922,+0.954
1636331760,+3.48,+18.249, +7.935,+0.954
1636332360,+3.48,+18.257, +7.947,+0.954
1636332960,+3.48,+18.266, +7.950,+0.954
1636333560,+3.48,+18.249, +7.937,+0.954
1636334160,+3.48,+18.249, +7.931,+0.954
1636334760,+3.48,+18.240, +7.923,+0.954
1636335360,+3.48,+18.232, +7.939,+0.954
1636335960,+3.48,+18.207, +7.951,+0.954
1636336560,+3.48,+18.190, +7.963,+0.954
1636337160,+3.48,+18.198, +7.975,+0.954
1636337760,+3.48,+18.215, +7.993,+0.954
1636338360,+3.48,+18.240, +8.066,+0.954
1636338960,+3.48,+18.215, +8.026,+0.954
1636339560,+3.48,+18.190, +7.971,+0.954
1636340160,+3.48,+18.173, +7.995,+0.954
1636340760,+3.48,+18.198, +7.982,+0.953
1636341360,+3.48,+18.181, +7.996,+0.954
1636341960,+3.48,+18.156, +8.028,+0.954
1636342560,+3.48,+18.165, +8.047,+0.953
1636343160,+3.48,+18.156, +8.043,+0.954
1636343760,+3.48,+18.148, +8.022,+0.954
1636344360,+3.48,+18.156, +8.025,+0.953
1636344960,+3.48,+18.139, +8.016,+0.954
1636345560,+3.48,+18.089, +7.860,+0.954
1636346160,+3.48,+18.055, +7.825,+0.954
1636346760,+3.48,+18.080, +7.800,+0.954
1636347360,+3.48,+18.106, +7.828,+0.953
1636347960,+3.48,+18.047, +7.490,+0.953
1636348560,+3.48,+18.047, +7.308,+0.953
1636349160,+3.48,+18.030, +7.334,+0.954
1636349760,+3.48,+18.047, +7.555,+0.954
1636350360,+3.48,+18.106, +7.717,+0.954
1636350960,+3.48,+18.097, +7.593,+0.953
1636351560,+3.48,+18.165, +7.970,+0.954
1636352160,+3.48,+18.198, +8.090,+0.954
1636352760,+3.48,+18.232, +8.059,+0.953
1636353360,+3.48,+18.282, +8.819,+0.954
1636353960,+3.48,+18.325, +8.672,+0.954
1636354560,+3.48,+18.341, +8.722,+0.954
1636355160,+3.48,+18.367, +8.947,+0.953
1636355760,+3.48,+18.350, +8.880,+0.954
1636356360,+3.48,+18.375, +8.928,+0.954
1636356960,+3.48,+18.358, +8.890,+0.953
1636357560,+3.48,+18.333, +8.808,+0.953
1636358160,+3.48,+18.341, +8.932,+0.954
1636358760,+3.48,+18.316, +8.714,+0.953
1636359360,+3.48,+18.350, +8.955,+0.954
1636359960,+3.48,+18.325, +8.862,+0.954
1636360560,+3.48,+18.316, +8.932,+0.954
1636361160,+3.48,+18.325, +8.946,+0.954
1636361760,+3.48,+18.190, +7.782,+0.953
1636362360,+3.48,+18.190, +7.958,+0.954
1636362960,+3.48,+18.181, +8.170,+0.953
1636363560,+3.48,+18.215, +8.195,+0.953
1636364160,+3.48,+18.215, +8.303,+0.954
1636364760,+3.48,+18.215, +8.349,+0.953
1636365360,+3.48,+18.198, +8.233,+0.953
1636365960,+3.48,+18.173, +8.299,+0.953
1636366560,+3.48,+18.198, +8.219,+0.953
1636367160,+3.48,+18.156, +8.228,+0.953
1636367760,+3.48,+18.156, +8.145,+0.954
1636368360,+3.48,+18.114, +7.977,+0.954
1636368960,+3.48,+18.122, +8.033,+0.953
1636369560,+3.48,+18.080, +7.944,+0.953
1636370160,+3.48,+18.072, +7.915,+0.953
1636370760,+3.48,+18.089, +7.895,+0.953
1636371360,+3.48,+18.097, +7.912,+0.954
1636371960,+3.48,+18.097, +7.944,+0.954
1636372560,+3.48,+18.122, +8.213,+0.954
1636373160,+3.48,+18.122, +8.112,+0.953
1636373760,+3.48,+18.148, +8.224,+0.953
1636374360,+3.48,+18.198, +8.367,+0.953
1636374960,+3.48,+18.190, +8.486,+0.953
1636375560,+3.48,+18.181, +8.450,+0.954
1636376160,+3.48,+18.181, +8.341,+0.954
1636376760,+3.48,+18.190, +8.293,+0.954
1636377360,+3.48,+18.173, +8.446,+0.953
1636377960,+3.48,+18.190, +8.586,+0.954
1636378560,+3.48,+18.165, +8.549,+0.953
1636379160,+3.48,+18.156, +8.402,+0.953
1636379760,+3.48,+18.148, +8.610,+0.953
1636380360,+3.48,+18.173, +8.611,+0.953
1636380960,+3.48,+18.139, +8.644,+0.953
1636381560,+3.48,+18.131, +8.172,+0.953
1636382160,+3.48,+18.148, +8.345,+0.954
1636382760,+3.48,+18.139, +8.155,+0.953
1636383360,+3.48,+18.122, +8.141,+0.953
1636383960,+3.48,+18.148, +8.561,+0.954
1636384560,+3.48,+18.165, +8.502,+0.954
1636385160,+3.48,+18.148, +8.387,+0.953
1636385760,+3.48,+18.156, +8.377,+0.953
1636386360,+3.48,+18.173, +8.523,+0.953
1636386960,+3.48,+18.173, +8.583,+0.953
1636387560,+3.48,+18.173, +8.570,+0.953
1636388160,+3.48,+18.173, +8.491,+0.953
1636388760,+3.48,+18.173, +8.137,+0.953
1636389360,+3.48,+18.165, +8.061,+0.953
1636389960,+3.48,+18.139, +8.177,+0.953
1636390560,+3.48,+18.122, +8.168,+0.953
1636391160,+3.48,+18.114, +8.205,+0.953
