7450-921860
OS REV: 1.05 Sensor Cal: 1621536121
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636217760,+3.54,+20.055, +9.952,+0.951
1636218360,+3.54,+20.022, +9.967,+0.952
1636218960,+3.54,+19.980, +9.966,+0.951
1636219560,+3.54,+19.955, +9.297,+0.950
1636220160,+3.54,+19.435,+10.055,+0.951
1636220760,+3.55,+18.983,+10.046,+0.951
1636221360,+3.55,+18.999,+10.202,+0.951
1636221960,+3.54,+18.865,+10.207,+0.952
1636222560,+3.54,+18.924,+10.115,+0.951
1636223160,+3.54,+18.966,+10.463,+0.952
1636223760,+3.54,+19.075,+10.483,+0.951
1636224360,+3.54,+19.100,+10.728,+0.952
1636224960,+3.54,+19.041,+10.687,+0.951
1636225560,+3.54,+19.058,+10.824,+0.952
1636226160,+3.54,+18.991,+10.760,+0.951
1636226760,+3.54,+19.016,+10.812,+0.951
1636227360,+3.54,+19.058,+10.901,+0.952
1636227960,+3.54,+19.092,+10.975,+0.951
1636228560,+3.54,+19.134,+11.157,+0.952
1636229160,+3.54,+19.519,+11.574,+0.952
1636229760,+3.54,+19.419,+11.578,+0.951
1636230360,+3.54,+19.377,+11.574,+0.951
1636230960,+3.54,+19.712,+11.762,+0.954
1636231560,+3.54,+19.762,+12.069,+0.953
1636232160,+3.54,+19.595,+12.407,+0.953
1636232760,+3.54,+19.687,+12.482,+0.952
1636233360,+3.54,+19.812,+12.187,+0.952
1636233960,+3.54,+19.863,+11.886,+0.952
1636234560,+3.54,+20.557,+10.294,+0.951
1636235160,+3.54,+19.930,+11.479,+0.952
1636235760,+3.54,+19.695,+11.696,+0.951
1636236360,+3.54,+19.720,+11.575,+0.951
1636236960,+3.54,+20.431,+10.433,+0.951
1636237560,+3.54,+20.640,+10.357,+0.951
1636238160,+3.54,+20.741,+10.278,+0.951
1636238760,+3.54,+20.632,+10.534,+0.951
1636239360,+3.54,+20.557,+10.527,+0.951
1636239960,+3.54,+20.440,+10.717,+0.951
1636240560,+3.54,+20.532,+10.509,+0.951
1636241160,+3.54,+20.473,+10.444,+0.950
1636241760,+3.54,+20.381,+10.389,+0.950
1636242360,+3.54,+20.323,+10.364,+0.950
1636242960,+3.54,+20.281,+10.307,+0.950
1636243560,+3.54,+20.214,+10.314,+0.951
1636244160,+3.54,+20.147,+10.292,+0.951
1636244760,+3.54,+20.097,+10.257,+0.951
1636245360,+3.54,+20.089,+10.189,+0.950
1636245960,+3.54,+20.063,+10.176,+0.951
1636246560,+3.54,+20.022,+10.195,+0.950
1636247160,+3.53,+19.955,+10.189,+0.950
1636247760,+3.53,+19.896,+10.181,+0.950
1636248360,+3.54,+19.804,+10.218,+0.951
1636248960,+3.54,+19.603,+10.178,+0.950
1636249560,+3.54,+19.469,+10.054,+0.950
1636250160,+3.54,+19.385, +9.942,+0.950
1636250760,+3.54,+19.326, +9.996,+0.950
1636251360,+3.54,+19.293, +9.896,+0.950
1636251960,+3.54,+19.234, +9.794,+0.950
1636252560,+3.54,+19.176, +9.722,+0.950
1636253160,+3.54,+19.108, +9.681,+0.949
1636253760,+3.54,+19.033, +9.508,+0.950
1636254360,+3.54,+18.999, +9.472,+0.950
1636254960,+3.54,+18.983, +9.468,+0.949
1636255560,+3.54,+18.957, +9.427,+0.950
1636256160,+3.54,+18.924, +9.371,+0.950
1636256760,+3.54,+18.890, +9.339,+0.950
1636257360,+3.53,+18.865, +9.296,+0.949
1636257960,+3.53,+18.840, +9.236,+0.949
1636258560,+3.53,+18.806, +9.147,+0.949
1636259160,+3.53,+18.781, +9.058,+0.949
1636259760,+3.53,+18.773, +8.997,+0.949
1636260360,+3.53,+18.781, +9.035,+0.949
1636260960,+3.53,+18.764, +9.026,+0.949
1636261560,+3.53,+18.739, +8.997,+0.949
1636262160,+3.54,+18.722, +8.942,+0.949
1636262760,+3.53,+18.739, +8.934,+0.949
1636263360,+3.54,+18.689, +8.934,+0.949
1636263960,+3.54,+18.697, +8.898,+0.949
1636264560,+3.53,+18.663, +8.915,+0.949
1636265160,+3.53,+18.655, +8.876,+0.949
1636265760,+3.54,+18.655, +8.829,+0.949
1636266360,+3.54,+18.647, +8.822,+0.949
1636266960,+3.54,+18.630, +8.800,+0.949
1636267560,+3.54,+18.605, +8.731,+0.949
1636268160,+3.54,+18.596, +8.703,+0.948
1636268760,+3.53,+18.596, +8.697,+0.949
1636269360,+3.53,+18.579, +8.689,+0.949
1636269960,+3.54,+18.563, +8.702,+0.949
1636270560,+3.53,+18.563, +8.697,+0.949
1636271160,+3.53,+18.554, +8.693,+0.949
1636271760,+3.54,+18.512, +8.717,+0.949
1636272360,+3.53,+18.529, +8.687,+0.949
1636272960,+3.53,+18.537, +8.652,+0.949
1636273560,+3.54,+18.495, +8.688,+0.949
1636274160,+3.53,+18.495, +8.686,+0.949
1636274760,+3.54,+18.487, +8.638,+0.948
1636275360,+3.54,+18.495, +8.637,+0.948
1636275960,+3.53,+18.479, +8.670,+0.949
1636276560,+3.53,+18.445, +8.643,+0.949
1636277160,+3.54,+18.428, +8.618,+0.949
1636277760,+3.54,+18.420, +8.616,+0.948
1636278360,+3.54,+18.436, +8.612,+0.949
1636278960,+3.53,+18.436, +8.573,+0.948
1636279560,+3.53,+18.445, +8.561,+0.949
1636280160,+3.53,+18.420, +8.552,+0.949
1636280760,+3.53,+18.403, +8.520,+0.948
1636281360,+3.53,+18.420, +8.485,+0.949
1636281960,+3.54,+18.394, +8.486,+0.948
1636282560,+3.53,+18.403, +8.446,+0.949
1636283160,+3.53,+18.403, +8.381,+0.949
1636283760,+3.53,+18.386, +8.330,+0.949
1636284360,+3.53,+18.369, +8.289,+0.948
1636284960,+3.53,+18.378, +8.231,+0.949
1636285560,+3.53,+18.352, +8.190,+0.948
1636286160,+3.53,+18.344, +8.164,+0.949
1636286760,+3.53,+18.302, +8.128,+0.948
1636287360,+3.53,+18.327, +8.111,+0.949
1636287960,+3.53,+18.319, +8.103,+0.949
1636288560,+3.53,+18.319, +8.086,+0.948
1636289160,+3.53,+18.285, +8.085,+0.948
1636289760,+3.53,+18.293, +8.089,+0.949
1636290360,+3.53,+18.260, +8.087,+0.948
1636290960,+3.53,+18.293, +8.077,+0.948
1636291560,+3.53,+18.277, +8.093,+0.949
1636292160,+3.53,+18.310, +8.087,+0.949
1636292760,+3.53,+18.302, +8.080,+0.948
1636293360,+3.53,+18.302, +8.110,+0.948
1636293960,+3.53,+18.293, +8.158,+0.948
1636294560,+3.53,+18.285, +8.183,+0.948
1636295160,+3.53,+18.293, +8.202,+0.949
1636295760,+3.53,+18.319, +8.284,+0.948
1636296360,+3.53,+18.344, +8.307,+0.948
1636296960,+3.53,+18.352, +8.421,+0.948
1636297560,+3.53,+18.378, +8.485,+0.948
1636298160,+3.53,+18.378, +8.557,+0.949
1636298760,+3.53,+18.378, +8.504,+0.948
1636299360,+3.53,+18.403, +8.537,+0.949
1636299960,+3.53,+18.428, +9.167,+0.949
1636300560,+3.53,+18.453, +9.106,+0.949
1636301160,+3.53,+18.479, +9.214,+0.948
1636301760,+3.53,+18.487, +9.265,+0.949
1636302360,+3.53,+18.537, +9.317,+0.948
1636302960,+3.53,+18.546, +9.385,+0.948
1636303560,+3.53,+18.571, +9.460,+0.949
1636304160,+3.53,+18.596, +9.503,+0.949
