MiniDOT Logger Concatenated Data File
Sensor:             7450-921860
Concatenation Date: 2021Nov10 11:10:10 CST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 141.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1636217760,           2021-11-06 16:56:00,           2021-11-06 11:56:00,      3.540000,     20.055000,          9.952000,                   111.471722,      0.951000
                1636218360,           2021-11-06 17:06:00,           2021-11-06 12:06:00,      3.540000,     20.022000,          9.967000,                   111.566510,      0.952000
                1636218960,           2021-11-06 17:16:00,           2021-11-06 12:16:00,      3.540000,     19.980000,          9.966000,                   111.462143,      0.951000
                1636219560,           2021-11-06 17:26:00,           2021-11-06 12:26:00,      3.540000,     19.955000,          9.297000,                   103.928156,      0.950000
                1636220160,           2021-11-06 17:36:00,           2021-11-06 12:36:00,      3.540000,     19.435000,         10.055000,                   111.239166,      0.951000
                1636220760,           2021-11-06 17:46:00,           2021-11-06 12:46:00,      3.550000,     18.983000,         10.046000,                   110.132081,      0.951000
                1636221360,           2021-11-06 17:56:00,           2021-11-06 12:56:00,      3.550000,     18.999000,         10.202000,                   111.878460,      0.951000
                1636221960,           2021-11-06 18:06:00,           2021-11-06 13:06:00,      3.540000,     18.865000,         10.207000,                   111.630160,      0.952000
                1636222560,           2021-11-06 18:16:00,           2021-11-06 13:16:00,      3.540000,     18.924000,         10.115000,                   110.756235,      0.951000
                1636223160,           2021-11-06 18:26:00,           2021-11-06 13:26:00,      3.540000,     18.966000,         10.463000,                   114.664131,      0.952000
                1636223760,           2021-11-06 18:36:00,           2021-11-06 13:36:00,      3.540000,     19.075000,         10.483000,                   115.136649,      0.951000
                1636224360,           2021-11-06 18:46:00,           2021-11-06 13:46:00,      3.540000,     19.100000,         10.728000,                   117.887006,      0.952000
                1636224960,           2021-11-06 18:56:00,           2021-11-06 13:56:00,      3.540000,     19.041000,         10.687000,                   117.296644,      0.951000
                1636225560,           2021-11-06 19:06:00,           2021-11-06 14:06:00,      3.540000,     19.058000,         10.824000,                   118.841108,      0.952000
                1636226160,           2021-11-06 19:16:00,           2021-11-06 14:16:00,      3.540000,     18.991000,         10.760000,                   117.978588,      0.951000
