7450-014636
OS REV: 1.05 Sensor Cal: 1626371226
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636230900,+3.53,+21.744, +9.644,+0.987
1636231500,+3.53,+20.999, +9.654,+0.987
1636232100,+3.53,+20.505, +9.630,+0.986
1636232700,+3.53,+20.379, +9.637,+0.987
1636233300,+3.53,+20.455, +9.630,+0.987
1636233900,+3.53,+19.087,+11.026,+0.981
1636234500,+3.53,+18.119,+11.461,+0.984
1636235100,+3.53,+17.984,+11.363,+0.986
1636235700,+3.53,+18.009,+11.541,+0.987
1636236300,+3.53,+18.051,+11.581,+0.985
1636236900,+3.53,+18.076,+11.583,+0.985
1636237500,+3.53,+18.161,+11.631,+0.986
1636238100,+3.53,+18.136,+11.600,+0.986
1636238700,+3.53,+18.152,+11.555,+0.985
1636239300,+3.53,+18.152,+11.550,+0.985
1636239900,+3.53,+18.152,+11.510,+0.985
1636240500,+3.53,+18.203,+11.439,+0.985
1636241100,+3.53,+18.220,+11.376,+0.985
1636241700,+3.53,+18.195,+11.408,+0.986
1636242300,+3.53,+18.211,+11.342,+0.985
1636242900,+3.53,+18.186,+11.316,+0.985
1636243500,+3.53,+18.203,+11.251,+0.985
1636244100,+3.53,+18.178,+11.225,+0.985
1636244700,+3.53,+18.195,+11.111,+0.985
1636245300,+3.53,+18.270,+11.184,+0.985
1636245900,+3.53,+18.363,+11.460,+0.985
1636246500,+3.53,+18.388,+11.508,+0.985
1636247100,+3.53,+18.388,+11.608,+0.984
1636247700,+3.53,+18.363,+11.640,+0.985
1636248300,+3.53,+18.346,+11.477,+0.985
1636248900,+3.53,+18.346,+11.533,+0.984
1636249500,+3.53,+18.372,+11.603,+0.984
1636250100,+3.53,+18.363,+11.669,+0.985
1636250700,+3.53,+18.372,+11.634,+0.985
1636251300,+3.53,+18.329,+11.640,+0.985
1636251900,+3.53,+18.329,+11.595,+0.984
1636252500,+3.53,+18.338,+11.604,+0.985
1636253100,+3.53,+18.304,+11.607,+0.985
1636253700,+3.53,+18.313,+11.593,+0.984
1636254300,+3.53,+18.296,+11.595,+0.985
1636254900,+3.53,+18.296,+11.569,+0.985
1636255500,+3.53,+18.304,+11.504,+0.984
1636256100,+3.53,+18.313,+11.493,+0.985
1636256700,+3.53,+18.287,+11.481,+0.984
1636257300,+3.53,+18.287,+11.441,+0.984
1636257900,+3.53,+18.304,+11.419,+0.985
1636258500,+3.53,+18.313,+11.421,+0.984
1636259100,+3.53,+18.304,+11.412,+0.984
1636259700,+3.53,+18.313,+11.402,+0.985
1636260300,+3.53,+18.329,+11.381,+0.984
1636260900,+3.53,+18.321,+11.347,+0.984
1636261500,+3.53,+18.329,+11.307,+0.985
1636262100,+3.53,+18.279,+11.304,+0.984
1636262700,+3.53,+18.262,+11.245,+0.985
1636263300,+3.53,+18.228,+11.179,+0.985
1636263900,+3.53,+18.245,+10.966,+0.984
1636264500,+3.53,+18.245,+10.936,+0.984
1636265100,+3.53,+18.254,+11.063,+0.985
1636265700,+3.53,+18.245,+11.012,+0.984
1636266300,+3.53,+18.254,+11.063,+0.985
1636266900,+3.53,+18.220,+11.046,+0.984
1636267500,+3.53,+18.195,+10.996,+0.984
1636268100,+3.53,+18.195,+11.061,+0.984
1636268700,+3.53,+18.195,+11.000,+0.984
1636269300,+3.53,+18.178,+11.084,+0.984
1636269900,+3.53,+18.178,+11.028,+0.984
1636270500,+3.53,+18.152,+11.050,+0.984
1636271100,+3.53,+18.110,+11.055,+0.984
1636271700,+3.53,+18.127,+11.063,+0.984
1636272300,+3.53,+18.102,+11.044,+0.984
1636272900,+3.53,+18.093,+11.083,+0.984
1636273500,+3.53,+18.085,+11.057,+0.984
1636274100,+3.53,+18.017,+11.080,+0.984
1636274700,+3.53,+18.085,+11.087,+0.984
1636275300,+3.52,+18.102,+11.131,+0.984
1636275900,+3.53,+18.093,+11.135,+0.984
1636276500,+3.52,+18.043,+11.112,+0.984
1636277100,+3.52,+18.093,+11.129,+0.984
1636277700,+3.52,+18.161,+11.134,+0.984
1636278300,+3.52,+18.169,+11.135,+0.984
1636278900,+3.52,+18.152,+11.133,+0.984
1636279500,+3.52,+18.127,+11.092,+0.984
1636280100,+3.52,+18.119,+11.149,+0.984
1636280700,+3.52,+18.152,+11.136,+0.984
1636281300,+3.52,+18.178,+11.162,+0.984
1636281900,+3.52,+18.161,+11.144,+0.984
1636282500,+3.52,+18.119,+11.081,+0.984
1636283100,+3.52,+18.102,+11.089,+0.984
1636283700,+3.52,+18.102,+11.100,+0.984
1636284300,+3.52,+18.110,+11.083,+0.984
1636284900,+3.52,+18.076,+11.088,+0.984
1636285500,+3.52,+18.102,+11.086,+0.984
1636286100,+3.52,+18.110,+11.088,+0.984
1636286700,+3.52,+18.043,+11.062,+0.984
1636287300,+3.52,+18.068,+11.047,+0.983
1636287900,+3.52,+18.093,+11.064,+0.984
1636288500,+3.52,+18.076,+11.053,+0.984
1636289100,+3.52,+18.068,+11.042,+0.984
1636289700,+3.52,+18.076,+11.055,+0.984
1636290300,+3.52,+18.060,+11.041,+0.984
1636290900,+3.52,+18.043,+11.048,+0.984
1636291500,+3.52,+18.034,+11.067,+0.984
1636292100,+3.52,+18.034,+11.030,+0.984
1636292700,+3.52,+18.026,+11.046,+0.984
1636293300,+3.52,+18.026,+11.041,+0.984
1636293900,+3.52,+18.001,+11.112,+0.984
1636294500,+3.52,+18.009,+11.117,+0.984
1636295100,+3.52,+17.992,+11.094,+0.984
1636295700,+3.52,+17.975,+11.074,+0.984
1636296300,+3.52,+17.984,+11.091,+0.983
1636296900,+3.52,+17.975,+11.130,+0.984
1636297500,+3.52,+17.984,+11.107,+0.984
1636298100,+3.52,+17.967,+11.087,+0.984
1636298700,+3.52,+17.958,+11.107,+0.984
1636299300,+3.52,+17.975,+11.266,+0.984
1636299900,+3.52,+17.992,+11.208,+0.984
1636300500,+3.52,+17.984,+11.172,+0.984
1636301100,+3.52,+17.984,+11.180,+0.984
1636301700,+3.52,+18.034,+11.342,+0.984
1636302300,+3.52,+18.068,+11.337,+0.984
1636302900,+3.52,+18.051,+11.389,+0.985
1636303500,+3.52,+18.026,+11.340,+0.984
1636304100,+3.52,+18.085,+11.386,+0.984
1636304700,+3.52,+18.093,+11.395,+0.984
1636305300,+3.52,+18.110,+11.407,+0.984
1636305900,+3.52,+18.102,+11.414,+0.984
1636306500,+3.52,+18.136,+11.476,+0.984
1636307100,+3.52,+18.127,+11.458,+0.984
1636307700,+3.52,+18.127,+11.385,+0.984
1636308300,+3.52,+17.933,+10.830,+0.983
1636308900,+3.52,+18.060,+11.120,+0.984
1636309500,+3.52,+18.060,+11.168,+0.983
1636310100,+3.52,+18.076,+11.307,+0.984
1636310700,+3.52,+18.093,+11.267,+0.984
1636311300,+3.52,+18.119,+11.362,+0.984
1636311900,+3.52,+18.144,+11.423,+0.984
1636312500,+3.52,+18.178,+11.493,+0.984
1636313100,+3.52,+18.102,+11.279,+0.984
1636313700,+3.52,+18.178,+11.570,+0.984
1636314300,+3.52,+18.186,+11.518,+0.984
1636314900,+3.52,+18.119,+11.292,+0.983
1636315500,+3.52,+18.127,+11.395,+0.984
1636316100,+3.52,+17.984,+11.199,+0.984
1636316700,+3.52,+18.076,+11.215,+0.983
1636317300,+3.52,+18.093,+11.298,+0.984
