MiniDOT Logger Concatenated Data File
Sensor:             7450-014636
Concatenation Date: 2021Nov10 11:18:45 CST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 141.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1636230900,           2021-11-06 20:35:00,           2021-11-06 15:35:00,      3.530000,     21.744000,          9.644000,                   111.660905,      0.987000
                1636231500,           2021-11-06 20:45:00,           2021-11-06 15:45:00,      3.530000,     20.999000,          9.654000,                   110.166789,      0.987000
                1636232100,           2021-11-06 20:55:00,           2021-11-06 15:55:00,      3.530000,     20.505000,          9.630000,                   108.830738,      0.986000
                1636232700,           2021-11-06 21:05:00,           2021-11-06 16:05:00,      3.530000,     20.379000,          9.637000,                   108.639071,      0.987000
                1636233300,           2021-11-06 21:15:00,           2021-11-06 16:15:00,      3.530000,     20.455000,          9.630000,                   108.723349,      0.987000
                1636233900,           2021-11-06 21:25:00,           2021-11-06 16:25:00,      3.530000,     19.087000,         11.026000,                   121.129856,      0.981000
                1636234500,           2021-11-06 21:35:00,           2021-11-06 16:35:00,      3.530000,     18.119000,         11.461000,                   123.453195,      0.984000
                1636235100,           2021-11-06 21:45:00,           2021-11-06 16:45:00,      3.530000,     17.984000,         11.363000,                   122.058828,      0.986000
                1636235700,           2021-11-06 21:55:00,           2021-11-06 16:55:00,      3.530000,     18.009000,         11.541000,                   124.034564,      0.987000
                1636236300,           2021-11-06 22:05:00,           2021-11-06 17:05:00,      3.530000,     18.051000,         11.581000,                   124.571858,      0.985000
                1636236900,           2021-11-06 22:15:00,           2021-11-06 17:15:00,      3.530000,     18.076000,         11.583000,                   124.657320,      0.985000
                1636237500,           2021-11-06 22:25:00,           2021-11-06 17:25:00,      3.530000,     18.161000,         11.631000,                   125.392279,      0.986000
                1636238100,           2021-11-06 22:35:00,           2021-11-06 17:35:00,      3.530000,     18.136000,         11.600000,                   124.994007,      0.986000
                1636238700,           2021-11-06 22:45:00,           2021-11-06 17:45:00,      3.530000,     18.152000,         11.555000,                   124.549958,      0.985000
                1636239300,           2021-11-06 22:55:00,           2021-11-06 17:55:00,      3.530000,     18.152000,         11.550000,                   124.496064,      0.985000
                1636239900,           2021-11-06 23:05:00,           2021-11-06 18:05:00,      3.530000,     18.152000,         11.510000,                   124.064909,      0.985000
                1636240500,           2021-11-06 23:15:00,           2021-11-06 18:15:00,      3.530000,     18.203000,         11.439000,                   123.428504,      0.985000
                1636241100,           2021-11-06 23:25:00,           2021-11-06 18:25:00,      3.530000,     18.220000,         11.376000,                   122.791460,      0.985000
                1636241700,           2021-11-06 23:35:00,           2021-11-06 18:35:00,      3.530000,     18.195000,         11.408000,                   123.073844,      0.986000
                1636242300,           2021-11-06 23:45:00,           2021-11-06 18:45:00,      3.530000,     18.211000,         11.342000,                   122.401910,      0.985000
                1636242900,           2021-11-06 23:55:00,           2021-11-06 18:55:00,      3.530000,     18.186000,         11.316000,                   122.058810,      0.985000
                1636243500,           2021-11-07 00:05:00,           2021-11-06 19:05:00,      3.530000,     18.203000,         11.251000,                   121.399956,      0.985000
                1636244100,           2021-11-07 00:15:00,           2021-11-06 19:15:00,      3.530000,     18.178000,         11.225000,                   121.057407,      0.985000
                1636244700,           2021-11-07 00:25:00,           2021-11-06 19:25:00,      3.530000,     18.195000,         11.111000,                   119.869695,      0.985000
                1636245300,           2021-11-07 00:35:00,           2021-11-06 19:35:00,      3.530000,     18.270000,         11.184000,                   120.842616,      0.985000
                1636245900,           2021-11-07 00:45:00,           2021-11-06 19:45:00,      3.530000,     18.363000,         11.460000,                   124.060396,      0.985000
                1636246500,           2021-11-07 00:55:00,           2021-11-06 19:55:00,      3.530000,     18.388000,         11.508000,                   124.643638,      0.985000
                1636247100,           2021-11-07 01:05:00,           2021-11-06 20:05:00,      3.530000,     18.388000,         11.608000,                   125.726742,      0.984000
                1636247700,           2021-11-07 01:15:00,           2021-11-06 20:15:00,      3.530000,     18.363000,         11.640000,                   126.008988,      0.985000
                1636248300,           2021-11-07 01:25:00,           2021-11-06 20:25:00,      3.530000,     18.346000,         11.477000,                   124.201290,      0.985000
                1636248900,           2021-11-07 01:35:00,           2021-11-06 20:35:00,      3.530000,     18.346000,         11.533000,                   124.807308,      0.984000
                1636249500,           2021-11-07 01:45:00,           2021-11-06 20:45:00,      3.530000,     18.372000,         11.603000,                   125.631535,      0.984000
                1636250100,           2021-11-07 01:55:00,           2021-11-06 20:55:00,      3.530000,     18.363000,         11.669000,                   126.322928,      0.985000
                1636250700,           2021-11-07 02:05:00,           2021-11-06 21:05:00,      3.530000,     18.372000,         11.634000,                   125.967187,      0.985000
                1636251300,           2021-11-07 02:15:00,           2021-11-06 21:15:00,      3.530000,     18.329000,         11.640000,                   125.921487,      0.985000
                1636251900,           2021-11-07 02:25:00,           2021-11-06 21:25:00,      3.530000,     18.329000,         11.595000,                   125.434677,      0.984000
                1636252500,           2021-11-07 02:35:00,           2021-11-06 21:35:00,      3.530000,     18.338000,         11.604000,                   125.555128,      0.985000
                1636253100,           2021-11-07 02:45:00,           2021-11-06 21:45:00,      3.530000,     18.304000,         11.607000,                   125.500344,      0.985000
                1636253700,           2021-11-07 02:55:00,           2021-11-06 21:55:00,      3.530000,     18.313000,         11.593000,                   125.372034,      0.984000
                1636254300,           2021-11-07 03:05:00,           2021-11-06 22:05:00,      3.530000,     18.296000,         11.595000,                   125.350089,      0.985000
                1636254900,           2021-11-07 03:15:00,           2021-11-06 22:15:00,      3.530000,     18.296000,         11.569000,                   125.069011,      0.985000
                1636255500,           2021-11-07 03:25:00,           2021-11-06 22:25:00,      3.530000,     18.304000,         11.504000,                   124.386659,      0.984000
                1636256100,           2021-11-07 03:35:00,           2021-11-06 22:35:00,      3.530000,     18.313000,         11.493000,                   124.290588,      0.985000
                1636256700,           2021-11-07 03:45:00,           2021-11-06 22:45:00,      3.530000,     18.287000,         11.481000,                   124.094828,      0.984000
                1636257300,           2021-11-07 03:55:00,           2021-11-06 22:55:00,      3.530000,     18.287000,         11.441000,                   123.662480,      0.984000
                1636257900,           2021-11-07 04:05:00,           2021-11-06 23:05:00,      3.530000,     18.304000,         11.419000,                   123.467599,      0.985000
                1636258500,           2021-11-07 04:15:00,           2021-11-06 23:15:00,      3.530000,     18.313000,         11.421000,                   123.511947,      0.984000
                1636259100,           2021-11-07 04:25:00,           2021-11-06 23:25:00,      3.530000,     18.304000,         11.412000,                   123.391912,      0.984000
                1636259700,           2021-11-07 04:35:00,           2021-11-06 23:35:00,      3.530000,     18.313000,         11.402000,                   123.306472,      0.985000
                1636260300,           2021-11-07 04:45:00,           2021-11-06 23:45:00,      3.530000,     18.329000,         11.381000,                   123.119626,      0.984000
                1636260900,           2021-11-07 04:55:00,           2021-11-06 23:55:00,      3.530000,     18.321000,         11.347000,                   122.731745,      0.984000
                1636261500,           2021-11-07 05:05:00,           2021-11-07 00:05:00,      3.530000,     18.329000,         11.307000,                   122.319094,      0.985000
                1636262100,           2021-11-07 05:15:00,           2021-11-07 00:15:00,      3.530000,     18.279000,         11.304000,                   122.161697,      0.984000
                1636262700,           2021-11-07 05:25:00,           2021-11-07 00:25:00,      3.530000,     18.262000,         11.245000,                   121.481835,      0.985000
                1636263300,           2021-11-07 05:35:00,           2021-11-07 00:35:00,      3.530000,     18.228000,         11.179000,                   120.684824,      0.985000
                1636263900,           2021-11-07 05:45:00,           2021-11-07 00:45:00,      3.530000,     18.245000,         10.966000,                   118.426544,      0.984000
                1636264500,           2021-11-07 05:55:00,           2021-11-07 00:55:00,      3.530000,     18.245000,         10.936000,                   118.102561,      0.984000
                1636265100,           2021-11-07 06:05:00,           2021-11-07 01:05:00,      3.530000,     18.254000,         11.063000,                   119.496094,      0.985000
                1636265700,           2021-11-07 06:15:00,           2021-11-07 01:15:00,      3.530000,     18.245000,         11.012000,                   118.923318,      0.984000
                1636266300,           2021-11-07 06:25:00,           2021-11-07 01:25:00,      3.530000,     18.254000,         11.063000,                   119.496094,      0.985000
                1636266900,           2021-11-07 06:35:00,           2021-11-07 01:35:00,      3.530000,     18.220000,         11.046000,                   119.229471,      0.984000
                1636267500,           2021-11-07 06:45:00,           2021-11-07 01:45:00,      3.530000,     18.195000,         10.996000,                   118.629031,      0.984000
                1636268100,           2021-11-07 06:55:00,           2021-11-07 01:55:00,      3.530000,     18.195000,         11.061000,                   119.330276,      0.984000
                1636268700,           2021-11-07 07:05:00,           2021-11-07 01:05:00,      3.530000,     18.195000,         11.000000,                   118.672184,      0.984000
                1636269300,           2021-11-07 07:15:00,           2021-11-07 01:15:00,      3.530000,     18.178000,         11.084000,                   119.536775,      0.984000
                1636269900,           2021-11-07 07:25:00,           2021-11-07 01:25:00,      3.530000,     18.178000,         11.028000,                   118.932836,      0.984000
                1636270500,           2021-11-07 07:35:00,           2021-11-07 01:35:00,      3.530000,     18.152000,         11.050000,                   119.106624,      0.984000
                1636271100,           2021-11-07 07:45:00,           2021-11-07 01:45:00,      3.530000,     18.110000,         11.055000,                   119.057952,      0.984000
                1636271700,           2021-11-07 07:55:00,           2021-11-07 01:55:00,      3.530000,     18.127000,         11.063000,                   119.185652,      0.984000
                1636272300,           2021-11-07 08:05:00,           2021-11-07 02:05:00,      3.530000,     18.102000,         11.044000,                   118.919971,      0.984000
                1636272900,           2021-11-07 08:15:00,           2021-11-07 02:15:00,      3.530000,     18.093000,         11.083000,                   119.317886,      0.984000
                1636273500,           2021-11-07 08:25:00,           2021-11-07 02:25:00,      3.530000,     18.085000,         11.057000,                   119.018437,      0.984000
                1636274100,           2021-11-07 08:35:00,           2021-11-07 02:35:00,      3.530000,     18.017000,         11.080000,                   119.099631,      0.984000
                1636274700,           2021-11-07 08:45:00,           2021-11-07 02:45:00,      3.530000,     18.085000,         11.087000,                   119.341360,      0.984000
                1636275300,           2021-11-07 08:55:00,           2021-11-07 02:55:00,      3.520000,     18.102000,         11.131000,                   119.856773,      0.984000
                1636275900,           2021-11-07 09:05:00,           2021-11-07 03:05:00,      3.530000,     18.093000,         11.135000,                   119.877710,      0.984000
                1636276500,           2021-11-07 09:15:00,           2021-11-07 03:15:00,      3.520000,     18.043000,         11.112000,                   119.507395,      0.984000
                1636277100,           2021-11-07 09:25:00,           2021-11-07 03:25:00,      3.520000,     18.093000,         11.129000,                   119.813115,      0.984000
                1636277700,           2021-11-07 09:35:00,           2021-11-07 03:35:00,      3.520000,     18.161000,         11.134000,                   120.034188,      0.984000
                1636278300,           2021-11-07 09:45:00,           2021-11-07 03:45:00,      3.520000,     18.169000,         11.135000,                   120.064649,      0.984000
                1636278900,           2021-11-07 09:55:00,           2021-11-07 03:55:00,      3.520000,     18.152000,         11.133000,                   120.001271,      0.984000
                1636279500,           2021-11-07 10:05:00,           2021-11-07 04:05:00,      3.520000,     18.127000,         11.092000,                   119.498079,      0.984000
                1636280100,           2021-11-07 10:15:00,           2021-11-07 04:15:00,      3.520000,     18.119000,         11.149000,                   120.092459,      0.984000
                1636280700,           2021-11-07 10:25:00,           2021-11-07 04:25:00,      3.520000,     18.152000,         11.136000,                   120.033608,      0.984000
                1636281300,           2021-11-07 10:35:00,           2021-11-07 04:35:00,      3.520000,     18.178000,         11.162000,                   120.377976,      0.984000
                1636281900,           2021-11-07 10:45:00,           2021-11-07 04:45:00,      3.520000,     18.161000,         11.144000,                   120.141997,      0.984000
                1636282500,           2021-11-07 10:55:00,           2021-11-07 04:55:00,      3.520000,     18.119000,         11.081000,                   119.359990,      0.984000
                1636283100,           2021-11-07 11:05:00,           2021-11-07 05:05:00,      3.520000,     18.102000,         11.089000,                   119.404524,      0.984000
                1636283700,           2021-11-07 11:15:00,           2021-11-07 05:15:00,      3.520000,     18.102000,         11.100000,                   119.522970,      0.984000
                1636284300,           2021-11-07 11:25:00,           2021-11-07 05:25:00,      3.520000,     18.110000,         11.083000,                   119.359501,      0.984000
                1636284900,           2021-11-07 11:35:00,           2021-11-07 05:35:00,      3.520000,     18.076000,         11.088000,                   119.330084,      0.984000
                1636285500,           2021-11-07 11:45:00,           2021-11-07 05:45:00,      3.520000,     18.102000,         11.086000,                   119.372221,      0.984000
                1636286100,           2021-11-07 11:55:00,           2021-11-07 05:55:00,      3.520000,     18.110000,         11.088000,                   119.413349,      0.984000
                1636286700,           2021-11-07 12:05:00,           2021-11-07 06:05:00,      3.520000,     18.043000,         11.062000,                   118.969655,      0.984000
                1636287300,           2021-11-07 12:15:00,           2021-11-07 06:15:00,      3.520000,     18.068000,         11.047000,                   118.869321,      0.983000
                1636287900,           2021-11-07 12:25:00,           2021-11-07 06:25:00,      3.520000,     18.093000,         11.064000,                   119.113335,      0.984000
                1636288500,           2021-11-07 12:35:00,           2021-11-07 06:35:00,      3.520000,     18.076000,         11.053000,                   118.953411,      0.984000
                1636289100,           2021-11-07 12:45:00,           2021-11-07 06:45:00,      3.520000,     18.068000,         11.042000,                   118.815519,      0.984000
                1636289700,           2021-11-07 12:55:00,           2021-11-07 06:55:00,      3.520000,     18.076000,         11.055000,                   118.974935,      0.984000
                1636290300,           2021-11-07 13:05:00,           2021-11-07 07:05:00,      3.520000,     18.060000,         11.041000,                   118.785253,      0.984000
                1636290900,           2021-11-07 13:15:00,           2021-11-07 07:15:00,      3.520000,     18.043000,         11.048000,                   118.819088,      0.984000
                1636291500,           2021-11-07 13:25:00,           2021-11-07 07:25:00,      3.520000,     18.034000,         11.067000,                   119.001435,      0.984000
                1636292100,           2021-11-07 13:35:00,           2021-11-07 07:35:00,      3.520000,     18.034000,         11.030000,                   118.603581,      0.984000
                1636292700,           2021-11-07 13:45:00,           2021-11-07 07:45:00,      3.520000,     18.026000,         11.046000,                   118.756113,      0.984000
