7450-121548
OS REV: 1.05 Sensor Cal: 1626366865
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636230900,+3.53,+21.507, +9.376,+0.947
1636231500,+3.53,+20.922, +9.433,+0.947
1636232100,+3.53,+20.462, +9.471,+0.948
1636232700,+3.53,+20.353, +9.428,+0.947
1636233300,+3.53,+20.420, +9.367,+0.948
1636233900,+3.53,+19.398,+11.191,+0.948
1636234500,+3.53,+18.332,+11.516,+0.950
1636235100,+3.53,+18.290,+11.529,+0.950
1636235700,+3.53,+18.265,+11.597,+0.950
1636236300,+3.53,+18.265,+11.625,+0.950
1636236900,+3.53,+18.282,+11.672,+0.951
1636237500,+3.53,+18.357,+11.712,+0.950
1636238100,+3.53,+18.315,+11.715,+0.950
1636238700,+3.53,+18.324,+11.765,+0.951
1636239300,+3.53,+18.340,+11.699,+0.950
1636239900,+3.53,+18.366,+11.727,+0.950
1636240500,+3.53,+18.425,+11.764,+0.950
1636241100,+3.53,+18.483,+11.871,+0.950
1636241700,+3.53,+18.441,+11.685,+0.951
1636242300,+3.53,+18.509,+11.705,+0.950
1636242900,+3.53,+18.576,+11.797,+0.950
1636243500,+3.53,+18.525,+11.682,+0.950
1636244100,+3.53,+18.500,+11.742,+0.950
1636244700,+3.53,+18.467,+11.629,+0.950
1636245300,+3.53,+18.475,+11.727,+0.951
1636245900,+3.53,+18.450,+11.690,+0.950
1636246500,+3.53,+18.441,+11.703,+0.950
1636247100,+3.53,+18.416,+11.682,+0.949
1636247700,+3.53,+18.399,+11.573,+0.950
1636248300,+3.53,+18.374,+11.576,+0.950
1636248900,+3.53,+18.366,+11.636,+0.950
1636249500,+3.53,+18.374,+11.633,+0.950
1636250100,+3.53,+18.357,+11.617,+0.950
1636250700,+3.53,+18.357,+11.597,+0.950
1636251300,+3.53,+18.374,+11.574,+0.949
1636251900,+3.53,+18.366,+11.581,+0.950
1636252500,+3.53,+18.340,+11.587,+0.950
1636253100,+3.53,+18.315,+11.553,+0.949
1636253700,+3.53,+18.332,+11.545,+0.949
1636254300,+3.53,+18.298,+11.549,+0.950
1636254900,+3.53,+18.315,+11.529,+0.950
1636255500,+3.53,+18.307,+11.503,+0.950
1636256100,+3.53,+18.307,+11.469,+0.950
1636256700,+3.53,+18.298,+11.449,+0.950
1636257300,+3.53,+18.307,+11.387,+0.950
1636257900,+3.53,+18.332,+11.368,+0.949
1636258500,+3.53,+18.357,+11.356,+0.949
1636259100,+3.53,+18.408,+11.335,+0.949
1636259700,+3.53,+18.349,+11.341,+0.949
1636260300,+3.53,+18.366,+11.317,+0.949
1636260900,+3.53,+18.366,+11.281,+0.949
1636261500,+3.53,+18.340,+11.215,+0.948
1636262100,+3.53,+18.298,+11.202,+0.948
