MiniDOT Logger Concatenated Data File
Sensor:             7450-121548
Concatenation Date: 2021Nov10 11:17:32 CST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 141.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1636230900,           2021-11-06 20:35:00,           2021-11-06 15:35:00,      3.530000,     21.507000,          9.376000,                   108.060018,      0.947000
                1636231500,           2021-11-06 20:45:00,           2021-11-06 15:45:00,      3.530000,     20.922000,          9.433000,                   107.482532,      0.947000
                1636232100,           2021-11-06 20:55:00,           2021-11-06 15:55:00,      3.530000,     20.462000,          9.471000,                   106.943013,      0.948000
                1636232700,           2021-11-06 21:05:00,           2021-11-06 16:05:00,      3.530000,     20.353000,          9.428000,                   106.228343,      0.947000
                1636233300,           2021-11-06 21:15:00,           2021-11-06 16:15:00,      3.530000,     20.420000,          9.367000,                   105.680955,      0.948000
                1636233900,           2021-11-06 21:25:00,           2021-11-06 16:25:00,      3.530000,     19.398000,         11.191000,                   123.714861,      0.948000
                1636234500,           2021-11-06 21:35:00,           2021-11-06 16:35:00,      3.530000,     18.332000,         11.516000,                   124.587693,      0.950000
                1636235100,           2021-11-06 21:45:00,           2021-11-06 16:45:00,      3.530000,     18.290000,         11.529000,                   124.621292,      0.950000
                1636235700,           2021-11-06 21:55:00,           2021-11-06 16:55:00,      3.530000,     18.265000,         11.597000,                   125.292246,      0.950000
                1636236300,           2021-11-06 22:05:00,           2021-11-06 17:05:00,      3.530000,     18.265000,         11.625000,                   125.594754,      0.950000
                1636236900,           2021-11-06 22:15:00,           2021-11-06 17:15:00,      3.530000,     18.282000,         11.672000,                   126.146393,      0.951000
                1636237500,           2021-11-06 22:25:00,           2021-11-06 17:25:00,      3.530000,     18.357000,         11.712000,                   126.772887,      0.950000
                1636238100,           2021-11-06 22:35:00,           2021-11-06 17:35:00,      3.530000,     18.315000,         11.715000,                   126.696578,      0.950000
                1636238700,           2021-11-06 22:45:00,           2021-11-06 17:45:00,      3.530000,     18.324000,         11.765000,                   127.260731,      0.951000
                1636239300,           2021-11-06 22:55:00,           2021-11-06 17:55:00,      3.530000,     18.340000,         11.699000,                   126.588200,      0.950000
                1636239900,           2021-11-06 23:05:00,           2021-11-06 18:05:00,      3.530000,     18.366000,         11.727000,                   126.958587,      0.950000
                1636240500,           2021-11-06 23:15:00,           2021-11-06 18:15:00,      3.530000,     18.425000,         11.764000,                   127.512645,      0.950000
                1636241100,           2021-11-06 23:25:00,           2021-11-06 18:25:00,      3.530000,     18.483000,         11.871000,                   128.824739,      0.950000
                1636241700,           2021-11-06 23:35:00,           2021-11-06 18:35:00,      3.530000,     18.441000,         11.685000,                   126.697697,      0.951000
                1636242300,           2021-11-06 23:45:00,           2021-11-06 18:45:00,      3.530000,     18.509000,         11.705000,                   127.090626,      0.950000
                1636242900,           2021-11-06 23:55:00,           2021-11-06 18:55:00,      3.530000,     18.576000,         11.797000,                   128.264441,      0.950000
                1636243500,           2021-11-07 00:05:00,           2021-11-06 19:05:00,      3.530000,     18.525000,         11.682000,                   126.882252,      0.950000
                1636244100,           2021-11-07 00:15:00,           2021-11-06 19:15:00,      3.530000,     18.500000,         11.742000,                   127.468985,      0.950000
                1636244700,           2021-11-07 00:25:00,           2021-11-06 19:25:00,      3.530000,     18.467000,         11.629000,                   126.157382,      0.950000
                1636245300,           2021-11-07 00:35:00,           2021-11-06 19:35:00,      3.530000,     18.475000,         11.727000,                   127.241290,      0.951000
                1636245900,           2021-11-07 00:45:00,           2021-11-06 19:45:00,      3.530000,     18.450000,         11.690000,                   126.775182,      0.950000
                1636246500,           2021-11-07 00:55:00,           2021-11-06 19:55:00,      3.530000,     18.441000,         11.703000,                   126.892867,      0.950000
