7450-083144
OS REV: 1.05 Sensor Cal: 1626372298
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636230840,+3.53,+21.938, +9.556,+0.985
1636231440,+3.53,+21.001, +9.616,+0.985
1636232040,+3.53,+20.474, +9.620,+0.984
1636232640,+3.53,+20.382, +9.660,+0.985
1636233240,+3.53,+20.457, +9.622,+0.984
1636233840,+3.53,+20.331,+11.190,+0.985
1636234440,+3.53,+19.912,+11.592,+0.985
1636235040,+3.53,+20.063,+11.646,+0.985
1636235640,+3.53,+19.946,+11.815,+0.984
1636236240,+3.53,+19.711,+12.010,+0.986
1636236840,+3.53,+19.778,+11.794,+0.984
1636237440,+3.53,+19.686,+11.707,+0.984
1636238040,+3.53,+19.527,+11.757,+0.985
1636238640,+3.53,+19.392,+11.775,+0.984
1636239240,+3.53,+19.208,+11.892,+0.985
1636239840,+3.53,+19.040,+11.906,+0.984
1636240440,+3.53,+18.888,+11.897,+0.985
1636241040,+3.53,+18.788,+11.900,+0.984
1636241640,+3.53,+18.737,+11.918,+0.985
1636242240,+3.53,+18.670,+11.886,+0.985
1636242840,+3.53,+18.628,+11.890,+0.985
1636243440,+3.53,+18.577,+11.865,+0.984
1636244040,+3.53,+18.544,+11.861,+0.984
1636244640,+3.53,+18.485,+11.854,+0.984
1636245240,+3.53,+18.476,+11.817,+0.984
1636245840,+3.53,+18.434,+11.792,+0.983
1636246440,+3.53,+18.426,+11.767,+0.983
1636247040,+3.53,+18.400,+11.745,+0.983
1636247640,+3.53,+18.400,+11.707,+0.984
1636248240,+3.53,+18.384,+11.722,+0.984
1636248840,+3.53,+18.367,+11.699,+0.983
1636249440,+3.53,+18.375,+11.691,+0.983
1636250040,+3.53,+18.367,+11.700,+0.985
1636250640,+3.53,+18.367,+11.672,+0.984
1636251240,+3.53,+18.350,+11.659,+0.984
1636251840,+3.53,+18.341,+11.652,+0.984
1636252440,+3.53,+18.350,+11.652,+0.984
1636253040,+3.53,+18.341,+11.612,+0.983
1636253640,+3.53,+18.316,+11.594,+0.983
1636254240,+3.53,+18.316,+11.578,+0.984
1636254840,+3.53,+18.316,+11.570,+0.984
1636255440,+3.53,+18.282,+11.515,+0.983
1636256040,+3.53,+18.350,+11.477,+0.984
1636256640,+3.53,+18.375,+11.410,+0.983
1636257240,+3.53,+18.375,+11.442,+0.982
1636257840,+3.53,+18.417,+11.449,+0.982
1636258440,+3.53,+18.426,+11.433,+0.983
1636259040,+3.53,+18.426,+11.390,+0.983
1636259640,+3.53,+18.400,+11.370,+0.982
1636260240,+3.53,+18.392,+11.340,+0.983
1636260840,+3.53,+18.367,+11.329,+0.983
1636261440,+3.53,+18.316,+11.288,+0.983
1636262040,+3.53,+18.291,+11.242,+0.982
1636262640,+3.53,+18.282,+11.240,+0.983
1636263240,+3.53,+18.299,+11.241,+0.983
1636263840,+3.53,+18.291,+11.232,+0.983
1636264440,+3.53,+18.291,+11.190,+0.983
1636265040,+3.53,+18.266,+11.169,+0.983
