7450-387970
OS REV: 1.05 Sensor Cal: 1615486469
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636403280,+3.43,+15.064, +3.274,+0.982
1636403340,+3.43,+15.081, +3.257,+0.982
1636403400,+3.43,+15.064, +3.269,+0.982
1636403460,+3.43,+15.073, +3.273,+0.983
1636403520,+3.43,+15.073, +3.289,+0.982
1636403580,+3.43,+15.064, +3.331,+0.982
1636403640,+3.43,+15.064, +3.366,+0.982
1636403700,+3.43,+15.081, +3.402,+0.982
1636403760,+3.43,+15.064, +3.443,+0.983
1636403820,+3.43,+15.064, +3.467,+0.982
1636403880,+3.43,+15.073, +3.495,+0.982
1636403940,+3.43,+15.090, +3.489,+0.982
1636404000,+3.43,+15.064, +3.485,+0.983
1636404060,+3.43,+15.073, +3.484,+0.982
1636404120,+3.43,+15.081, +3.487,+0.982
1636404180,+3.43,+15.064, +3.506,+0.982
1636404240,+3.43,+15.064, +3.548,+0.982
1636404300,+3.43,+15.064, +3.585,+0.982
1636404360,+3.43,+15.064, +3.612,+0.982
1636404420,+3.43,+15.064, +3.633,+0.982
1636404480,+3.43,+15.073, +3.644,+0.982
1636404540,+3.43,+15.090, +3.593,+0.982
1636404600,+3.43,+15.073, +3.500,+0.982
1636404660,+3.43,+15.081, +3.427,+0.982
1636404720,+3.43,+15.090, +3.370,+0.982
1636404780,+3.43,+15.090, +3.342,+0.983
1636404840,+3.43,+15.098, +3.328,+0.982
1636404900,+3.43,+15.081, +3.347,+0.982
1636404960,+3.43,+15.090, +3.349,+0.982
1636405020,+3.43,+15.107, +3.345,+0.982
1636405080,+3.43,+15.098, +3.345,+0.982
1636405140,+3.43,+15.090, +3.350,+0.982
1636405200,+3.43,+15.081, +3.338,+0.982
1636405260,+3.43,+15.081, +3.320,+0.982
1636405320,+3.43,+15.081, +3.309,+0.982
1636405380,+3.43,+15.073, +3.302,+0.982
1636405440,+3.43,+15.090, +3.292,+0.982
1636405500,+3.43,+15.090, +3.292,+0.982
1636405560,+3.43,+15.081, +3.298,+0.983
1636405620,+3.43,+15.055, +3.297,+0.982
1636405680,+3.43,+15.081, +3.290,+0.982
1636405740,+3.43,+15.098, +3.297,+0.982
1636405800,+3.43,+15.090, +3.314,+0.982
1636405860,+3.43,+15.090, +3.308,+0.982
1636405920,+3.43,+15.090, +3.303,+0.982
1636405980,+3.43,+15.090, +3.292,+0.982
1636406040,+3.43,+15.090, +3.280,+0.982
1636406100,+3.43,+15.081, +3.259,+0.982
1636406160,+3.43,+15.073, +3.233,+0.982
1636406220,+3.43,+15.090, +3.200,+0.982
1636406280,+3.43,+15.081, +3.191,+0.982
1636406340,+3.43,+15.073, +3.186,+0.982
1636406400,+3.43,+15.081, +3.176,+0.982
1636406460,+3.43,+15.098, +3.161,+0.982
1636406520,+3.43,+15.098, +3.153,+0.982
1636406580,+3.43,+15.090, +3.158,+0.982
1636406640,+3.43,+15.107, +3.148,+0.982
1636406700,+3.43,+15.090, +3.142,+0.982
1636406760,+3.43,+15.081, +3.129,+0.982
1636406820,+3.43,+15.090, +3.126,+0.982
1636406880,+3.43,+15.081, +3.136,+0.982
1636406940,+3.43,+15.081, +3.133,+0.982
1636407000,+3.43,+15.081, +3.135,+0.982
1636407060,+3.43,+15.081, +3.131,+0.982
1636407120,+3.43,+15.081, +3.139,+0.982
1636407180,+3.43,+15.073, +3.143,+0.982
1636407240,+3.43,+15.081, +3.151,+0.982
1636407300,+3.43,+15.073, +3.157,+0.982
1636407360,+3.43,+15.090, +3.157,+0.982
1636407420,+3.43,+15.098, +3.160,+0.982
1636407480,+3.43,+15.081, +3.179,+0.982
1636407540,+3.43,+15.098, +3.194,+0.982
1636407600,+3.43,+15.081, +3.207,+0.982
1636407660,+3.43,+15.073, +3.249,+0.982
