7450-720098
OS REV: 1.05 Sensor Cal: 1615484591
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636403280,+3.41,+16.747, +6.735,+0.997
1636403340,+3.41,+16.670, +6.814,+0.997
1636403400,+3.41,+16.636, +6.885,+0.997
1636403460,+3.41,+16.670, +6.950,+0.997
1636403520,+3.41,+16.747, +7.005,+0.998
1636403580,+3.41,+16.678, +7.066,+0.998
1636403640,+3.41,+16.644, +7.118,+0.998
1636403700,+3.41,+16.619, +7.180,+0.998
1636403760,+3.41,+16.610, +7.232,+0.998
1636403820,+3.41,+16.585, +7.294,+0.998
1636403880,+3.41,+16.559, +7.349,+0.998
1636403940,+3.41,+16.542, +7.403,+0.998
1636404000,+3.41,+16.542, +7.450,+0.998
1636404060,+3.41,+16.542, +7.488,+0.998
1636404120,+3.41,+16.534, +7.531,+0.998
1636404180,+3.41,+16.542, +7.569,+0.998
1636404240,+3.41,+16.517, +7.623,+0.998
1636404300,+3.41,+16.525, +7.653,+0.998
1636404360,+3.41,+16.542, +7.691,+0.998
1636404420,+3.41,+16.508, +7.736,+0.998
1636404480,+3.41,+16.542, +7.766,+0.998
1636404540,+3.41,+16.542, +7.808,+0.998
1636404600,+3.41,+16.568, +7.868,+0.998
1636404660,+3.41,+16.559, +7.944,+0.998
1636404720,+3.41,+16.534, +8.011,+0.998
1636404780,+3.41,+16.525, +8.069,+0.998
1636404840,+3.41,+16.517, +8.126,+0.998
1636404900,+3.42,+16.483, +8.187,+0.998
1636404960,+3.41,+16.542, +8.235,+0.998
1636405020,+3.41,+16.576, +8.289,+0.998
1636405080,+3.41,+16.542, +8.374,+0.998
1636405140,+3.41,+16.517, +8.452,+0.997
1636405200,+3.41,+16.551, +8.573,+0.998
1636405260,+3.41,+16.627, +8.606,+0.998
1636405320,+3.41,+16.576, +8.592,+0.997
1636405380,+3.41,+16.585, +8.664,+0.998
1636405440,+3.41,+16.627, +8.707,+0.998
1636405500,+3.41,+16.619, +8.744,+0.998
1636405560,+3.41,+16.627, +8.739,+0.998
1636405620,+3.41,+16.585, +8.748,+0.998
1636405680,+3.41,+16.576, +8.791,+0.998
1636405740,+3.41,+16.602, +8.817,+0.998
1636405800,+3.41,+16.559, +8.805,+0.998
1636405860,+3.41,+16.559, +8.811,+0.998
1636405920,+3.41,+16.525, +8.844,+0.998
1636405980,+3.41,+16.517, +8.841,+0.997
1636406040,+3.42,+16.508, +8.879,+0.997
1636406100,+3.41,+16.610, +9.000,+0.998
1636406160,+3.41,+16.644, +8.982,+0.997
1636406220,+3.41,+16.610, +8.965,+0.997
1636406280,+3.41,+16.585, +9.006,+0.998
1636406340,+3.41,+16.576, +9.039,+0.998
1636406400,+3.41,+16.585, +9.048,+0.998
1636406460,+3.41,+16.568, +9.089,+0.998
1636406520,+3.41,+16.576, +9.110,+0.997
1636406580,+3.41,+16.644, +9.149,+0.998
1636406640,+3.41,+16.636, +9.141,+0.998
1636406700,+3.41,+16.602, +8.974,+0.998
1636406760,+3.41,+16.576, +8.910,+0.996
1636406820,+3.41,+16.585, +8.969,+0.997
1636406880,+3.41,+16.602, +8.931,+0.997
1636406940,+3.41,+16.610, +8.940,+0.997
1636407000,+3.41,+16.636, +9.020,+0.998
1636407060,+3.41,+16.636, +9.028,+0.997
1636407120,+3.41,+16.653, +9.066,+0.997
1636407180,+3.41,+16.678, +9.142,+0.998
1636407240,+3.41,+16.670, +9.154,+0.997
1636407300,+3.41,+16.687, +9.146,+0.998
1636407360,+3.41,+16.695, +9.162,+0.998
1636407420,+3.41,+16.780, +9.176,+0.998
1636407480,+3.42,+16.840, +9.161,+0.997
1636407540,+3.42,+16.967, +9.283,+0.998
1636407600,+3.42,+17.078, +9.257,+0.998
1636407660,+3.42,+17.137, +9.312,+0.998
1636407720,+3.42,+17.230, +9.302,+0.998
1636407780,+3.42,+17.213, +9.215,+0.998
1636407840,+3.42,+17.256, +9.374,+0.999
1636407900,+3.42,+17.315, +9.358,+0.998
1636407960,+3.42,+17.315, +9.302,+0.998
1636408020,+3.42,+17.332, +9.322,+0.998
1636408080,+3.42,+17.340, +9.318,+0.997
1636408140,+3.42,+17.383, +9.367,+0.998
1636408200,+3.42,+17.349, +9.300,+0.998
1636408260,+3.42,+17.391, +9.350,+0.998
1636408320,+3.41,+17.442, +9.370,+0.998
1636408380,+3.41,+17.476, +9.373,+0.998
1636408440,+3.41,+17.476, +9.378,+0.999
1636408500,+3.41,+17.467, +9.370,+0.998
1636408560,+3.42,+17.459, +9.373,+0.998
1636408620,+3.41,+17.493, +9.356,+0.998
1636408680,+3.41,+17.501, +9.342,+0.998
1636408740,+3.41,+17.493, +9.362,+0.998
1636408800,+3.42,+17.493, +9.353,+0.998
1636408860,+3.42,+17.450, +9.291,+0.998
1636408920,+3.42,+17.323, +9.170,+0.997
1636408980,+3.42,+17.230, +9.147,+0.998
1636409040,+3.42,+17.162, +9.145,+0.997
1636409100,+3.42,+17.061, +9.115,+0.997
1636409160,+3.42,+16.993, +9.084,+0.997
1636409220,+3.42,+16.950, +9.101,+0.997
1636409280,+3.42,+16.933, +9.113,+0.997
1636409340,+3.42,+16.882, +9.118,+0.997
1636409400,+3.42,+16.882, +9.133,+0.997
1636409460,+3.42,+16.891, +9.134,+0.997
1636409520,+3.42,+16.891, +9.147,+0.997
1636409580,+3.42,+16.882, +9.175,+0.998
1636409640,+3.42,+16.899, +9.159,+0.997
1636409700,+3.42,+16.908, +9.170,+0.998
1636409760,+3.42,+16.916, +9.168,+0.997
1636409820,+3.42,+16.908, +9.185,+0.998
1636409880,+3.42,+16.908, +9.197,+0.998
1636409940,+3.42,+16.933, +9.159,+0.997
1636410000,+3.42,+16.908, +9.144,+0.998
1636410060,+3.42,+16.908, +9.151,+0.998
1636410120,+3.42,+16.899, +9.156,+0.998
1636410180,+3.42,+16.891, +9.111,+0.997
1636410240,+3.42,+16.857, +9.099,+0.997
1636410300,+3.42,+16.848, +9.087,+0.997
1636410360,+3.42,+16.831, +9.102,+0.997
1636410420,+3.42,+16.848, +9.122,+0.998
1636410480,+3.42,+16.814, +9.129,+0.998
1636410540,+3.42,+16.823, +9.115,+0.997
1636410600,+3.42,+16.831, +9.109,+0.997
1636410660,+3.42,+16.840, +9.104,+0.997
1636410720,+3.42,+16.823, +9.095,+0.998
1636410780,+3.41,+16.797, +9.071,+0.997
1636410840,+3.42,+16.806, +9.102,+0.997
1636410900,+3.42,+16.823, +9.118,+0.997
1636410960,+3.42,+16.840, +9.128,+0.997
1636411020,+3.42,+16.848, +9.147,+0.998
1636411080,+3.42,+16.840, +9.123,+0.997
1636411140,+3.42,+16.848, +9.127,+0.998
1636411200,+3.42,+16.857, +9.150,+0.998
1636411260,+3.42,+16.848, +9.166,+0.998
1636411320,+3.42,+16.865, +9.159,+0.997
1636411380,+3.42,+16.865, +9.165,+0.998
1636411440,+3.42,+16.840, +9.188,+0.998
1636411500,+3.42,+16.831, +9.194,+0.998
1636411560,+3.42,+16.857, +9.199,+0.997
1636411620,+3.42,+16.874, +9.209,+0.997
1636411680,+3.42,+16.874, +9.197,+0.998
1636411740,+3.42,+16.891, +9.228,+0.998
1636411800,+3.42,+16.899, +9.208,+0.998
1636411860,+3.42,+16.874, +9.195,+0.997
1636411920,+3.42,+16.891, +9.208,+0.998
1636411980,+3.42,+16.908, +9.201,+0.998
1636412040,+3.42,+16.908, +9.165,+0.998
1636412100,+3.42,+16.899, +9.172,+0.997
1636412160,+3.42,+16.916, +9.187,+0.997
1636412220,+3.42,+16.908, +9.180,+0.997
1636412280,+3.42,+16.874, +9.167,+0.998
1636412340,+3.42,+16.891, +9.151,+0.997
1636412400,+3.42,+16.891, +9.178,+0.998
1636412460,+3.42,+16.908, +9.181,+0.998
1636412520,+3.42,+16.899, +9.143,+0.997
1636412580,+3.42,+16.882, +9.128,+0.998
1636412640,+3.42,+16.874, +9.125,+0.998
1636412700,+3.42,+16.865, +9.140,+0.997
1636412760,+3.42,+16.865, +9.163,+0.997
1636412820,+3.42,+16.848, +9.190,+0.998
1636412880,+3.42,+16.865, +9.151,+0.998
1636412940,+3.42,+16.840, +9.146,+0.997
1636413000,+3.42,+16.848, +9.165,+0.998
1636413060,+3.42,+16.848, +9.117,+0.997
1636413120,+3.42,+16.831, +9.061,+0.997
1636413180,+3.42,+16.823, +9.059,+0.997
1636413240,+3.42,+16.831, +9.057,+0.997
1636413300,+3.41,+16.797, +9.039,+0.997
1636413360,+3.42,+16.814, +9.023,+0.997
1636413420,+3.42,+16.823, +9.030,+0.997
1636413480,+3.41,+16.797, +9.033,+0.998
1636413540,+3.42,+16.814, +9.027,+0.997
1636413600,+3.42,+16.814, +9.050,+0.997
1636413660,+3.42,+16.814, +9.069,+0.998
1636413720,+3.42,+16.831, +9.065,+0.997
1636413780,+3.42,+16.814, +9.009,+0.997
1636413840,+3.41,+16.780, +8.951,+0.997
1636413900,+3.41,+16.789, +8.936,+0.997
1636413960,+3.41,+16.780, +8.938,+0.997
1636414020,+3.41,+16.789, +8.940,+0.998
1636414080,+3.41,+16.789, +8.919,+0.997
1636414140,+3.41,+16.789, +8.926,+0.998
1636414200,+3.41,+16.789, +8.876,+0.996
1636414260,+3.41,+16.772, +8.880,+0.997
1636414320,+3.41,+16.772, +8.892,+0.997
1636414380,+3.41,+16.772, +8.897,+0.997
1636414440,+3.41,+16.780, +8.868,+0.997
1636414500,+3.41,+16.772, +8.875,+0.997
1636414560,+3.41,+16.780, +8.886,+0.997
1636414620,+3.41,+16.789, +8.925,+0.998
1636414680,+3.41,+16.797, +8.939,+0.997
1636414740,+3.42,+16.814, +8.936,+0.997
1636414800,+3.42,+16.806, +8.949,+0.997
1636414860,+3.42,+16.840, +8.969,+0.997
1636414920,+3.42,+16.848, +8.993,+0.998
1636414980,+3.42,+16.848, +8.989,+0.997
1636415040,+3.42,+16.865, +8.972,+0.997
1636415100,+3.42,+16.865, +8.981,+0.998
1636415160,+3.42,+16.882, +8.986,+0.998
1636415220,+3.42,+16.882, +8.999,+0.997
1636415280,+3.42,+16.899, +9.017,+0.997
1636415340,+3.42,+16.916, +9.031,+0.998
1636415400,+3.42,+16.916, +9.021,+0.997
1636415460,+3.42,+16.908, +9.004,+0.997
1636415520,+3.42,+16.925, +8.997,+0.997
1636415580,+3.42,+16.908, +8.985,+0.997
1636415640,+3.42,+16.891, +8.960,+0.997
1636415700,+3.42,+16.908, +8.968,+0.997
1636415760,+3.42,+16.891, +8.991,+0.997
1636415820,+3.42,+16.908, +8.996,+0.997
1636415880,+3.42,+16.950, +9.014,+0.998
1636415940,+3.42,+16.925, +9.015,+0.997
1636416000,+3.42,+16.950, +9.026,+0.997
1636416060,+3.42,+16.950, +9.048,+0.998
1636416120,+3.42,+16.950, +9.041,+0.998
1636416180,+3.42,+16.942, +9.031,+0.998
1636416240,+3.42,+16.942, +9.023,+0.997
1636416300,+3.42,+16.959, +9.021,+0.997
1636416360,+3.42,+16.959, +9.023,+0.998
1636416420,+3.42,+16.984, +9.042,+0.997
1636416480,+3.42,+16.976, +9.062,+0.998
1636416540,+3.42,+16.984, +9.058,+0.997
1636416600,+3.42,+16.984, +9.083,+0.998
1636416660,+3.42,+16.984, +9.084,+0.998
1636416720,+3.42,+16.993, +9.084,+0.998
1636416780,+3.42,+17.018, +9.080,+0.998
1636416840,+3.42,+17.027, +9.099,+0.998
1636416900,+3.42,+17.052, +9.109,+0.998
1636416960,+3.42,+17.027, +9.116,+0.998
1636417020,+3.42,+17.035, +9.103,+0.998
1636417080,+3.42,+17.044, +9.109,+0.998
1636417140,+3.42,+17.044, +9.101,+0.997
1636417200,+3.42,+17.052, +9.101,+0.998
1636417260,+3.42,+17.052, +9.105,+0.998
1636417320,+3.42,+17.035, +9.115,+0.998
1636417380,+3.42,+17.044, +9.122,+0.998
1636417440,+3.42,+17.061, +9.117,+0.998
1636417500,+3.42,+17.061, +9.109,+0.998
1636417560,+3.42,+17.069, +9.109,+0.998
1636417620,+3.42,+17.069, +9.099,+0.998
1636417680,+3.42,+17.052, +9.111,+0.998
1636417740,+3.42,+17.078, +9.116,+0.998
1636417800,+3.42,+17.069, +9.124,+0.998
1636417860,+3.42,+17.078, +9.123,+0.998
1636417920,+3.42,+17.069, +9.121,+0.998
1636417980,+3.42,+17.086, +9.118,+0.998
1636418040,+3.42,+17.095, +9.115,+0.998
1636418100,+3.42,+17.103, +9.123,+0.998
1636418160,+3.42,+17.103, +9.135,+0.998
1636418220,+3.42,+17.120, +9.142,+0.998
1636418280,+3.42,+17.103, +9.131,+0.998
1636418340,+3.42,+17.095, +9.140,+0.998
1636418400,+3.42,+17.120, +9.124,+0.997
1636418460,+3.42,+17.095, +9.153,+0.998
1636418520,+3.42,+17.095, +9.151,+0.998
1636418580,+3.42,+17.103, +9.159,+0.998
1636418640,+3.42,+17.095, +9.157,+0.998
1636418700,+3.42,+17.112, +9.140,+0.998
1636418760,+3.42,+17.095, +9.147,+0.998
1636418820,+3.42,+17.103, +9.158,+0.998
1636418880,+3.42,+17.112, +9.153,+0.998
1636418940,+3.42,+17.086, +9.114,+0.998
1636419000,+3.42,+17.078, +9.108,+0.998
1636419060,+3.42,+17.078, +9.102,+0.997
1636419120,+3.42,+17.078, +9.114,+0.998
1636419180,+3.42,+17.086, +9.127,+0.998
1636419240,+3.42,+17.095, +9.156,+0.998
1636419300,+3.42,+17.112, +9.165,+0.998
1636419360,+3.42,+17.112, +9.167,+0.998
1636419420,+3.42,+17.120, +9.151,+0.998
1636419480,+3.42,+17.145, +9.151,+0.998
1636419540,+3.42,+17.129, +9.153,+0.998
1636419600,+3.42,+17.112, +9.140,+0.998
1636419660,+3.42,+17.103, +9.104,+0.997
1636419720,+3.42,+17.069, +9.127,+0.998
1636419780,+3.42,+17.095, +9.118,+0.998
1636419840,+3.42,+17.103, +9.118,+0.998
1636419900,+3.42,+17.103, +9.132,+0.998
1636419960,+3.42,+17.103, +9.150,+0.998
1636420020,+3.42,+17.112, +9.135,+0.998
1636420080,+3.42,+17.095, +9.141,+0.998
1636420140,+3.42,+17.103, +9.141,+0.998
1636420200,+3.42,+17.103, +9.140,+0.998
1636420260,+3.42,+17.103, +9.148,+0.998
1636420320,+3.42,+17.086, +9.136,+0.998
1636420380,+3.42,+17.095, +9.121,+0.998
1636420440,+3.42,+17.103, +9.145,+0.998
1636420500,+3.42,+17.120, +9.150,+0.998
1636420560,+3.42,+17.120, +9.153,+0.998
1636420620,+3.42,+17.120, +9.166,+0.998
1636420680,+3.42,+17.129, +9.169,+0.998
1636420740,+3.42,+17.120, +9.170,+0.998
1636420800,+3.42,+17.129, +9.159,+0.998
1636420860,+3.42,+17.112, +9.143,+0.998
1636420920,+3.42,+17.095, +9.133,+0.998
1636420980,+3.42,+17.086, +9.141,+0.998
1636421040,+3.42,+17.061, +9.038,+0.997
1636421100,+3.42,+17.052, +9.010,+0.997
1636421160,+3.42,+17.086, +9.070,+0.998
1636421220,+3.42,+17.137, +9.144,+0.998
1636421280,+3.42,+17.154, +9.182,+0.998
1636421340,+3.42,+17.162, +9.206,+0.998
1636421400,+3.42,+17.196, +9.198,+0.998
1636421460,+3.42,+17.179, +9.215,+0.998
1636421520,+3.42,+17.196, +9.226,+0.998
1636421580,+3.42,+17.196, +9.225,+0.998
1636421640,+3.42,+17.213, +9.226,+0.999
1636421700,+3.42,+17.239, +9.226,+0.998
1636421760,+3.42,+17.205, +9.162,+0.998
1636421820,+3.42,+17.213, +9.166,+0.998
1636421880,+3.42,+17.196, +9.133,+0.998
1636421940,+3.42,+17.154, +9.136,+0.998
1636422000,+3.42,+17.196, +9.149,+0.998
1636422060,+3.42,+17.188, +9.171,+0.998
1636422120,+3.42,+17.205, +9.180,+0.998
1636422180,+3.42,+17.205, +9.183,+0.998
1636422240,+3.42,+17.222, +9.185,+0.998
1636422300,+3.42,+17.222, +9.180,+0.997
1636422360,+3.42,+17.196, +9.187,+0.998
1636422420,+3.42,+17.205, +9.169,+0.998
