7450-667163
OS REV: 1.05 Sensor Cal: 1615486377
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1636489620,+3.42,+18.175, +9.195,+0.957
1636489680,+3.42,+18.192, +9.208,+0.957
1636489740,+3.42,+18.200, +9.210,+0.957
1636489800,+3.42,+18.217, +9.200,+0.957
1636489860,+3.42,+18.217, +9.235,+0.958
1636489920,+3.42,+18.234, +9.220,+0.957
1636489980,+3.42,+18.225, +9.203,+0.957
1636490040,+3.42,+18.209, +9.204,+0.957
1636490100,+3.42,+18.217, +9.192,+0.957
1636490160,+3.42,+18.234, +9.185,+0.957
1636490220,+3.42,+18.234, +9.184,+0.957
1636490280,+3.42,+18.251, +9.212,+0.957
1636490340,+3.42,+18.225, +9.217,+0.957
1636490400,+3.42,+18.209, +9.211,+0.957
1636490460,+3.42,+18.209, +9.221,+0.957
1636490520,+3.42,+18.225, +9.214,+0.957
1636490580,+3.42,+18.209, +9.202,+0.957
1636490640,+3.42,+18.217, +9.211,+0.957
1636490700,+3.42,+18.200, +9.208,+0.957
1636490760,+3.42,+18.192, +9.228,+0.957
1636490820,+3.42,+18.200, +9.250,+0.957
1636490880,+3.42,+18.209, +9.253,+0.957
1636490940,+3.42,+18.225, +9.244,+0.957
1636491000,+3.42,+18.209, +9.249,+0.958
1636491060,+3.42,+18.225, +9.240,+0.958
1636491120,+3.42,+18.209, +9.241,+0.957
1636491180,+3.42,+18.192, +9.258,+0.957
1636491240,+3.42,+18.200, +9.241,+0.957
1636491300,+3.42,+18.183, +9.246,+0.957
1636491360,+3.42,+18.183, +9.262,+0.957
1636491420,+3.42,+18.183, +9.264,+0.957
1636491480,+3.42,+18.192, +9.264,+0.957
1636491540,+3.42,+18.192, +9.277,+0.958
1636491600,+3.42,+18.200, +9.291,+0.957
1636491660,+3.42,+18.209, +9.297,+0.958
1636491720,+3.42,+18.183, +9.265,+0.957
1636491780,+3.42,+18.192, +9.271,+0.958
1636491840,+3.42,+18.183, +9.282,+0.957
1636491900,+3.42,+18.183, +9.276,+0.957
1636491960,+3.42,+18.175, +9.283,+0.958
1636492020,+3.42,+18.183, +9.278,+0.957
1636492080,+3.42,+18.200, +9.275,+0.957
