Latitude: 35.9621  Longitude: -84.2916
X & Y on Lambert Conformal Conic: 1353940.26 -566314.67
Tile: 11208
Elevation: 310 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,174,51995.65,0.00,523.13,0.00,28.09,12.94,1491.37
2021,175,51988.85,0.00,503.59,0.00,30.16,15.61,1772.59
2021,176,51979.03,0.00,442.89,0.00,29.65,17.98,2059.71
2021,177,51966.20,0.00,467.44,0.00,30.33,17.51,2000.03
2021,178,51950.37,0.00,434.00,0.00,31.43,19.65,2286.53
2021,179,51931.54,0.00,449.52,0.00,33.21,20.24,2371.43
2021,180,51909.74,0.00,421.98,0.00,32.05,20.37,2391.42
2021,181,51884.97,0.00,430.03,0.00,32.23,20.36,2390.35
2021,182,51857.26,31.70,270.31,0.00,29.79,20.78,2451.78
2021,183,51826.62,0.00,374.87,0.00,28.93,19.57,2276.11
2021,184,51793.08,0.00,478.04,0.00,27.26,14.35,1634.88
2021,185,51756.66,0.00,508.12,0.00,29.35,14.40,1640.16
2021,186,51717.38,0.00,491.72,0.00,32.18,17.35,1980.41
2021,187,51675.27,0.00,456.94,0.00,32.43,19.09,2209.04
2021,188,51630.36,2.32,196.95,0.00,26.31,19.98,2334.81
2021,189,51582.69,0.00,405.28,0.00,30.87,19.87,2317.99
2021,190,51532.27,0.00,325.11,0.00,29.53,21.17,2512.49
2021,191,51479.15,19.37,262.05,0.00,30.48,21.22,2519.65
2021,192,51423.36,22.07,249.71,0.00,29.41,20.73,2445.26
2021,193,51364.93,0.00,337.86,0.00,29.00,20.31,2382.05
2021,194,51303.91,0.00,330.30,0.00,28.85,20.49,2409.39
2021,195,51240.33,5.53,272.51,0.00,29.64,20.29,2379.03
2021,196,51174.23,0.00,430.23,0.00,32.03,19.93,2327.40
2021,197,51105.66,0.00,419.34,0.00,31.86,20.27,2376.80
2021,198,51034.64,15.95,237.67,0.00,28.73,20.96,2480.52
2021,199,50961.23,12.06,267.12,0.00,29.09,20.33,2384.71
2021,200,50885.48,9.01,255.11,0.00,28.51,20.33,2385.40
2021,201,50807.41,0.00,383.36,0.00,29.82,20.29,2378.83
2021,202,50727.08,0.00,471.13,0.00,31.08,18.04,2068.27
2021,203,50644.54,0.00,458.69,0.00,31.26,18.63,2146.54
2021,204,50559.82,0.00,456.42,0.00,31.71,19.11,2211.36
2021,205,50472.98,0.00,472.82,0.00,32.80,19.17,2219.38
2021,206,50384.07,0.00,437.31,0.00,32.88,20.79,2453.95
2021,207,50293.11,0.00,368.95,0.00,31.44,22.09,2657.75
2021,208,50200.18,0.00,439.34,0.00,34.00,21.56,2573.36
2021,209,50105.30,0.00,457.46,0.00,34.07,20.79,2453.32
2021,210,50008.54,0.00,479.28,0.00,33.78,19.41,2252.44
2021,211,49909.93,1.88,441.74,0.00,33.13,20.68,2436.97
